Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-596.1727	-455.5612	-140.6115	29.09349	2.539616	0.1149556	0.02046052	0.159513	0.00848246	0.030815	0.0694953	0.0118004	0.0391045	0.0395703	0.0233442	0.0016394	0.0110014	0.218707	0.0097882	0.217422	0.12363	0.0356864	0.503109	4	50.35675	0.02542057	0.350181	0.702365	1.07906	1.86839	0.023691	0.331671	0.10461	0.235924	0.128909	0.175195	0.5235695	0.9609211
100	-598.0781	-449.8414	-148.2366	54.16035	3.639065	0.0773143	-0.02180543	0.102054	0.0117998	0.0206256	0.0159575	0.089234	0.0164495	0.0681299	0.00575258	0.0499052	0.130458	0.167453	0.00362668	0.145369	0.11716	0.0560255	0.3256421	7	75.4893	0.02065853	0.433364	0.761724	1.08426	1.72065	0.0439283	0.297738	0.101692	0.264321	0.187915	0.104405	0.3038367	1.071767
200	-589.819	-456.0071	-133.8118	35.65753	5.082827	0.06324953	0.03643765	0.105709	0.0574225	0.0428233	0.00301443	0.0712286	0.0266474	0.0438358	0.0278024	0.0798307	0.0222716	0.237971	0.000416547	0.0647956	0.21327	0.00296008	0.3877033	7	50.43488	0.03198318	0.505482	0.805918	1.08315	1.60545	0.0300601	0.298716	0.145493	0.256869	0.186318	0.0825437	0.424141	0.9140907
300	-590.1387	-452.0437	-138.095	44.29041	1.77424	0.08839584	0.09111799	0.114796	0.0462456	0.0447685	0.121238	0.030181	0.00345073	0.0688613	0.00980435	0.0127171	0.0214518	0.135982	0.0263706	0.0569085	0.286045	0.0211798	0.2590126	7	58.09485	0.04934635	0.264751	0.628638	1.06316	2.04345	0.0253479	0.24648	0.119793	0.228663	0.272564	0.107153	0.3501306	0.73976
400	-601.1441	-470.2542	-130.8899	26.99885	2.694417	0.0973116	-0.06022424	0.060482	0.0779716	0.0540855	0.208991	0.0174122	0.00576491	0.0227171	0.0277615	0.0119185	0.027181	0.0725548	0.0140256	0.17561	0.218951	0.00457274	0.373004	5	51.60185	0.04492482	0.364147	0.71307	1.08053	1.84226	0.0764724	0.240753	0.18265	0.283623	0.113408	0.103093	0.3127798	1.192545
500	-589.3797	-443.3593	-146.0205	46.56096	5.154443	0.08294405	0.0004902195	0.128613	0.0406998	0.00943518	0.0293019	0.0192209	0.0121688	0.0370592	0.00782996	0.0259863	0.167936	0.279752	0.00817237	0.0877119	0.12384	0.0222722	0.2479853	3	53.22451	0.05752055	0.508368	0.807569	1.08302	1.60104	0.0337983	0.259851	0.0972145	0.272806	0.216706	0.119625	0.2484755	0.9980271
600	-596.459	-459.3713	-137.0876	40.87358	4.185166	0.07049754	0.02348283	0.0971617	0.0398535	0.0271059	0.000561066	0.00811304	0.0150808	0.0269297	0.0174806	0.157407	0.00931568	0.138363	0.0141308	0.223512	0.221819	0.00316617	0.3694418	5	53.57543	0.02843741	0.464254	0.781378	1.08433	1.67004	0.0592247	0.241864	0.148301	0.24658	0.216994	0.0870371	0.3929247	0.9402358
700	-580.0651	-448.7721	-131.293	37.47729	2.566247	0.145979	0.03006909	0.140056	0.0180193	0.0185329	0.0111323	0.0871986	0.0168483	0.0796074	0.0368684	0.00852911	0.0302694	0.117514	0.0113167	0.0516245	0.365324	0.0071601	0.3316863	5	57.44238	0.03785257	0.352649	0.704281	1.07934	1.86373	0.0385968	0.277799	0.145983	0.249015	0.172719	0.115887	0.3617554	0.9168801
800	-591.7737	-455.6564	-136.1173	38.49417	3.801028	0.06180289	-0.05967932	0.142532	0.160204	0.0734423	0.0555193	0.10727	0.0225936	0.0565459	0.0317003	0.00802579	0.00310615	0.109413	0.00174728	0.0734844	0.147382	0.00703505	0.4407051	6	65.06512	0.05258147	0.443086	0.768035	1.08438	1.7045	0.0289607	0.216754	0.11808	0.291008	0.180453	0.164744	0.3810258	1.156628
900	-576.627	-448.5622	-128.0648	42.75541	4.607245	0.09714715	-0.0183281	0.128009	0.0767878	0.0977173	0.0144457	0.0121411	0.0133008	0.110456	0.0161052	0.013059	0.0165193	0.163088	0.0169273	0.0953926	0.215541	0.0105107	0.3096723	8	52.68251	0.04286294	0.4849	0.793897	1.08391	1.63729	0.0479479	0.327694	0.131984	0.244118	0.159517	0.0887399	0.2913442	1.062909
