Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-581.0036	-551.4	-29.60358	41.49884	3.828334	0.00388255	0.0148084	0.0783642	0.075081	0.0131875	0.00798162	0.00424446	0.0132589	0.0819066	0.00209192	0.0745113	0.0277077	0.0211058	0.0121974	0.0885363	0.0259215	0.0265198	0.191564	0.0251917	0.0495443	0.052409	0.0429019	0.0335643	0.0206372	0.00560105	0.00114747	0.0153777	0.0786326	0.00569032	0.0385864	0.00238613	0.0113747	0.000993152	0.0783593	0.00573202	0.0282405	0.0274966	0.03686	0.0258747	0.0247682	0.03007774	-0.002144079	0.0416102	0.0171437	0.29903	0.0838531	0.011319	0.00278036	0.0210247	0.0316396	0.0493502	0.0820108	0.0420826	0.0721505	0.0433406	0.100423	0.102242	0.1232407	5	62.76806	0.03717706	0.444676	0.769055	1.08439	1.70188	0.128356	0.298687	0.182077	0.116127	0.20036	0.074394	0.1210966	1.017706
1	0	-596.1562	-552.8646	-43.2916	10.01083	1.314052	0.0675103	0.12929	0.0324044	0.0605917	0.00187515	0.058082	0.254711	0.00643075	0.0424881	0.142368	0.0271094	0.0722374	0.0526358	0.0916293	0.0302134	0.00370502	0.0190939	0.0562277	0.000356106	0.0485963	0.0505806	0.0500284	0.0112033	0.114938	0.0042385	0.199854	0.0997478	0.00265521	0.312217	0.0220325	0.0150496	0.0108617	0.0705902	0.0412978	0.0363574	0.0187963	0.00612908	0.164562	0.0540211	0.077701	0.05826809	0.03260855	0.107166	0.0987563	0.27118	0.00244412	0.043562	0.0141057	0.0349108	0.0260382	0.0355516	0.00863133	0.0183977	0.123695	0.0350464	0.141685	0.0388294	0.1346814	9	71.74402	0.03362186	0.195116	0.554365	1.03734	2.21318	0.135189	0.200992	0.206509	0.118986	0.24782	0.0905044	0.16729	0.8050777
2	0	-591.939	-538.6962	-53.24277	17.3359	3.962236	0.0193458	0.0755083	0.000734048	0.16142	0.0669729	0.0063631	0.0048923	0.0781034	0.00591911	0.00686528	0.211303	0.0844391	0.0425389	0.0158814	0.066041	0.00949708	0.0182793	0.301773	0.0967869	0.00969951	0.109253	0.0139275	0.00934571	0.00199639	0.0391761	0.211337	0.192843	0.0249938	0.0639829	0.0261409	0.0589456	0.0191606	0.0125426	0.131156	0.0697561	0.00841807	0.00339902	0.1357	0.178954	0.0291824	0.06316727	0.004196775	0.0615046	0.0472637	0.314658	0.0332347	0.178852	0.00939225	0.0162956	0.0141433	0.0419929	0.088829	0.0036172	0.101788	0.0192212	0.0599514	0.00925573	0.1500433	7	71.38807	0.03751186	0.452276	0.773893	1.08441	1.68943	0.151246	0.229685	0.156323	0.152025	0.201096	0.109627	0.15424	0.9727906
3	0	-597.3855	-542.5561	-54.82941	3.889986	1.481943	0.0456192	0.0577881	0.016651	0.0998154	0.171238	0.044068	0.0107541	0.0180938	0.0764045	0.028606	0.235658	0.250487	0.0405809	0.0556777	0.0450938	0.121376	0.138633	0.113748	0.00925945	0.00465005	0.067579	0.000707677	1.96384e-05	0.00480355	0.0276278	0.0631053	0.119111	0.00981556	0.00534422	0.0315694	0.15355	0.0362866	0.00537139	0.0257123	0.255168	0.0823862	0.0322701	0.0487572	0.0654778	0.0432631	0.05951596	0.02141689	0.0650406	0.0177686	0.316919	0.0131155	0.0463172	0.0310588	0.0464005	0.0155427	0.0544939	0.0643521	0.0246582	0.0611169	0.0206593	0.194698	0.027859	0.1450389	6	71.98184	0.0187583	0.22252	0.585523	1.04934	2.14261	0.142797	0.237133	0.19227	0.126659	0.206758	0.0943827	0.1664558	0.8713359
4	0	-608.9171	-556.577	-52.34012	13.59326	1.385257	0.13741	0.0382553	0.0708839	0.171274	0.199887	0.17877	0.0654895	0.0197773	0.0713577	0.0585555	0.0213065	0.277703	0.0940874	0.0900451	0.0256093	0.0441881	0.0017837	0.0138165	0.027959	0.0207456	0.0391045	0.0436203	0.0586373	0.000393981	0.128918	0.134131	0.117857	0.0222181	0.0188207	0.0759022	0.0022344	0.0553402	0.0552128	0.0819247	0.0865039	0.0390765	0.0179487	0.203651	0.00583995	0.0553318	0.06359123	-0.02428085	0.140711	0.039964	0.23398	0.0255375	0.0609563	0.0249331	0.012214	0.0140202	0.0358577	0.0769768	0.0264013	0.031416	0.0537067	0.143266	0.0800592	0.2513685	5	61.71655	0.03271496	0.20704	0.568272	1.04291	2.18178	0.164861	0.273944	0.131307	0.104169	0.236446	0.0892734	0.2270877	1.106923
5	0	-603.2423	-539.1706	-64.07166	3.933017	4.438194	0.0613699	0.0168281	0.0935341	0.00163363	0.0813044	0.14072	0.00757042	0.0353679	0.0635881	0.0928013	0.0679526	0.0985999	0.00733653	0.0931242	0.0391559	0.0857026	0.019264	0.00139526	0.021844	0.0336248	0.0205291	0.140524	0.0169385	0.145909	0.0215977	0.274441	0.00141964	0.000906964	0.00786174	0.182289	0.00126054	0.332931	0.058238	0.0272316	0.00566213	0.0471114	0.109195	0.104143	0.0653075	0.00149719	0.08838614	0.01489102	0.0403337	0.150931	0.0909492	0.0288862	0.0233249	0.0199246	0.0570236	0.0157981	0.0792888	0.109803	0.0334964	0.201879	0.00577947	0.111604	0.0309765	0.13542	6	84.95709	0.01934865	0.476926	0.789118	1.08411	1.64984	0.163006	0.253695	0.12162	0.1045	0.276232	0.0809467	0.150311	0.900932
6	0	-580.0791	-554.6261	-25.45305	17.52828	1.105501	0.0363103	0.0101859	0.0552216	0.000192103	0.0647717	0.00164078	0.00971297	0.0165043	0.000925775	0.0175424	0.0315246	0.0627047	0.00737611	0.00233742	0.0460599	0.0433811	0.0200122	0.0811288	0.0297953	0.0410831	0.0102349	0.0159739	0.0192662	0.00634402	0.0225867	0.00196656	0.00270721	0.0223524	0.0213054	0.00986108	0.0435457	0.0156875	0.0361499	0.0403176	0.0157577	0.0548175	0.0790808	0.056517	0.0199915	0.0817879	0.0334282	-0.02316528	0.0317564	0.0530303	0.175291	0.0171102	0.0211347	0.0180496	0.0500183	0.049245	0.00666998	0.00217982	0.0368081	0.0878669	0.186187	0.22482	0.0398318	0.14044	4	63.46147	0.03208161	0.15751	0.506317	1.0155	2.32068	0.214499	0.256405	0.193318	0.129943	0.114966	0.0908697	0.1172747	1.19753
7	0	-597.3818	-536.0446	-61.33722	4.738029	6.292971	0.10667	0.00803948	0.0219822	0.213427	0.0510927	0.0320312	0.0879181	0.0139726	0.0823999	0.0183112	0.0314889	0.0745577	0.06281	0.186084	0.0116863	0.0111763	0.0193553	0.00876461	0.0565735	0.00741756	0.12562	0.0179396	0.349495	0.0739033	0.0690867	0.0314715	0.1086	0.0105829	0.0567042	0.000154293	0.0372725	0.087138	0.0203575	0.0176539	0.0600474	0.00857592	0.245717	0.0157372	0.10368	0.00775797	0.05983038	-0.01456886	0.0309513	0.134239	0.175372	0.024816	0.0529645	0.00449837	0.0554394	0.0210888	0.06618	0.0664272	0.0607685	0.158424	0.0436793	0.0474031	0.0577483	0.1195922	6	70.18205	0.03316066	0.548281	0.829561	1.08059	1.54156	0.157112	0.240281	0.162552	0.147051	0.23743	0.0555739	0.1050233	1.13872
8	0	-593.2505	-534.4485	-58.80203	28.2071	2.766653	0.154596	0.0167475	0.192064	0.017679	0.0167966	0.0340585	0.000214264	0.0216606	0.011662	0.0103441	0.0409732	0.191411	0.0153316	0.0479956	0.307266	0.103392	0.0706383	0.266367	0.023075	0.0476257	0.167042	0.114712	0.0455253	0.0447164	0.028349	0.11771	0.0412104	0.159003	0.0474291	0.00778681	0.213076	0.0620377	0.27197	0.0199571	0.0576764	0.0196341	0.085778	0.0690565	0.0127997	0.0173514	0.08326024	-0.04226815	0.0866352	0.158884	0.181852	0.000916255	0.0573446	0.00942865	0.00927801	0.014547	0.0577453	0.0355299	0.0342901	0.130889	0.0498631	0.109123	0.0636739	0.1359054	8	63.84902	0.02898764	0.370363	0.717731	1.08109	1.83081	0.172229	0.232958	0.180854	0.13816	0.204407	0.0713921	0.09363722	1.451403
9	0	-593.0483	-539.4038	-53.6446	14.72688	2.299426	0.0161096	0.0549193	0.0545646	0.083225	0.0244659	0.00934719	0.00169162	0.0856417	0.0063015	0.0142803	0.0910549	0.046509	0.0121041	0.0378124	0.0941357	0.0255571	0.045703	0.0584237	0.0547364	0.0498318	0.0260529	0.0110811	0.00207211	0.00730804	0.0279347	0.00161492	0.00830265	0.00470839	0.0416615	0.0469161	0.00194483	0.302739	0.0225211	0.0245459	0.0511498	0.0524536	0.00524395	0.143592	0.0148034	0.00777978	0.03792378	0.005685249	0.0573727	0.0207155	0.10628	0.0138443	0.118228	0.0184439	0.0688642	0.0162304	0.0732894	0.11306	0.0372666	0.188196	0.000934339	0.126146	0.0411294	0.3226431	4	86.25507	0.01544958	0.326576	0.683493	1.07595	1.91398	0.177518	0.188589	0.188459	0.118704	0.261934	0.0647961	0.3283284	0.9826843
