Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-363.1521	-323.1885	-39.96361	6.89603	3.295576	0.0667194	0.0247253	0.289512	0.00205846	0.412778	0.0237797	0.021325	0.0098196	0.00164844	0.0862177	0.199048	0.00627454	0.192821	0.0539799	0.0398501	0.469469	0.0440587	0.0147296	0.0266221	0.0393524	0.0188915	0.0111132	0.0248026	0.0131098	0.0702312	0.0285509	0.349343	0.206287	0.0860136	0.177169	0.259573	0.0912257	0.136772	0.176123	0.0748521	0.152481	0.325004	0.230062	0.0170921	0.402562	0.0045857	0.0127837	0.548181	0.250947	0.123043	0.2682224	0.0561078	0.0240503	0.0247108	0.0149088	0.0458134	0.070719	0.0417534	0.033998	0.0177897	0.0336341	0.259201	0.152304	0.0497368	0.042344	0.132929	0.4046356	4	7.182092	0.2336449	0.41091	0.746683	1.08363	1.75878	0.233462	0.201757	0.130483	0.15605	0.168402	0.109846	0.6728579	0.6013685
100	-346.9261	-319.6311	-27.29495	5.367737	1.923736	0.00345089	0.447243	0.352543	0.00347699	0.0911407	0.0419874	0.0253386	0.0931149	0.0553386	0.415383	0.383871	0.0027367	0.079248	0.00723338	0.0350049	0.0164305	0.0473154	0.00991328	0.0452392	0.123383	0.0198326	0.0611414	0.0105061	0.0107973	0.0560482	0.0243649	0.00503971	0.0684011	0.263535	0.503958	0.0234093	0.0405421	0.0149561	0.0849049	0.25473	0.0913161	0.247637	0.502628	0.0134253	0.0163481	0.0869659	0.0131289	0.00444532	0.0635952	0.1033501	0.2455667	0.0858574	0.118358	0.0665995	0.039901	0.0628748	0.104281	0.0526205	0.018898	0.0500157	0.057173	0.145902	0.0649054	0.0457192	0.085186	0.0017088	0.3899818	7	7.938444	0.2662624	0.283998	0.646651	1.06796	2.00139	0.254972	0.269014	0.100144	0.0809242	0.155509	0.139438	0.6355485	0.6136146
200	-346.0896	-325.3685	-20.72106	8.445591	1.014193	0.0151937	0.134078	0.153475	0.02053	0.000360628	0.0743545	0.0447045	0.0567978	0.00598969	0.0763351	0.182189	0.016031	0.487323	0.109556	0.0700768	0.00324133	0.135566	0.0624097	0.060314	0.0670676	0.0589435	0.0427203	0.0674935	0.00850619	0.0234333	0.206953	0.00297081	0.105907	0.00358495	0.259311	0.0493357	0.00723231	0.0235482	0.0200014	0.0275722	0.0527537	0.323438	0.256424	0.0255161	0.124785	0.0329958	0.105274	0.00105488	0.0321171	0.08505937	0.2693865	0.0617642	0.0332255	0.0352126	0.0152079	0.0156891	0.140289	0.00977575	0.113512	0.0147153	0.130274	0.250399	0.00197569	0.0918605	0.0279833	0.0581164	0.3586303	8	9.017487	0.1708015	0.139777	0.480977	1.00231	2.37693	0.200891	0.285379	0.103627	0.0852191	0.128722	0.196163	0.6280167	0.5710521
300	-352.6422	-320.8884	-31.75379	8.788287	3.315415	0.00447131	0.139438	0.142095	0.00313448	0.00129749	0.0265732	0.101198	0.0181942	0.114666	0.00673205	0.0497608	0.00675663	0.26809	0.148958	0.0924287	0.19848	0.0200028	0.0332595	0.00777053	0.031688	0.00619793	0.0480906	0.00685966	0.0127833	0.0632486	0.0375486	0.24373	0.0201605	0.120368	0.133813	0.0696273	0.0721523	0.0243305	0.0972713	0.123335	0.206806	0.231535	0.226774	0.14197	0.201005	0.0275992	0.0976343	0.118452	0.0543806	0.09861755	0.100992	0.0482672	0.0295301	0.00200388	0.0609878	0.0164557	0.0192968	0.0667661	0.297329	0.0244159	0.039694	0.0708025	0.0721601	0.0426045	0.125988	0.0836978	0.3681368	7	10.4348	0.1482161	0.412281	0.747621	1.08368	1.75641	0.190601	0.28562	0.146884	0.113268	0.100493	0.163135	0.4691288	0.7847244
400	-370.6239	-322.1536	-48.47036	10.109	3.236092	0.101075	0.463224	0.308339	0.00775906	0.0959871	0.00260442	0.0158478	0.031089	0.0781606	0.272976	0.00431278	0.116035	0.140025	0.031809	0.144088	0.454984	0.00921946	0.056241	0.0448563	0.121869	0.00559166	0.0717424	0.251886	0.02155	0.346507	0.0492981	0.0392108	0.133681	0.00898265	0.253816	0.00762476	0.0839008	0.162145	0.296633	0.0257188	0.0032609	0.176262	0.302841	0.131545	0.144593	0.0397902	0.135343	0.0302111	0.146116	0.1569643	0.01898901	0.0482076	0.0129947	0.035853	0.0597215	0.00340195	0.165984	0.127442	0.0148372	0.0318073	0.167111	0.213467	0.0317679	0.00203755	0.0292369	0.0561309	0.5197933	6	11.8814	0.1415382	0.40674	0.743815	1.08346	1.76599	0.15316	0.299154	0.127926	0.0619821	0.101569	0.256209	0.5387823	0.9647557
500	-357.5389	-328.5225	-29.0164	5.834469	2.941584	0.181001	0.0284475	0.0182626	0.0756963	0.294373	0.0949706	0.0756354	0.0855235	0.107424	0.0664297	0.203796	0.118711	0.0826314	0.204838	0.258492	0.0142013	0.0208256	0.00915636	0.185213	0.0232784	0.0332456	0.0174266	0.0765582	0.0173168	0.137972	0.00670349	0.0834193	0.112996	0.148568	0.0528926	0.0321362	0.0142512	0.0380789	0.10845	0.0760718	0.0830558	0.709123	0.352811	0.265572	0.118487	0.0211714	0.000189727	0.00778854	0.1229	0.1134569	0.1559403	0.0893947	0.0315147	0.0757341	0.00217993	0.0216097	0.0455175	0.0948631	0.0543701	0.0368335	0.149613	0.00942551	0.125415	0.0464328	0.0686535	0.148443	0.5089826	8	6.523522	0.2758151	0.384692	0.728241	1.08221	1.80486	0.220284	0.253357	0.156863	0.1019	0.171657	0.0959391	0.664923	0.7654761
600	-380.9717	-323.7672	-57.20449	5.915404	5.617749	0.15215	0.0240369	0.00375525	0.019748	7.5668e-05	0.17766	0.42264	0.00536078	0.168392	0.306392	0.0663236	0.138236	0.0802596	0.530144	0.0293447	0.044207	0.186663	0.0448752	0.0086003	0.171123	0.0220291	0.00537507	0.0423708	0.0469819	0.878745	0.185099	0.0741562	0.0495856	0.355952	0.234878	0.06974	0.21084	1.13902	0.699309	0.106109	0.654322	0.122985	0.0997653	0.037316	0.697394	0.106483	0.0667275	0.477157	0.051934	0.1892073	0.2290964	0.0324706	0.0477203	0.0691169	0.00581774	0.0367225	0.0444125	0.0419161	0.0378453	0.0148116	0.22301	0.224926	0.0519893	0.017718	0.100357	0.0511666	0.4083815	10	8.24236	0.1596878	0.525874	0.817403	1.08209	1.57463	0.238705	0.263735	0.0927972	0.0975697	0.158104	0.149089	0.6374779	0.6406207
700	-368.9957	-320.7275	-48.26828	5.904726	2.660926	0.396479	0.15322	0.263356	0.00428226	0.0362259	0.0445682	0.358437	0.375756	0.0246001	0.105883	0.0126009	0.628937	0.308503	0.215043	0.0169569	0.0359399	0.0255304	0.00809356	0.0578698	0.0572601	0.00452465	0.107153	0.198227	0.0186314	0.0420095	0.00426357	0.138986	0.300693	0.00340258	0.490759	0.0290463	0.354638	0.109569	0.132543	0.0964089	0.0613278	0.0223095	0.16409	0.243208	0.848146	0.0646677	0.174645	0.231209	0.419736	0.1673228	0.07296012	0.0651577	0.0551287	0.0290021	0.0344982	0.0245914	0.0298242	0.180069	0.0590034	0.0163264	0.00669875	0.0870764	0.0797051	0.0532028	0.273804	0.00591211	0.5078311	9	7.173813	0.2069129	0.361202	0.71084	1.08024	1.84772	0.177262	0.291076	0.121902	0.109887	0.136985	0.162887	0.5807912	0.874378
800	-366.76	-322.4019	-44.35808	5.628314	3.792223	0.226361	0.136035	0.0966427	0.0184106	0.0887286	0.298374	0.230465	0.00960695	0.0764912	0.233664	0.409771	0.00510642	0.253136	0.0954399	0.0355229	0.123743	0.0596435	0.0169263	0.0713089	0.00299691	0.0264365	0.179064	0.250166	0.049466	0.170072	0.0818158	0.00833184	0.169256	0.284878	0.677964	0.043189	0.240458	0.0664037	0.894959	0.202577	0.0760188	0.0868905	0.281336	0.0107862	0.0911384	0.00430388	0.10636	0.019743	0.0330487	0.1605644	0.03472835	0.0633906	0.00473752	0.0865224	0.153858	0.016184	0.0492916	0.0280241	0.00647561	0.0118087	0.199371	0.0740947	0.0307906	0.0654135	0.192824	0.0172139	0.4755133	10	6.904553	0.3257382	0.442571	0.767703	1.08437	1.70535	0.128037	0.276954	0.143361	0.141137	0.165406	0.145106	0.5102416	0.9319374
900	-356.1521	-322.3139	-33.83825	7.692873	2.878108	0.0517688	0.00100866	0.0974089	0.0373667	0.0105989	0.135136	0.0546444	0.00282688	0.199885	0.227808	0.134375	0.112664	0.17564	0.0668041	0.00519914	0.51112	0.0628205	0.0557882	0.0367343	0.000847788	0.0445843	0.0168108	0.187584	0.0565251	0.0485262	0.0189027	0.218975	0.0446872	0.148632	0.0148482	0.06169	0.135424	0.00522975	0.25065	0.00226284	0.0695128	0.258144	0.271407	0.143289	0.01266	0.086046	0.162178	0.185612	0.0329505	0.0867108	0.02223113	0.0522982	0.135773	0.106767	0.085837	0.0400699	0.0115504	0.0808831	0.0251115	0.0170866	0.0765927	0.0598628	0.0818372	0.193551	0.02211	0.0106701	0.4379264	7	10.28274	0.2242223	0.379607	0.724548	1.08184	1.814	0.260555	0.222524	0.12798	0.108021	0.129197	0.151724	0.4601575	0.951688
