Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-150.1497	-135.2345	-14.91523	3.872688	1.314669	0.23388	0.0363093	0.56211	0.323726	0.135709	1.10927	0.596678	0.275163	0.0259731	1.01131	0.2434304	0.1292623	0.0347812	0.0105005	0.0658731	0.100149	0.0440343	0.0592998	0.0352642	0.073655	0.0797206	0.364256	0.00491817	0.0202807	0.020949	0.0233662	0.0629525	0.2225763	0	11.26798	0.2056391	0.195222	0.55449	1.03739	2.2129	0.0697668	0.188715	0.0419522	0.578746	0.0426301	0.0781908	0.3518386	0.6326091
100	-152.3777	-136.5952	-15.78243	5.710765	2.7656	0.074031	0.384043	0.369341	0.19037	2.24403	0.616699	0.0114886	0.71803	0.631266	0.0436022	0.4054092	0.07669451	0.028092	0.0304786	0.125114	0.0826636	0.0114893	0.000950723	0.0396109	0.139598	0.0313026	0.134793	0.0465498	0.0450441	0.07348	0.0429532	0.16788	0.2942623	0	6.543394	0.2393718	0.370274	0.717664	1.08109	1.83098	0.0284273	0.116096	0.0453807	0.629399	0.0843501	0.0963471	0.3709568	0.7932522
200	-156.067	-137.2742	-18.79277	5.059378	1.45431	0.304351	0.391498	0.738125	0.0364137	0.594721	0.0270295	0.794288	0.701812	1.22286	1.89102	0.4103482	-0.006407692	0.0444468	0.00843219	0.137284	0.0836071	0.0800051	0.23956	0.0132274	0.00952324	0.031552	0.0310529	0.034043	0.185274	0.026241	0.0601084	0.015643	0.209635	0	7.044324	0.1534407	0.218177	0.58077	1.04762	2.15343	0.081965	0.114133	0.065942	0.659087	0.0255473	0.053326	0.2032274	1.03153
300	-145.6909	-130.9215	-14.76939	6.771441	2.303024	0.105029	0.632558	0.739069	0.334952	0.136486	0.197971	0.273997	0.466607	0.779162	0.0968937	0.320187	-0.07036103	0.0160891	0.00284828	0.114069	0.0421128	0.0501672	0.0450124	0.0269972	0.0533827	0.171532	0.141577	0.0425006	0.039804	0.0405325	0.0175951	0.19578	0.4701619	0	9.314435	0.08625106	0.326949	0.683799	1.076	1.91325	0.0811345	0.19039	0.0313335	0.603469	0.0353639	0.0583085	0.3998009	1.17599
400	-146.1599	-131.1284	-15.0315	4.493818	4.642018	0.294902	0.223144	0.437636	0.0137871	0.672808	0.00111319	1.67059	0.758696	0.185934	0.207152	0.3603902	-0.08200389	0.000941027	0.0945002	0.0476859	0.206997	0.0808896	0.0498744	0.0293738	0.0078622	0.0300964	0.203083	0.142659	0.0468857	0.025033	0.00251929	0.0315995	0.2812983	0	5.662804	0.1699778	0.486494	0.794844	1.08386	1.6348	0.062407	0.229309	0.0127761	0.527844	0.053494	0.11417	0.1992944	1.411471
500	-160.3186	-131.6375	-28.68113	7.132876	1.955866	2.01707	0.00907879	0.160729	1.38246	0.000763465	0.429161	1.9273	2.09912	0.235536	0.0365339	0.5766003	-0.0209953	0.101037	0.0384275	0.235032	0.0223718	0.044211	0.00549177	0.0500778	0.0594274	0.085055	0.0442865	0.0297781	0.055727	0.216635	0.010494	0.00194773	0.160309	0	24.89846	0.122674	0.287949	0.650237	1.06884	1.99297	0.0584805	0.148493	0.0315278	0.594321	0.0556549	0.111523	0.1393137	1.150705
600	-154.3115	-133.3213	-20.99021	3.982939	2.997835	0.101251	0.673988	2.00571	0.187543	1.71207	0.241306	0.698808	0.0122068	1.96136	1.05199	0.478288	-0.008500035	0.031542	0.00291419	0.163569	0.243395	0.00454133	0.0236265	0.0485538	0.0284884	0.0694939	0.0345018	0.0590619	0.105555	0.0291869	0.149828	0.00574132	0.3224289	0	4.48417	0.4133805	0.389094	0.731408	1.08251	1.79699	0.0860211	0.194174	0.0605605	0.595161	0.0221233	0.0419598	0.3139289	1.027076
700	-146.2221	-132.5168	-13.70532	5.602646	1.624803	0.397821	0.0657076	0.687832	0.373581	0.460104	0.189431	0.576451	0.351085	1.19062	0.0198949	0.3486005	-0.03571914	0.0645832	0.00305014	0.150657	0.0280263	0.00279361	0.0427625	0.00642113	0.0765731	0.0315631	0.308707	0.0684537	0.110509	0.0301827	0.0564673	0.0192496	0.2532084	0	8.301879	0.1713086	0.243974	0.608093	1.05698	2.09095	0.0677318	0.177661	0.0326209	0.577533	0.0213744	0.123079	0.2174892	1.164234
800	-157.8037	-135.9245	-21.87921	6.945614	1.715927	0.727692	0.135255	0.348813	0.838188	1.02083	0.347911	0.344159	0.769744	0.919087	0.833016	0.5073498	0.1197035	0.129351	0.030861	0.136461	0.0177159	0.0471126	0.192348	0.0475472	0.0264472	0.0182486	0.156128	0.0419021	0.0461087	0.0240606	0.00971528	0.0759921	0.3386107	0	8.442914	0.2822565	0.256836	0.620952	1.06093	2.06128	0.116216	0.140541	0.0938034	0.493937	0.0544235	0.101079	0.4583142	0.7388177
900	-153.5319	-133.9855	-19.54636	7.997626	2.381854	0.175938	0.0255481	1.18154	0.452659	0.292659	0.0122969	0.34744	0.688805	0.520258	0.0310257	0.3392075	-0.02109298	0.0354272	0.00177726	0.0133461	0.0598933	0.0022243	0.0236528	0.00318216	0.0925435	0.0211989	0.257223	0.253037	0.0274311	0.113925	0.00693423	0.0882044	0.148854	0	12.01008	0.06295821	0.334961	0.690314	1.07715	1.89757	0.102018	0.156977	0.049212	0.585462	0.0402782	0.0660525	0.127761	1.165097
