Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-584.9803	-501.0854	-83.89493	26.32189	3.321865	0.156129	0.0812255	0.0204498	0.286056	0.265052	0.0990358	0.883001	0.0352631	0.132213	0.116249	0.105058	0.0229615	0.124488	0.320927	0.0862995	0.0812865	0.0249906	1.0956	0.00248788	0.215781	0.182303	0.0676634	0.550265	0.11584	0.345843	0.170276	0.270923	0.0638572	0.0764881	0.320543	0.0152774	0.221518	0.013076	0.917144	0.0154502	0.0450834	0.683124	0.432154	0.2535208	-0.03015973	0.0203309	0.217784	0.0450712	0.00761812	0.186399	0.0392754	0.0134485	0.00558143	0.0368351	0.00573698	0.323277	0.0179365	0.030465	0.0473809	0.00285969	0.2662841	5	28.27528	0.06368634	0.412725	0.747924	1.0837	1.75565	0.108113	0.111583	0.0715068	0.376317	0.171264	0.161216	0.2361244	1.127728
100	-562.2513	-488.4592	-73.79215	29.4498	5.563848	0.0365074	0.0558186	0.0427833	0.0711924	0.061141	0.277674	0.0694029	0.096519	0.0044621	0.15182	0.0258251	0.452374	0.249519	0.0311418	0.069351	0.161571	0.038015	0.195615	0.00793619	0.237537	0.463788	0.202748	0.0545626	0.0269449	0.16957	0.408855	0.156302	0.0209001	0.173245	0.258275	0.100677	1.0212	0.0905723	0.097663	0.0408108	0.115698	0.0265981	0.0122198	0.1666296	-0.04870804	0.0314385	0.119366	0.0517761	0.00430996	0.173586	0.0300401	0.0198353	0.0177086	0.0303978	0.0845694	0.223382	0.0439721	0.119466	0.0498476	0.000304784	0.3676078	4	33.88292	0.06255978	0.523935	0.816328	1.08221	1.57753	0.0793296	0.137942	0.0806264	0.341741	0.149259	0.211101	0.3188997	1.152738
200	-569.5648	-499.4931	-70.07174	23.56766	2.851497	0.1832	0.2098	0.0111239	0.00303058	0.1068	0.0997142	0.095294	0.120727	0.194431	0.367329	0.101821	0.150113	0.0669888	0.0171424	0.36451	0.168794	0.064148	0.245767	0.0138206	0.0322268	0.241925	0.432017	0.203037	0.0908334	0.205614	0.30839	0.0415762	0.0680369	0.00512902	0.19126	0.0783933	0.0714162	0.00353215	0.397983	0.18407	0.0880522	0.617261	0.0620311	0.1393919	-0.0109175	0.0815466	0.15116	0.103761	0.00165724	0.126554	0.00660209	0.00776634	0.00688503	0.0698916	0.041039	0.179364	0.058613	0.0970003	0.0661629	0.00199682	0.1617804	4	32.89669	0.07849084	0.377437	0.72296	1.08168	1.81793	0.149007	0.124441	0.118107	0.329024	0.103858	0.175562	0.1508629	1.072367
300	-567.0309	-497.7984	-69.23251	25.01044	3.321811	0.131131	0.45716	0.181744	0.298386	0.0952072	0.397035	0.00590229	0.00606927	0.17328	0.0615608	0.0900826	0.224871	0.00513324	0.0519602	0.00959735	0.0440866	0.0252185	0.326661	0.000233937	0.106438	0.0392494	0.367363	0.0313183	0.151215	0.0820304	0.3433	0.0614611	0.0268813	0.154887	0.00951182	0.0407248	0.153336	0.0027461	0.626133	0.0890632	0.137504	0.243564	0.277907	0.1695865	-0.01098764	0.0101245	0.204354	0.0546545	0.00176813	0.0774946	0.0256179	0.0197686	0.0022439	0.037103	0.0311136	0.312903	0.0870199	0.0595253	0.0607149	0.0155935	0.329054	4	28.82597	0.08753129	0.412721	0.747921	1.0837	1.75566	0.187607	0.13176	0.0805567	0.256651	0.178898	0.164528	0.3180664	1.034545
400	-572.3221	-501.2594	-71.06269	26.54744	4.310229	0.167704	0.104746	0.00218889	0.222943	0.0370459	0.0870541	0.310952	0.138214	0.286066	0.0689314	0.0336403	0.034246	0.130195	0.0720646	0.0422583	0.0671431	0.100913	0.383991	0.00349196	0.103449	0.00487886	0.15585	0.0250395	0.0235843	0.0569083	0.231491	0.0315817	0.0263433	0.0657485	0.229256	0.00784348	0.267648	0.0778846	0.132817	0.723614	0.131565	0.348024	0.215968	0.1267306	-0.02419301	0.101315	0.0463504	0.057953	0.0200045	0.0301695	0.0584242	0.00634261	0.010293	0.0180407	0.0323508	0.315545	0.123666	0.132341	0.041965	0.00523858	0.2415183	2	32.05759	0.07657657	0.470633	0.785297	1.08424	1.65983	0.190154	0.119891	0.075674	0.266992	0.141194	0.206095	0.2173253	1.111322
500	-579.8973	-503.7173	-76.17997	29.85617	5.653732	0.0417461	0.135641	0.100863	0.183242	0.265224	0.178017	0.000915578	0.32804	0.00145066	0.292994	0.0409668	0.34924	0.0282017	0.0323335	0.0700786	0.0823993	0.0204435	0.107667	0.0167485	0.359068	0.0832043	0.00842219	0.119885	0.0642422	0.0487262	0.519021	0.175171	0.0356604	0.00622276	0.10242	0.182234	0.230248	0.609226	0.503513	0.060597	0.129286	0.216346	0.127682	0.1235332	0.04386228	0.10632	0.225462	0.0348577	0.0290688	0.0837974	0.0157845	0.0101663	0.0268067	0.00567964	0.0285887	0.274809	0.0573101	0.0315536	0.0547207	0.015074	0.2636915	4	40.70497	0.04737737	0.527155	0.81811	1.08202	1.57272	0.0808093	0.0984402	0.0658809	0.326251	0.208523	0.220096	0.3075538	0.8573834
600	-576.0994	-492.7069	-83.39259	29.9234	4.644318	0.0288446	0.240554	0.345412	0.116178	0.0657308	0.594458	0.00670896	0.287524	0.143434	0.196977	0.0543256	0.179412	0.0241015	0.260196	0.453033	0.267089	0.0176483	0.0785822	0.0131544	0.167812	0.291343	0.0155043	0.0321249	0.172381	0.150422	0.17946	0.404251	0.382017	0.0186084	0.0588993	0.0759518	0.425271	0.0893596	0.314833	0.0464308	1.12498	0.037002	0.107463	0.1520232	-0.001669786	0.124281	0.0678592	0.020968	0.00301942	0.137563	0.0504883	0.0187581	0.00836928	0.0315809	0.106921	0.25588	0.0534568	0.0787108	0.0269183	0.0152254	0.3153339	3	34.09325	0.05653402	0.486599	0.794906	1.08386	1.63463	0.130094	0.0892128	0.0804418	0.363155	0.152623	0.184473	0.3136641	1.005323
700	-578.0211	-499.3624	-78.6587	8.32661	6.925594	0.0903323	0.222338	0.212539	0.223214	0.525607	0.0710104	0.0700725	0.189478	0.2003	0.249139	0.0699276	0.251218	0.39758	0.0443712	0.177059	0.501117	0.0207983	0.0714479	0.015113	0.17323	0.0194752	0.0663934	0.657379	0.282807	0.087512	0.560557	0.860484	0.163082	0.230807	0.0299427	0.117948	0.369104	0.495737	0.38769	0.428959	0.0913702	0.0463772	0.050983	0.2300395	-0.01550703	0.0627263	0.0878142	0.0600175	0.0124178	0.143028	0.0302251	0.0106513	0.00320135	0.0638148	0.0863659	0.201041	0.0930953	0.0651529	0.0800968	0.000351596	0.3518133	3	35.9186	0.09492254	0.566579	0.839149	1.07913	1.51514	0.136597	0.128905	0.066439	0.318719	0.181654	0.167686	0.3363062	1.04611
800	-588.6243	-496.0676	-92.55663	26.44376	5.395655	0.928722	0.251864	0.0606188	0.0576537	0.0623164	0.0170544	0.443752	0.00782455	0.209109	0.772767	0.156258	0.0726103	0.25466	0.124235	0.348122	0.0633639	0.0502384	0.226746	5.30429e-05	0.194693	0.0299985	0.443924	0.238499	0.06436	0.0748499	0.441825	0.209754	0.0387288	0.36154	0.574981	1.26127	0.529527	0.253936	0.728868	0.0751485	0.272786	0.287323	0.230767	0.3038098	-0.03247369	0.131867	0.0691297	0.0653701	0.00889566	0.151389	0.00932706	0.0102956	0.0280794	0.03407	0.0621707	0.224207	0.054393	0.0760821	0.0449269	0.0297972	0.5162534	2	30.11507	0.04016095	0.517724	0.812862	1.08255	1.58686	0.118471	0.0823369	0.109432	0.357296	0.130626	0.201838	0.4837797	1.067125
900	-565.1338	-484.6441	-80.48963	25.8276	6.151837	0.110067	0.0648328	0.0255969	0.271748	0.0359834	0.190841	0.896843	0.256165	0.262468	0.390226	0.00862678	0.372638	0.106103	0.196497	0.198107	0.0134794	0.0259457	0.51243	0.00419858	0.0158203	0.151269	0.0484541	0.120364	0.000320458	0.137996	0.672064	0.154834	0.0111027	0.230061	0.0201678	0.189231	0.0931574	0.3254	0.48079	0.212853	0.0362018	0.312177	0.167159	0.1629584	-0.01168933	0.0240461	0.0842758	0.0419991	0.024044	0.0735747	0.0162865	0.00850532	0.00720104	0.0399333	0.0175697	0.468004	0.0821275	0.076307	0.021417	0.0147084	0.3425726	4	30.38412	0.05127561	0.543865	0.827202	1.08092	1.54802	0.14933	0.156901	0.0643682	0.322314	0.111916	0.195171	0.3308833	1.035328
