Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-265.8971	-260.433	-5.46405	3.274724	1.829149	0.000590239	0.0122302	0.00550629	0.0155414	0.0157427	0.0688655	0.0201406	0.0124737	0.00114959	0.0275541	0.000872062	0.0374659	0.00808012	0.00160629	0.000725722	0.0643365	0.00864998	0.00288521	0.0271681	0.00183713	0.0182106	0.0497334	0.0269177	0.00116509	0.015057	0.0370743	0.179823	0.0470715	0.0145848	0.0196676	0.087575	0.00221138	0.0164803	0.0214555	0.00921617	0.00894617	0.00068142	0.00868429	0.0245949	0.00635999	0.0523784	0.0209309	0.104328	0.0223179	0.00914226	0.0166586	0.0238492	0.00369457	0.02926495	-0.04512739	0.0965392	0.082897	0.122198	0.105447	0.00321468	0.00960255	0.058013	0.0700574	0.139298	0.0867241	0.00640354	0.078996	0.0147674	0.124898	0.000944459	0.4748816	7	53.03048	0.04692566	0.27199	0.635522	1.06506	2.02743	0.195209	0.199964	0.178425	0.0970986	0.233506	0.0957973	0.4297542	1.105007
100	-273.6661	-258.5536	-15.11254	2.970465	2.598025	2.44787e-05	0.00710387	0.0133067	0.00318261	0.0126815	0.0426933	0.0601744	0.0539239	0.108086	0.0212726	0.0152995	0.00104735	0.0016205	0.0388306	0.0720934	0.00568504	0.0607336	0.00913491	0.0377261	0.014526	0.0650594	0.00428436	0.0557207	0.02337	0.00816116	0.0204774	0.0285591	0.112608	0.0168904	0.0707497	0.0272933	0.0122709	0.0511473	0.054823	0.0346022	0.0592688	0.0131712	0.0040256	0.0506063	0.0664326	0.00770089	0.0464822	0.0409446	0.0047718	0.00354275	0.056222	0.0205576	0.178453	0.02964486	0.003842541	0.0173553	0.0117453	0.131248	0.157309	0.0437355	0.0309014	0.0592654	0.0464135	0.165497	0.114865	0.0680525	0.0966537	0.000603285	0.0450237	0.0113303	0.396329	9	50.11825	0.05574535	0.355557	0.706525	1.07966	1.85826	0.219412	0.186742	0.190637	0.0922378	0.256138	0.0548343	0.4001715	0.9903978
200	-286.909	-262.1699	-24.7391	1.37917	1.094909	0.0987844	0.0157697	0.0778901	0.0201375	0.0358678	0.0337339	0.0167408	0.0060232	0.00564179	0.0194943	0.0326085	0.135408	0.00645648	0.0135529	0.024004	0.0274888	0.0697527	0.0183907	0.00131603	0.0223305	0.0661025	0.0861372	0.0464577	0.111241	0.00774936	0.0182819	0.198712	0.0111861	0.101892	0.00231775	0.0240799	0.0184658	0.0255067	0.00398265	0.0942877	0.0133651	0.0460076	0.0141083	0.00388594	0.0944231	0.0168913	0.0303294	0.120878	0.0168129	0.128562	0.045029	0.00348566	0.0138473	0.03745324	-0.07288005	0.0130321	0.0764504	0.115191	0.133756	0.0800216	0.0405756	0.0767506	0.0233532	0.150719	0.105785	0.0663146	0.0679358	0.0147694	0.00885257	0.0264937	0.3805839	7	51.35565	0.07425728	0.155492	0.503531	1.0141	2.32687	0.20301	0.286184	0.167897	0.108459	0.174568	0.0598828	0.3077039	1.236851
300	-276.3545	-261.163	-15.19144	2.972501	0.8382773	0.0164673	0.0313026	0.0334669	0.00862894	0.00860902	0.108616	0.000954772	0.0834637	0.115919	0.00426008	0.00722817	0.011196	0.0325935	0.0774163	0.018648	0.133935	0.0887569	0.00187856	0.049454	0.0317925	0.0893952	0.000301055	0.06133	0.0966523	0.012946	0.00277133	0.0669498	0.00400374	0.00987909	0.0931978	0.116224	0.00799883	0.0173831	0.0101808	0.0398835	0.0104184	0.00122119	0.0228986	0.0212403	0.0266779	0.00166833	0.0119618	0.00926798	0.0329735	0.340051	0.0242038	0.00418915	0.103845	0.05444791	0.01723535	0.013126	0.0612738	0.206251	0.0279466	0.0317834	0.0223955	0.0600607	0.0540173	0.0692376	0.0780339	0.0117756	0.135631	0.0953287	0.0485431	0.0845956	0.402908	7	50.37586	0.05253833	0.103674	0.4221	0.967022	2.5072	0.181167	0.314881	0.183314	0.105641	0.173709	0.0412884	0.4201434	0.9589774
400	-292.9822	-267.9983	-24.98391	1.352846	3.716408	0.00730753	0.00722746	0.0915245	0.0735514	0.0487092	0.0958395	0.0334528	0.00767496	0.136678	0.0354128	0.0081463	0.118015	0.0692747	0.00247754	0.0299083	0.00548215	0.0689749	0.0011426	0.0107359	0.0407685	0.172673	0.0035077	0.164652	0.0545933	0.00430035	4.00643e-05	0.101484	0.00410391	0.0278664	0.0310256	0.150522	0.013305	0.0160087	0.0375777	0.0203408	0.0852158	0.0116994	0.0516548	0.00508479	0.00330802	0.00404013	0.0290112	0.00144458	0.124732	0.0933769	0.0777906	0.00601886	0.00647536	0.04052461	-0.01394639	0.00719801	0.0580207	0.0655769	0.0830548	0.0840749	0.00872849	0.0907715	0.0371936	0.0933224	0.186566	0.00323988	0.171301	0.00323823	0.0605132	0.0472004	0.4944501	6	50.08085	0.04548187	0.438071	0.764794	1.08433	1.71281	0.231067	0.386223	0.0688444	0.063551	0.178084	0.0722311	0.4805037	1.029025
500	-311.2072	-261.4804	-49.72677	2.422869	3.423369	0.0296149	0.0629593	0.180615	0.0138621	0.0327689	0.0546074	0.0360863	0.00256846	0.0719752	0.535101	0.00194808	0.06472	0.0320364	0.0698008	0.106553	0.133473	0.0674929	0.0431202	0.0149348	0.144488	0.0669474	0.0136589	0.0246675	0.0513209	0.172772	0.0786747	0.0816028	0.0261403	0.0351114	0.165988	0.690667	0.0748919	0.0234345	0.186134	0.036382	0.00868215	0.00968292	0.0420902	0.0137622	0.233071	0.0732882	0.0115662	0.0685735	0.1198	0.148239	0.0756892	0.154468	0.000712537	0.08719586	0.02731218	0.0316665	0.0558279	0.169147	0.179296	0.004753	0.0116188	0.0410625	0.0194717	0.0837804	0.0436424	0.00425466	0.192219	0.0285949	0.0594375	0.075228	0.3068879	10	51.86106	0.1238916	0.419576	0.752567	1.08393	1.74392	0.183208	0.369418	0.148033	0.0872663	0.161898	0.050176	0.3342001	0.918276
600	-283.2559	-261.7891	-21.46681	2.373135	2.41565	0.00679663	0.0150749	0.0986165	0.00151774	0.0107606	0.135142	0.0167424	0.00220125	0.14904	0.0571369	0.00560521	0.0126732	0.0471903	0.00354071	0.0118436	0.0127321	0.0441802	0.028732	0.00852851	0.0989661	0.0160308	0.0221148	0.0070712	0.0274835	0.021477	0.03885	0.0671744	0.00326648	0.100914	0.151275	0.146029	0.000636933	0.0146531	0.142565	0.0245996	0.0917439	0.0264975	0.0427331	0.0232428	0.0190686	0.0353357	0.007932	0.00203942	0.00210097	0.0905573	0.0706516	0.0114456	0.0530313	0.046669	0.006642144	0.00956338	0.0146227	0.170271	0.0843709	0.0143768	0.0105454	0.0319549	0.0477666	0.144391	0.137163	0.0403773	0.0644415	0.0939096	0.124535	0.011711	0.5986131	6	56.15807	0.07051587	0.338311	0.693002	1.0776	1.89108	0.209299	0.350998	0.124451	0.0853149	0.189304	0.0406317	0.6052552	0.9890259
700	-284.454	-260.9145	-23.53952	5.722472	3.349368	0.0252813	0.00368114	0.0128287	0.0419478	0.0374157	0.0359161	0.014137	0.146513	0.063562	0.179786	0.0166735	0.0127099	0.141623	0.00426133	0.0137643	0.011979	0.0450632	0.0123934	0.00818407	0.0140313	0.00763447	0.00209097	0.0516448	0.15835	0.00334596	0.0257742	0.000231165	0.0234812	8.14761e-05	0.300411	0.026116	0.0383417	0.0220132	0.0880433	0.00911398	0.0400956	0.0374971	0.0192339	0.0271532	0.0755923	0.0162739	0.00279447	0.0656965	0.00577196	0.0690242	0.108503	0.0372561	0.00302335	0.03907971	0.09660908	0.0181207	0.0342171	0.155106	0.0843796	0.0855216	0.0431388	0.12544	0.14157	0.027649	0.0852397	0.0121896	0.137323	0.011669	0.0350201	0.00341512	0.2497666	7	53.38183	0.05390824	0.414605	0.749204	1.08377	1.75242	0.261731	0.240264	0.118001	0.125167	0.183385	0.0714514	0.3463756	0.7210858
800	-294.2209	-258.2832	-35.9377	2.203893	6.370709	0.0167526	0.0390373	0.0119474	0.00449276	0.0221087	0.34277	0.0173916	0.0267132	0.0722861	0.0233681	0.0353173	0.0902576	0.0243164	0.0247361	0.0258198	0.0819705	0.0718249	0.0172404	0.0598443	0.00724268	0.0180037	0.00912297	0.0267011	0.045571	0.00205479	0.0843563	0.00539414	0.000132503	0.00457268	0.000835113	0.0760525	0.111918	0.118761	0.0273267	0.0164347	0.0887317	0.00164615	0.0242645	0.0771269	0.167926	0.0330923	0.0341091	0.0680587	0.00639168	0.0007581	0.176796	0.067764	0.00672837	0.06159449	-0.1123547	0.00636401	0.0200308	0.122331	0.104643	0.0144976	0.0258334	0.0678319	0.0578039	0.19909	0.0895985	0.0123756	0.114584	0.0403254	0.124078	0.000613596	0.4247179	7	51.32486	0.07735753	0.550658	0.830823	1.08042	1.5381	0.291017	0.323732	0.0758319	0.0791079	0.172086	0.0582262	0.3123632	1.359693
900	-292.2288	-262.8722	-29.35669	1.70209	2.316474	0.0106465	0.0117065	0.0631826	0.0154011	0.0251779	0.105545	0.0497598	0.0121599	0.296215	0.02805	0.0393238	0.0527474	0.0243712	0.21899	0.0502113	0.210428	0.0738616	0.071483	0.08677	0.00638659	0.00450874	0.0391325	0.0703315	0.0116836	0.0151177	0.00119745	0.2073	0.0349482	0.00808154	0.0272392	0.30257	0.144862	0.0463422	0.00224842	0.0506197	0.0218801	0.0422804	0.0117167	0.0714684	0.0550312	0.000347446	0.027391	0.173669	0.0218846	0.0103996	0.0270203	0.13769	0.0393522	0.0712351	-0.06587647	0.00262226	0.0405179	0.121663	0.0709607	0.12032	0.0114215	0.171024	0.02418	0.0589143	0.148077	0.076502	0.112584	0.020873	0.0106373	0.00970294	0.4354948	8	50.86176	0.05863145	0.328336	0.684936	1.07621	1.91052	0.251359	0.242634	0.166275	0.0824282	0.182649	0.0746559	0.3696183	1.178228
