Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-386.1389	-348.4249	-37.71398	10.24548	2.899317	0.0863421	0.0543249	0.0249118	0.164526	0.431811	0.135299	0.00374794	0.0230593	0.0123256	0.0669702	0.0934285	0.105274	0.00936551	0.0156588	0.0355191	0.0898933	0.10009	0.0769218	0.00588368	0.0846963	0.00122603	0.0353784	0.00991739	0.0735449	0.0342734	0.0095032	0.0436772	0.0694807	0.146483	0.0311558	0.0947568	0.0260971	0.0926481	0.067136	0.0372427	0.0319729	0.0195767	0.0836398	0.138178	0.0342503	0.0536787	0.11613	0.10301	0.210928	0.17582	0.0939813	0.0837241	0.508566	0.021919	0.032183	0.572401	0.0951728	0.0347067	0.0404276	0.0288971	0.0040968	0.0715188	0.196901	0.106141	0.000502971	0.084899	0.00512914	0.0889981	0.1606788	0.0339938	0.110188	0.167345	0.100807	0.0133134	0.0215046	0.181356	0.0229759	0.0688524	0.0208195	0.0798279	0.0229569	0.000294879	0.098392	0.0573737	0.7307377	11	10.26277	0.1122234	0.38132	0.725797	1.08197	1.81091	0.134617	0.131804	0.248445	0.0622707	0.274335	0.148529	0.8914164	0.8197489
1	0	-409.9659	-367.4092	-42.55667	7.47682	1.736949	0.0797048	0.0191834	0.0799939	0.101564	0.00200323	0.00554396	0.0290868	0.163637	0.0923527	0.0092377	0.0209561	0.0214025	0.099433	0.0205676	0.092076	0.0934644	0.0179334	0.0290479	0.132207	0.0849673	0.0731621	0.0284887	0.0178877	0.198933	0.0283219	0.150809	0.200559	0.00682141	0.00457785	0.0314709	0.0316586	0.203276	0.14677	0.00453514	0.127962	0.326963	0.0172216	0.0240323	0.0054405	0.0791209	0.0024391	0.146738	0.0443057	0.16631	0.00377599	0.15458	0.182628	0.793724	0.102277	0.229042	0.0396375	0.00498343	0.266797	0.167123	0.0486412	0.148365	0.120319	0.0688984	0.438503	0.0761577	0.00445673	0.100574	0.1085655	0.06969154	0.0526217	0.0754316	0.0128447	0.191253	0.0744267	0.0244288	0.0846429	0.00915179	0.0783432	0.0356689	0.219306	0.0279188	0.026375	0.0512424	0.0363437	0.5923171	10	8.501978	0.1448101	0.259717	0.623769	1.06176	2.05475	0.0861994	0.198323	0.206634	0.130262	0.186164	0.192419	0.6620086	0.8947271
2	0	-384.0711	-344.7694	-39.30173	8.090472	3.389325	0.025525	0.0426608	0.0224634	0.384154	0.0720194	0.00526801	0.0274074	0.0327305	0.0145653	0.020099	0.100397	0.0674592	0.023928	0.110279	0.0908835	0.344111	0.0785404	0.668977	0.00319559	0.11541	0.032004	0.138889	0.114163	0.181103	0.0832893	0.0586016	0.119995	0.0137926	0.0575913	0.050714	0.0118945	0.00196109	0.0395032	0.0249113	0.0634971	0.144595	0.0171465	0.00645305	0.283058	0.0261036	0.0800876	0.400835	0.0931306	0.00636663	0.0321844	0.130247	0.0219283	0.158771	0.0733691	0.347536	0.00362944	0.0442337	0.140938	0.0704592	0.145221	0.21277	0.117553	0.0351134	0.401379	0.00399905	0.254421	0.04912	0.09543372	0.119963	0.0356999	0.0269241	0.175609	0.13478	0.00287113	0.0119182	0.144153	0.0160788	0.100079	0.0254593	0.0948488	0.00529592	0.0996646	0.0988461	0.0277724	0.8458325	12	8.146828	0.1764637	0.417305	0.751035	1.08386	1.7478	0.152436	0.180173	0.291575	0.0458232	0.21516	0.114833	0.9657955	0.8757884
3	0	-387.9574	-347.6684	-40.28901	7.244785	4.212278	0.140376	0.0211617	0.0191523	0.230249	0.0210283	0.105065	0.00511555	0.107223	0.00125487	0.133626	0.0178809	0.150545	0.0738347	0.0246642	0.153629	0.0131623	0.0127178	0.017846	0.114808	0.113429	0.0172747	0.0160678	0.0928008	0.283319	0.0501938	0.0308682	0.00691336	0.233801	0.0011199	0.00370679	0.00792076	0.0545061	0.0898987	0.0325968	0.0483329	0.0862716	0.0249415	0.046417	0.0730213	0.0664406	0.0434092	0.0625855	0.0748763	0.0133852	0.0750665	0.255793	0.226509	0.766043	0.409823	0.232053	0.0341666	0.255751	0.141575	0.0409387	0.0935381	0.112455	0.223892	0.00643112	0.250708	0.0196423	0.0520872	0.0306665	0.09328626	0.1194784	0.0831373	0.0918272	0.0779289	0.101476	0.0223458	0.0303107	0.143901	0.00529002	0.0847148	0.00997445	0.125387	0.00686136	0.00408665	0.172992	0.039766	0.7230826	14	11.16038	0.2264876	0.465657	0.782244	1.08431	1.66779	0.0995054	0.154099	0.222496	0.0850856	0.29008	0.148734	0.8425609	0.8581962
4	0	-407.0541	-349.5592	-57.49493	7.261996	6.3072	0.0840763	0.0652793	0.0331296	0.00614355	0.171078	0.062583	0.0382347	0.0443138	0.00809811	0.290436	0.0329133	0.400559	0.0248982	0.182542	0.171774	0.268281	0.00194724	0.0608767	0.153204	0.05173	0.11797	0.0459492	0.0431893	0.105029	0.242659	0.0412706	0.0616586	0.26138	0.00519817	0.141273	0.071146	0.0686102	0.00320373	0.0268625	0.0383142	0.0148605	0.065364	0.0607989	0.221212	0.393762	0.20767	0.416008	0.040268	0.00830815	0.0452298	0.390997	0.809628	0.000737293	0.182634	0.218512	0.0345176	0.351613	0.162475	0.0267944	0.398479	0.0575572	0.0965778	0.17536	0.453498	0.011894	0.0262454	0.0830005	0.1499385	0.2889144	0.0578665	0.194906	0.0511027	0.0662666	0.0262168	0.0360202	0.163554	0.00785569	0.0538721	0.0225079	0.107377	0.00488537	0.016435	0.133459	0.0576747	0.6664426	17	7.631928	0.2782162	0.548719	0.829794	1.08056	1.54093	0.122982	0.207396	0.168659	0.0960724	0.256544	0.148346	0.955357	0.6975849
5	0	-365.4616	-345.4853	-19.97631	9.535196	5.908788	0.00304325	0.0300282	0.0435009	0.0982564	0.0398916	0.028884	0.0162381	0.00904247	0.00180075	0.0543788	0.0134675	0.0301834	0.0683761	0.0140788	0.000522404	0.0370784	0.0212264	0.0022249	0.00745855	0.0308864	0.0465519	0.000723662	0.0238625	0.0101843	0.470103	0.00217608	0.00715403	0.0912028	0.0857166	0.0308747	0.292124	0.00101636	0.00748991	0.0364748	0.0251493	0.192921	0.0233465	0.000967265	0.147494	0.0387759	0.151555	0.135183	0.0188632	0.0183809	0.158912	0.0320691	0.190181	0.00347934	0.00067185	0.0964756	0.0331009	0.179524	0.0813783	0.0324369	0.185557	0.0294812	0.00849795	0.0698921	0.309709	0.0536349	0.0617945	0.164743	0.05987452	-0.02067735	0.0252878	0.0639171	0.12989	0.10177	0.0303575	0.0129755	0.122859	0.00897578	0.0556965	0.00150704	0.102233	0.0696729	0.0136296	0.225791	0.0354374	0.625975	15	9.96321	0.1600834	0.535941	0.822923	1.08146	1.55967	0.134251	0.208716	0.176646	0.0832795	0.298428	0.0986793	0.6052976	1.034161
6	0	-384.9096	-345.2074	-39.70215	11.59606	2.33068	0.0569541	0.109778	0.00500991	0.406172	0.00604115	0.0266101	0.0211304	0.0235486	0.00428619	0.00938171	0.0308557	0.0120921	0.0338368	0.00738627	0.0502409	0.415525	0.199655	0.0684919	0.0161992	0.0480977	0.0178372	0.0420804	0.0164929	0.00321546	0.217187	0.164522	0.0260171	0.0927027	0.0487363	0.00543447	0.020708	0.0100297	0.126373	0.109791	0.141374	0.203346	0.0316305	0.0100948	0.0323695	0.192801	0.0242044	0.117419	0.0363098	0.190237	0.28745	0.0421604	0.225574	0.0322793	0.0922386	0.086922	0.0164521	0.00148338	0.199877	0.00353124	0.087005	0.0100347	0.0097303	0.00710174	0.469859	0.0533958	0.0175223	0.153572	0.08637879	0.08196199	0.0472184	0.00494855	0.0374048	0.16263	0.0291963	0.0213949	0.0941595	0.00384613	0.079046	0.0426476	0.26045	0.0669761	0.0325642	0.0744704	0.0430467	0.6650699	15	11.76778	0.1625306	0.329792	0.686125	1.07642	1.90766	0.136653	0.179959	0.238803	0.109179	0.179491	0.155915	0.7470319	0.8902831
7	0	-408.2583	-350.0663	-58.19201	8.13839	4.572796	0.0295267	0.0158986	0.0204829	0.332003	0.124477	0.0214652	0.0393182	0.10897	0.00296756	0.0284538	0.0125726	0.0186469	0.212612	0.090831	0.00767609	0.545216	0.0311917	0.122847	0.191613	0.0708287	0.268813	0.179042	0.000339054	0.0447873	0.00951746	0.423308	0.020517	0.191627	0.0200219	0.00932058	0.0746858	0.0528665	0.0199316	0.120358	0.42578	0.116204	0.014472	0.0136299	0.146667	0.484406	0.320576	0.344136	0.00635608	0.72902	0.380722	0.169118	0.0311083	0.0123596	0.357849	0.0497811	0.0272298	0.125983	0.250026	0.0135941	0.000780803	0.00535174	0.0199016	0.136649	0.311326	0.214272	0.0281994	0.0606046	0.1516747	0.003265378	0.0350511	0.111534	0.094791	0.120287	0.06624	0.0421135	0.0994623	0.0033903	0.0115782	0.0748488	0.139482	0.0102468	0.000858098	0.109949	0.0801685	0.6140489	14	8.69616	0.2074275	0.483305	0.792947	1.08396	1.63979	0.0914167	0.214803	0.226275	0.0950357	0.287715	0.0847555	0.6173143	0.9947103
8	0	-402.7347	-357.2795	-45.45522	8.030122	3.519228	0.261769	0.0149336	0.0424741	0.0310116	0.035993	0.086418	0.124211	0.0127612	0.0587508	0.049103	0.0930728	0.0449922	0.0918948	0.0518257	0.0278923	0.092398	0.0351315	0.00475142	0.196837	0.00678089	0.00857423	0.160213	0.040666	0.0989393	0.0975056	0.266169	0.0364738	0.00653387	0.0884611	0.119567	0.105398	0.073796	0.0556784	0.0699089	0.350071	0.122276	0.169408	0.00559858	0.161658	0.431728	0.0408872	0.0323091	0.0559444	0.00213517	0.0228631	0.0296433	0.152916	0.0350526	0.0590614	0.136832	0.0083549	0.385616	0.627606	0.089929	0.62702	0.118438	0.0141229	0.273438	0.0834043	0.0358064	0.104239	0.0337703	0.08728968	-0.08699575	0.026068	0.119087	0.0154592	0.0567178	0.0198698	0.057685	0.181546	1.87839e-05	0.0725683	0.139664	0.0857054	0.00283285	0.00368265	0.155116	0.0639792	0.6194925	16	11.21917	0.1900544	0.425828	0.75675	1.08411	1.73332	0.186913	0.17251	0.189358	0.0526463	0.300263	0.098309	0.5324967	1.163373
9	0	-381.8535	-351.3082	-30.54528	10.90998	6.102376	0.175453	0.0923096	0.0155776	0.0047234	0.246455	0.0284735	0.138656	0.00891884	0.000664722	0.0960116	0.0234365	0.122293	0.0642836	0.00766377	0.00277016	0.0782129	0.0301929	0.0242142	0.0147287	0.0209694	0.0152655	0.0679037	0.00761782	0.00988219	0.0948042	0.0211628	0.0871176	4.14761e-06	0.00923466	0.0568039	0.16477	0.120852	0.05725	0.0923804	0.0367388	0.0409225	0.0599977	0.0282882	0.026964	0.349461	0.0506298	0.139858	0.0154658	0.02624	0.0758752	0.0557603	0.233097	0.0108621	0.033212	0.101024	0.0591947	0.189193	0.146834	0.0301141	0.173294	0.00424796	0.0224072	0.1663	0.190971	0.0405704	0.0137736	0.159431	0.07588464	0.1366507	0.0664658	0.0378052	0.0683644	0.15666	0.00425401	0.0444421	0.260338	0.0189992	0.0722117	0.0308327	0.0907579	0.0242922	0.00131543	0.109443	0.0138179	0.7267676	12	13.18393	0.08542529	0.542286	0.826354	1.08103	1.55033	0.101632	0.130841	0.255352	0.0777804	0.331898	0.102496	0.8634183	0.8417329
