Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-614.0716	-531.5967	-82.4749	7.098092	1.875931	0.0647245	0.00549571	0.0878955	0.0491555	0.0336953	0.46184	0.0307374	0.0605464	0.368358	0.282064	0.0162282	0.327618	0.245992	0.511597	0.0141188	0.293387	0.163956	0.00163658	0.0242684	0.0223661	0.0561497	0.0351329	0.00450715	0.0143093	0.0389735	0.149046	0.0326638	0.0538799	0.0441253	0.0108302	0.0181529	0.201606	0.0666196	0.135034	0.107303	0.0414306	0.125496	0.0506617	0.00686735	0.00647434	0.1241078	-0.03741434	0.00212156	0.0264258	0.05305	0.0339028	0.131489	0.000178084	0.100684	0.00116575	0.0154962	0.173327	0.0970535	0.135114	0.00766383	0.141119	0.081209	0.2171937	2	67.78615	0.02711007	0.278001	0.641137	1.06655	2.01431	0.169608	0.323655	0.146119	0.125358	0.171365	0.0638945	0.1797794	1.208113
100	-575.2786	-526.678	-48.60063	12.36251	2.957964	0.043944	0.00450371	0.0151708	0.0809014	0.0386611	0.0484666	0.00916908	0.113539	0.0354558	0.0118626	0.0139821	0.0765942	0.111999	0.000568323	0.049584	0.196558	0.000209969	0.151689	0.0112242	0.0231436	0.0277772	0.113113	0.0121852	0.0292791	0.0479444	0.0533247	0.0746576	0.0736815	0.036156	0.0256102	0.0331431	0.00735767	0.00897257	0.0742217	0.033242	0.00353087	0.0023791	0.00154647	0.0957871	0.0938032	0.05091279	0.03110359	0.00605763	0.0431041	0.128767	0.0167384	0.0601536	0.000190313	0.0667097	0.00094335	0.0419721	0.0916914	0.0732909	0.150406	0.0482797	0.1184	0.153296	0.1218472	5	67.63	0.0302097	0.385984	0.729174	1.0823	1.80254	0.200506	0.235082	0.133218	0.0988332	0.200878	0.131483	0.1529508	0.7966432
200	-584.1206	-524.4905	-59.63017	8.886415	2.314547	0.0248879	0.00172938	0.0573344	0.0312867	0.0228908	0.105711	0.00142709	0.104767	0.016494	0.0539409	0.00159933	0.123676	0.0678866	0.126768	0.0341658	0.0902516	0.0445326	0.0134138	0.025311	0.008043	0.0208705	0.0141378	0.0244686	0.087537	0.211212	0.0414121	0.119939	0.0390173	0.146722	0.0227165	0.114262	0.00191882	0.00268807	0.0644946	0.0396394	0.0227417	0.00163832	0.0350019	0.0591422	0.168985	0.06540294	0.0001149854	0.00209953	0.131835	0.095295	0.0152531	0.0631477	0.0129491	0.074399	0.00126496	0.0252333	0.109732	0.090459	0.170578	0.0169486	0.18498	0.0058265	0.1233946	2	83.44949	0.02421995	0.328138	0.684774	1.07618	1.91091	0.144543	0.336976	0.102363	0.0877742	0.216955	0.111389	0.1235095	0.999069
300	-587.2514	-521.3195	-65.9319	1.944217	1.941388	0.222738	0.00374279	0.0311209	0.00421206	0.0331612	0.125577	0.00873144	0.194107	0.0142026	0.0707058	0.0158708	0.179086	0.127125	0.0656214	0.0258028	0.20699	0.0611429	0.152505	0.0374603	0.0143312	0.0136464	0.0176374	0.177061	0.0532794	0.120143	0.0429557	0.0838631	0.013089	0.0376943	0.087016	0.00912597	0.00853612	0.217339	0.166252	0.0145626	0.00974559	0.131622	0.0109158	0.0315796	0.130003	0.08489078	-0.01133857	0.0370632	0.117693	0.193419	0.0208471	0.0431628	0.000873702	0.116419	0.00172649	0.032565	0.0596019	0.109466	0.073427	0.0204879	0.137536	0.0357121	0.1213555	2	66.84705	0.04706704	0.286176	0.648633	1.06845	1.99674	0.130113	0.235207	0.20414	0.0982467	0.226005	0.106289	0.1100169	1.103062
400	-576.0261	-525.0893	-50.93675	3.624816	4.853456	0.173987	0.00364918	0.0402883	0.0182967	0.0693333	0.00791577	0.00608417	0.0954445	0.000774411	0.0202927	0.0692531	0.0866148	0.041145	0.0522646	0.0548018	0.0652164	0.00380258	0.018076	0.0486486	0.0329703	0.0165127	0.0412213	0.0313724	0.0258142	0.11833	0.0196129	0.00735497	0.0788136	0.0799024	0.0283759	0.0346248	0.00186359	0.0324075	0.0255104	0.0131842	0.160727	0.0258987	0.011652	0.0122416	0.00737124	0.04441886	0.01466985	0.00327615	0.11384	0.202275	0.0443092	0.139786	0.00183645	0.0839423	0.00709962	0.0493066	0.0832131	0.0419068	0.0937173	0.0421338	0.0647603	0.0285971	0.1507573	3	69.7814	0.03105524	0.495875	0.800362	1.08355	1.62021	0.135436	0.187467	0.22584	0.115701	0.247265	0.0882905	0.1654272	0.9113214
500	-588.7924	-529.1327	-59.6597	13.30003	2.602634	0.0366873	0.00165319	0.0683223	0.031398	0.110918	0.067188	0.13029	0.0784839	0.031996	0.0666839	0.00609404	0.0763732	0.157613	0.0106744	0.0613007	0.0669281	0.0268356	0.0117936	0.109872	0.0150021	0.0157457	0.0278785	0.0331124	0.0702218	0.0537877	0.0411638	0.018813	0.0952619	0.271096	0.0712186	0.0384893	0.00614095	0.0932312	0.0733511	0.0109465	0.0681935	0.113752	0.00556338	0.0249965	0.0100399	0.0451303	0.01420292	0.017252	0.0548193	0.130113	0.0588834	0.110995	0.00129352	0.0497433	0.00889028	0.0329486	0.0240768	0.12368	0.202894	0.00800207	0.104745	0.0716635	0.3159724	3	67.58637	0.01269158	0.355976	0.706847	1.0797	1.85747	0.145145	0.306152	0.147292	0.147454	0.162754	0.0912023	0.3301753	0.9569837
600	-597.2789	-532.539	-64.73983	7.242422	3.612552	0.0589141	0.012565	0.0578319	0.0846351	0.0623332	0.0925442	0.0173102	0.165428	0.172838	0.0775774	0.0635629	0.116702	0.0245442	0.00779726	0.0445466	0.112327	0.0116841	0.0370758	0.0343304	0.039904	0.0250056	0.0731518	0.0562522	0.0806679	0.129485	0.18385	0.180481	0.123764	0.0378846	0.18783	0.0033778	0.0629398	0.0421545	0.0420675	0.00447553	0.0303997	0.0093588	0.00780142	0.0015781	0.0194939	0.05595195	-0.01702108	0.0358744	0.11395	0.0602139	0.0152189	0.0272726	0.0107047	0.103585	0.00143432	0.0174165	0.112699	0.0500165	0.154898	0.0651704	0.167498	0.0640471	0.4225084	2	78.77299	0.01020593	0.431723	0.760646	1.08423	1.7234	0.199109	0.246622	0.144901	0.100965	0.216218	0.0921849	0.4054874	1.041977
700	-585.2306	-534.1633	-51.06729	11.85869	1.475672	0.0279029	0.0738036	0.0298168	0.0559033	0.00383013	0.370548	0.0767826	0.0725483	0.0501911	0.0747677	0.13542	0.00730671	0.0113924	0.12196	0.064441	0.113311	0.0174974	0.0705073	0.0304802	0.028352	0.00343627	0.0142188	0.0801899	0.0859293	0.00849339	0.038743	0.12483	0.0638064	0.0213893	0.0183119	0.00986397	0.0530208	0.000269577	0.0657327	0.0674002	0.0571501	0.00307272	0.00551001	0.0149969	0.0417447	0.05668174	0.002620354	0.00194591	0.114902	0.0666835	0.0259977	0.0259	0.0020127	0.0856115	0.00347828	0.038538	0.0690451	0.0414205	0.153623	0.0174993	0.288618	0.0647249	0.1477831	5	101.0617	0.02225913	0.22154	0.584456	1.04896	2.14504	0.153832	0.257879	0.14781	0.0848025	0.266928	0.0887476	0.1504034	0.9825778
800	-597.7766	-536.1273	-61.64925	4.712264	1.949787	0.0527386	0.00452453	0.0055695	0.0775342	0.0661545	0.0702582	0.0135204	0.00654951	0.0245424	0.0691702	0.0784531	0.144362	0.0271823	0.0218185	0.00072871	0.0170376	0.0718566	0.0351399	0.00581533	0.0114399	0.0511912	0.104947	0.0711582	0.0196294	0.0899208	0.0493785	0.158203	0.129318	0.00344914	0.0162897	0.0239187	0.0728482	0.000718057	0.0241775	0.118746	0.136527	0.0465507	0.0172725	0.161602	0.0667682	0.04634094	-0.008796107	0.0125137	0.104983	0.102661	0.0726698	0.100924	0.0053445	0.0803529	0.00228908	0.0711363	0.020038	0.145128	0.122919	0.00243824	0.05933	0.0972711	0.1051307	4	90.01816	0.02767173	0.287206	0.649566	1.06868	1.99455	0.127945	0.251576	0.181491	0.162977	0.188196	0.0878147	0.09633458	1.091308
900	-578.0162	-521.1262	-56.89001	1.91572	3.425008	0.150137	0.0792709	0.109249	0.031972	0.106789	0.356995	0.00234037	0.0646608	0.0129531	0.0127864	0.0128038	0.208332	0.00458791	0.0982342	0.06049	0.271671	0.0878043	0.00594553	0.0790287	0.00170574	0.0104364	0.036561	0.049742	0.0180965	0.039663	0.0528186	0.137721	0.0280806	0.104297	0.000265003	0.0478074	0.0057703	0.000828658	0.0137047	0.00264337	0.0260537	0.0712965	0.00678914	0.0995179	0.0113316	0.06047169	0.004269033	0.00323561	0.0756888	0.0414468	0.0258129	0.0620777	0.000962613	0.132563	0.00370001	0.0294135	0.0834322	0.119335	0.101412	0.0574071	0.225992	0.037521	0.09891052	4	74.58927	0.03499956	0.419685	0.75264	1.08394	1.74374	0.221224	0.23998	0.152043	0.106841	0.184419	0.0954929	0.1031796	0.9586252
