Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-648.515	-521.3503	-127.1647	29.55966	1.626594	0.113149	0.135106	0.374717	0.0467848	0.549399	0.636837	0.0324274	0.00232645	0.308085	0.0303848	0.0326118	0.137678	0.184303	0.205088	0.170799	0.16391	0.345063	0.282483	0.307248	0.0527964	0.0575017	0.102277	0.119081	0.366169	0.384722	0.0207823	0.0525514	0.266638	0.0817972	0.0349343	0.10014	0.486093	0.0160082	0.0611911	0.129333	0.478512	0.0315927	0.192123	0.292846	0.124032	0.378539	0.0611206	0.213176	0.0234412	0.0264976	0.00488451	0.158548	0.291305	0.100141	0.178994	0.0277824	0.345249	0.159331	0.293336	0.573575	0.0349505	0.359631	0.038384	0.0134451	0.09986	0.184337	-0.01763872	0.126277	0.242205	0.0512026	0.0305323	0.0776224	0.0530613	0.0186304	0.0224415	0.0506452	0.00625822	0.165587	0.0129616	0.111918	0.0278826	0.00277502	0.540402	8	53.72195	0.03778929	0.244233	0.608356	1.05707	2.09035	0.108445	0.0802701	0.148034	0.287549	0.186612	0.189089	0.5227633	1.033741
100	-590.9764	-509.0375	-81.93889	31.21337	4.265535	0.046121	0.0626137	0.141891	0.0277788	0.161602	0.0126914	0.140309	0.0182439	0.00931272	0.00977479	0.0708677	0.326779	0.024717	0.0552102	0.0546756	0.0701497	0.0242962	0.0176961	0.158966	0.0117996	0.00500263	0.127384	0.361496	0.0571902	0.0408403	0.000818622	0.200427	0.139944	0.0130228	0.00468164	0.0561879	0.0432348	0.328544	0.154274	0.156824	0.342225	0.0645867	0.111353	0.00920854	0.0840708	0.0612718	0.0133635	0.016729	0.0221154	0.162697	0.13717	0.00876694	0.184888	0.0368323	0.0346023	0.00841197	0.0641242	0.0416891	0.162599	0.153152	0.220846	0.314092	0.00515651	0.188866	0.0185159	0.09669157	-0.01089876	0.0852123	0.102237	0.0540735	0.00413175	0.0910914	0.123411	0.00838603	0.0283222	0.05374	0.0207508	0.238767	0.106794	0.0490715	0.0277832	0.00622877	0.4115311	6	50.18713	0.04352007	0.46838	0.783918	1.08427	1.66343	0.158593	0.0915177	0.0883103	0.373747	0.123902	0.16393	0.4006324	1.027204
200	-581.0387	-507.863	-73.1757	40.3587	3.149347	0.00304388	0.234645	0.15202	0.0314539	0.0418162	0.0248897	0.00123194	0.0238785	0.0447905	0.0155423	0.128649	0.042463	0.155867	0.0765251	0.0313572	0.0145154	0.0399283	0.0198517	0.0589441	0.0477728	0.0617951	0.051963	0.0768903	0.00112562	0.0186068	0.00508513	0.0225668	0.0281522	0.0263924	0.034549	0.064807	0.0507728	0.0772324	0.0873243	0.130066	0.203438	0.0134653	0.0895474	0.0706491	0.000513507	0.0216494	0.0535608	0.00104067	0.0423097	0.0569119	0.0320314	0.00589874	0.0457485	0.0243901	0.104538	0.0118429	0.0735827	0.0603196	0.10647	0.0353348	0.0580042	0.174502	0.0208795	0.24273	0.0504607	0.07894115	0.05343406	0.0729354	0.222966	0.0762109	0.0132221	0.0400992	0.0283123	0.0154973	0.041115	0.0270838	0.0113096	0.160827	0.18519	0.0483864	0.0500802	0.00676442	0.2386716	7	69.34293	0.06943059	0.400495	0.739475	1.08316	1.77687	0.130833	0.0960831	0.0898068	0.250332	0.227346	0.205599	0.2921057	0.8170729
300	-586.3473	-514.6933	-71.65399	28.30494	9.319602	0.00135719	0.25625	0.0788445	0.0691053	0.0110087	0.0126003	0.002316	0.0280069	0.058966	0.0760408	0.177575	0.0283198	0.126489	0.059657	0.211219	0.0320606	0.0553079	0.0957703	0.0905973	0.0566821	0.0218934	0.0303714	0.0136157	0.0353859	0.0338018	0.0581451	0.186481	0.0905429	0.118631	0.031819	0.0113762	0.0132733	0.0631639	0.0588127	0.418888	0.01736	0.0666629	0.0813405	0.0021022	0.160121	0.0766232	0.0507903	0.00978636	0.0139506	0.168215	0.023292	0.188252	0.0245995	0.0722921	0.0226506	0.100455	0.0142801	0.0227984	0.0917118	0.0130468	0.106896	0.058614	0.135892	0.0224751	0.0599394	0.09745291	-0.0262062	0.0784949	0.176774	0.105002	0.0160088	0.0366469	0.0594457	0.00447619	0.00612049	0.0254296	0.0246252	0.106783	0.206817	0.0698946	0.0521906	0.0312907	0.5313621	9	50.32057	0.04710812	0.619674	0.865367	1.07374	1.44122	0.104046	0.154917	0.0746728	0.337549	0.159214	0.1696	0.5051559	1.051877
400	-594.763	-511.2442	-83.51883	25.92517	4.434619	0.078178	0.308733	0.107348	0.035208	0.0674947	0.373865	0.0172524	0.0210075	0.208952	0.0410755	0.100649	0.0755388	0.122092	0.0173282	0.0731304	0.083237	0.0463648	0.121331	0.15532	0.0272527	0.0319223	0.00632953	0.0592459	0.0272441	0.034938	0.0444758	0.0365446	0.0447013	0.0170604	0.166161	0.0299848	0.0264647	0.00470612	0.0403519	0.0520676	0.00632377	0.143822	0.133908	0.015613	0.0071581	0.115339	0.0411403	0.0318726	0.226436	0.00642585	0.0416593	0.19373	0.0080796	0.0483879	0.527052	0.140313	0.00464862	0.191189	0.0126871	0.0863326	0.213451	0.0349016	0.0120407	0.175384	0.021859	0.0788539	0.03932061	0.029425	0.0918943	0.0936312	0.0333851	0.043968	0.00268899	0.0377023	0.016647	0.0200052	0.0336746	0.349208	0.0372464	0.135109	0.0351581	0.0402565	0.4749443	8	58.61098	0.03938548	0.476753	0.789014	1.08412	1.65011	0.129922	0.123059	0.0853779	0.317617	0.102058	0.241966	0.5142649	0.9235402
500	-582.2254	-507.722	-74.50341	34.79507	2.712045	0.0438036	0.0254931	0.0661814	0.0795487	0.20612	0.316621	0.0204524	0.0281387	0.103819	0.00436664	0.00183676	0.000931665	0.0190632	0.132557	0.101823	0.0578566	0.00343751	0.120707	0.0100201	0.00439121	0.0934473	0.0550793	0.312118	0.059281	0.0262961	0.00629651	0.000348804	0.154997	0.00863818	0.0419273	0.0334306	0.0595859	0.0700848	0.0165373	0.035568	0.194744	0.279216	0.202433	0.0275029	0.0457935	0.130663	0.00780057	0.190376	0.0252547	0.221781	0.00226008	0.00996295	0.118105	0.0375152	0.103233	0.126507	0.105096	0.0744959	0.00481257	0.00949057	0.114928	0.154757	0.053094	0.101435	0.00275626	0.0898697	-0.06193773	0.0608337	0.0948292	0.0694842	0.013806	0.162234	0.0314723	0.00497646	0.000755726	0.0651167	0.0288071	0.190866	0.0974487	0.0855091	0.0787625	0.0150982	0.4274824	11	51.10729	0.06741055	0.365681	0.714226	1.08067	1.83942	0.13005	0.148537	0.123666	0.215399	0.186371	0.195978	0.3655447	1.16944
600	-591.0954	-512.2445	-78.85089	31.84567	3.225066	0.0126403	0.296341	0.103354	0.0513641	0.0674209	0.154167	0.00321751	0.0220353	0.0381181	0.00462759	0.209017	0.0296737	0.0329648	0.000500137	0.0922772	0.0102446	0.00885184	0.134813	0.364039	0.0328259	0.127014	0.0061941	0.0945908	0.0359276	0.041949	0.0317419	0.00147231	0.208734	0.145514	0.0476203	0.0398866	0.0199808	0.10659	0.0131255	0.0148201	0.146026	0.308983	0.0607037	0.00212501	0.102719	0.102079	0.0243464	0.0124695	0.0746134	0.0800999	0.0184862	0.448089	0.022757	0.223928	0.227043	0.0150104	0.0337599	0.109637	0.0824105	0.00396934	0.0089211	0.0172433	0.0235741	0.0114165	0.108954	0.07832951	0.04951492	0.0228451	0.113643	0.0581142	0.0747799	0.156012	0.024459	0.0142161	0.02497	0.0258691	0.084446	0.252875	0.0532956	0.0535736	0.0333458	0.0075562	0.5776069	6	50.61717	0.02917009	0.405957	0.743274	1.08342	1.76735	0.113531	0.129328	0.0897598	0.398386	0.11703	0.151965	0.6271218	0.9210442
700	-581.3897	-508.1967	-73.19307	38.25354	5.401668	0.0673801	0.103162	0.127409	0.00109514	0.0517387	0.166703	0.00493624	0.0352628	0.089133	0.00551761	0.25999	0.0089755	0.073086	0.0130083	0.171517	0.0099439	0.0120749	0.0411955	0.0556654	0.0179818	0.00482864	0.000216747	0.0880603	0.0220822	0.239317	0.0851663	0.0104468	0.126983	0.0906857	0.0412256	0.0130321	0.000312316	0.00186715	0.0175127	0.0346888	0.522216	0.0628289	0.214646	0.0125023	0.0317738	0.0182437	0.0123166	0.00540587	0.0328331	0.043442	0.0526548	0.110099	0.0103409	0.156108	0.095476	0.0148687	0.0296862	0.125964	0.0210744	0.0134456	0.00827895	0.0494355	0.00632895	0.0721532	0.0897199	0.05819619	-0.02363291	0.0941721	0.0288466	0.10419	0.00406134	0.113811	0.0400084	0.0210441	0.00194861	0.0534853	0.0151558	0.284175	0.10057	0.0855361	0.0484589	0.00453685	0.5388098	6	56.84475	0.02711468	0.517951	0.812989	1.08254	1.58652	0.0853804	0.0740258	0.0850941	0.448762	0.147118	0.15962	0.5151769	1.045873
800	-572.6074	-512.1917	-60.41569	35.91286	3.163228	0.0411648	0.355518	0.0378234	0.00270658	0.0445904	0.00398856	0.0175039	0.0471844	0.00701629	0.018074	0.0892684	0.0935776	0.0600848	0.0473144	0.0980774	0.016872	0.0223016	0.127045	0.00547555	0.0270653	0.145224	0.0022544	0.0449374	0.0121001	0.026101	0.00538653	0.0263035	0.127797	0.0539529	0.159827	0.0158983	0.0168444	0.114895	0.0129687	0.137643	0.149518	0.0904256	0.122996	0.0114166	0.0246729	0.00441775	0.0638332	0.00893088	0.0104362	0.0424283	0.0338142	0.0978618	0.0745782	0.131914	0.00480826	0.0353983	0.0171771	0.105281	0.147901	0.00896179	0.000352698	0.0817734	0.0285472	0.0232104	0.0524993	0.0568688	-0.005328194	0.00277464	0.17612	0.0828935	0.0382163	0.0464927	0.151531	0.00949861	0.00460118	0.0234236	0.0388882	0.139775	0.140651	0.0592164	0.0511661	0.0347508	0.3387066	9	52.78938	0.06967175	0.401508	0.740183	1.08321	1.7751	0.101865	0.136628	0.108655	0.365321	0.13913	0.1484	0.3333784	1.015982
900	-576.4073	-504.9402	-71.46704	39.94426	4.536964	0.00878765	0.0676302	0.0990164	0.0159778	0.219601	0.272294	0.0830355	0.00601162	0.0836971	0.0346011	0.11476	0.0075378	0.0161599	0.0388138	0.0208568	0.00647321	0.00420442	0.092895	0.044906	0.0149024	0.0139068	0.0691743	0.0517719	0.0245227	0.0137613	0.00213043	0.0577944	0.0769718	0.00268375	0.00165623	0.0415081	0.0893507	0.0178386	0.0179062	0.0357174	0.21823	0.0520252	0.0229596	0.0382416	0.0644578	0.0234864	0.00138735	0.0169706	0.0625882	0.0395092	0.138588	0.0608747	0.1278	0.00361838	0.103211	0.0125952	0.423027	0.177284	0.0521525	0.0638564	0.098122	0.0847863	0.0283267	0.0138015	0.0171477	0.06638503	-0.03334497	0.0816342	0.16137	0.0320825	0.00625071	0.12051	0.0562755	0.000129043	0.00226868	0.113057	0.0221705	0.233626	0.0166276	0.106106	0.0240029	0.0238903	0.4095983	8	52.14672	0.0394533	0.48163	0.791946	1.084	1.64242	0.116183	0.0885316	0.140058	0.329723	0.147485	0.17802	0.3762533	1.088624
