Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-328.28	-288.1358	-40.14421	9.364065	1.607203	0.1425093	0.1407053	0.0162829	0.196176	0.047859	0.0696212	0.0202359	0.000960846	0.150422	0.00582961	0.281145	0.0426469	0.0638501	0.0406077	0.0485907	0.00782494	0.00794828	0.2161635	1	9.922273	0.08720713	0.241418	0.605479	1.05614	2.09696	0.194599	0.359231	0.104065	0.0923705	0.167551	0.0821832	0.3568688	0.6057226
100	-335.7063	-291.0536	-44.65268	9.359575	4.307236	0.09943052	0.173941	0.0656927	0.0935444	0.00825147	0.0185133	0.0913952	0.00708806	0.0616259	0.01556	0.216625	0.00942728	0.16236	0.00636967	0.0312026	0.16348	0.0488644	0.2934253	1	9.848446	0.1030545	0.470483	0.785206	1.08424	1.66007	0.179407	0.261161	0.155951	0.103691	0.232921	0.0668692	0.4673663	0.6278273
200	-332.5234	-292.2173	-40.30614	7.876383	1.774019	0.1503849	0.1059383	0.0607853	0.201601	0.00779558	0.028062	0.076201	0.0155977	0.0666039	0.00263282	0.115606	0.0500295	0.196629	0.0518278	0.0238763	0.0260531	0.0766981	0.1503319	2	8.60819	0.136718	0.264721	0.628609	1.06315	2.04352	0.185115	0.268783	0.117853	0.134104	0.226541	0.0676042	0.2562702	0.5866147
300	-336.8236	-300.0242	-36.79944	8.697773	2.587491	0.1198598	0.1741608	0.0270153	0.0987356	0.073818	0.125553	0.0219321	0.00550532	0.269015	0.00236976	0.052356	0.0107313	0.0602991	0.0197115	0.0540571	0.125987	0.0529152	0.2574303	1	11.90089	0.0769587	0.354598	0.705786	1.07956	1.86006	0.228767	0.260154	0.119761	0.0628995	0.211366	0.117053	0.4315911	0.5964681
400	-331.8762	-293.8768	-37.99936	8.343211	1.406153	0.1717444	-0.02573932	0.0526359	0.14927	0.0234529	0.0630754	0.0775353	0.0624821	0.180992	0.00376254	0.147536	0.00845607	0.117765	0.0346568	0.0134309	0.0310475	0.0339023	0.3571745	1	10.47749	0.1096405	0.210454	0.572152	1.0444	2.17299	0.203405	0.270108	0.139821	0.134841	0.185248	0.0665776	0.3314352	1.07766
500	-327.6586	-289.5113	-38.1473	7.210634	1.876769	0.1054662	0.03414328	0.0307851	0.0827506	0.0262412	0.0304394	0.0302712	0.000602367	0.153751	0.00413422	0.14865	0.0153755	0.251917	0.113507	0.0754473	0.0307196	0.0054079	0.3561653	0	9.441872	0.1001108	0.278107	0.641235	1.06658	2.01408	0.224138	0.305805	0.0905119	0.100872	0.158934	0.119739	0.3903085	0.9125223
600	-339.6951	-300.0733	-39.62189	9.731633	2.758606	0.224206	0.02227559	0.0252024	0.164667	0.00119958	0.0407986	0.0950823	0.0101459	0.1877	0.0011775	0.0951961	0.0768858	0.14078	0.0972421	0.00406385	0.0507375	0.00912122	0.4516769	1	10.00018	0.1197142	0.36968	0.717222	1.08103	1.83207	0.210847	0.241476	0.0547649	0.15705	0.254357	0.0815056	0.4739525	0.9530004
700	-327.6116	-291.2053	-36.40626	8.40066	2.537372	0.1131173	-0.03189005	0.0416154	0.155251	0.00368355	0.0213933	0.0120042	0.0138427	0.135903	0.0145507	0.142419	0.0456231	0.106637	0.0459748	0.0981961	0.154944	0.00796135	0.2924742	1	8.870996	0.1515505	0.349971	0.702202	1.07904	1.86879	0.296223	0.311104	0.116789	0.102123	0.111458	0.0623027	0.2605842	1.122379
800	-338.3665	-295.2288	-43.13772	8.755065	4.170162	0.1012845	0.2220315	0.0224059	0.131219	0.0528547	0.069359	0.032292	0.0212641	0.0833405	0.0455545	0.0998956	0.0577928	0.132658	0.0844963	0.031262	0.130235	0.00536993	0.1674538	1	8.870604	0.09587937	0.463473	0.780895	1.08434	1.67129	0.25969	0.336789	0.0752234	0.101111	0.120668	0.106518	0.3894853	0.429936
900	-324.4175	-280.6272	-43.79026	11.45101	3.153398	0.1249065	0.03291375	0.0209758	0.0982583	0.000526121	0.0137086	0.00590006	0.00430082	0.156075	0.00577222	0.201049	0.0505364	0.0748342	0.0589322	0.00699581	0.260394	0.0417416	0.2235632	1	14.54822	0.04947847	0.400792	0.739682	1.08318	1.77635	0.273142	0.296587	0.120404	0.0789977	0.168482	0.0623873	0.256477	0.8716698
1000	-332.7857	-293.9524	-38.83336	7.371856	2.713512	0.1989753	-0.0177865	0.0052509	0.221794	0.0611172	0.0278763	0.00839446	0.0322945	0.170538	0.00328526	0.0762244	0.00718475	0.148049	0.00270832	0.109593	0.0587848	0.0669044	0.3126093	1	8.436011	0.1154044	0.365808	0.714322	1.08068	1.83919	0.245791	0.304896	0.0913136	0.079492	0.177633	0.100875	0.2948228	1.060329
1100	-344.9401	-295.343	-49.59712	13.18926	2.254049	0.1437804	-0.01830943	0.0116892	0.138128	0.025891	0.0255027	0.00739314	0.000218984	0.0485098	0.00545288	0.191311	0.10675	0.193579	0.0412741	0.0374967	0.163527	0.0032772	0.1744727	1	13.4885	0.09311961	0.321825	0.679568	1.07522	1.92339	0.246562	0.349167	0.069513	0.132841	0.1454	0.0565178	0.1561632	1.117245
