Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-127.9238	-120.6343	-7.289488	7.070607	2.909288	0.0333316	0.0253181	0.0725408	0.0857229	0.0290894	0.00839486	0.0301394	0.0185142	0.0208171	0.0566316	0.113008	0.0972554	0.194818	0.0649575	0.0535238	0.499091	0.0120133	0.0623701	0.0447281	0.0448315	0.0758716	0.0430177	0.05443198	-0.1805515	0.0151122	0.183063	0.134591	0.00818488	0.0225672	0.0202206	0.0657	0.036212	0.0113676	0.169482	0.142779	0.133725	0.0240896	0.0107152	0.0221913	0.7539044	4	7.383807	0.2301138	0.38212	0.726379	1.08203	1.80947	0.0603214	0.248611	0.0549454	0.493611	0.0447081	0.0978023	0.5733528	1.314905
100	-124.2724	-127.1303	2.857918	4.415385	0.88524	0.0146331	0.14966	0.0451839	0.0174125	0.0921385	0.13352	0.242494	0.00761198	0.115394	0.0131113	0.346327	0.0242947	0.0441011	0.0865502	0.132485	0.0716237	0.0251331	0.0209351	0.0398642	0.00661463	0.0691562	0.288195	0.07919525	-0.1964453	0.0179337	0.00751844	0.126967	0.00738768	0.0640355	0.0717865	0.146022	0.0642335	0.211996	0.0182376	0.0454111	0.104927	0.0335809	0.0152729	0.0646898	0.570474	3	5.134818	0.2831166	0.113527	0.439316	0.978038	2.46912	0.11155	0.262224	0.0771214	0.384297	0.0416536	0.123153	0.3740287	1.525215
200	-127.4011	-127.9412	0.5401303	5.247689	2.478149	0.0729094	0.0539647	0.064211	0.00593329	0.0348527	0.137927	0.0488777	0.255269	0.00236118	0.143146	0.110221	0.0122024	0.024341	0.133263	0.14406	0.0342592	0.0948549	0.0258724	0.00635305	0.151231	0.00705039	0.0331819	0.06554727	-0.06774848	0.00872232	0.0523331	0.107281	0.134385	0.0121114	0.248224	0.0667185	0.0205583	0.106651	0.0394509	0.0224082	0.0366059	0.0914102	0.017771	0.0353684	0.7002613	4	8.985789	0.2666955	0.344375	0.697817	1.07838	1.87943	0.0998298	0.244656	0.109583	0.402467	0.0221243	0.12134	0.6325128	1.10711
300	-119.6851	-124.8082	5.123128	6.15468	1.043798	0.000545586	0.00717215	0.0524286	0.0149505	0.020496	0.0320545	0.010536	0.0748312	0.0329849	0.00461307	0.166964	0.0603137	0.225359	0.0267255	0.00246541	0.0503757	0.0177024	0.141952	0.427192	0.0121939	0.0295666	0.0394224	0.06479279	-0.1233819	0.0812822	0.121195	0.14901	0.0398855	0.0465103	0.0620244	0.215817	0.000154976	0.00934056	0.0796698	0.0405839	0.00828408	0.0695142	0.0658475	0.0108808	0.6006961	2	6.821707	0.2470797	0.145609	0.489532	1.00689	2.35796	0.109868	0.26921	0.098238	0.325865	0.121269	0.07555	0.4773142	1.258492
400	-105.9257	-118.7556	12.82993	5.02092	1.57083	0.0246574	0.125822	0.0354592	0.0292083	0.0155226	0.0137827	0.0239145	0.0143271	0.00190274	0.000982223	0.0578669	0.0161883	0.0291021	0.147202	0.00749668	0.00674518	0.00465436	0.00834056	0.245737	0.0440912	0.014069	0.000680252	0.05067955	0.1693322	0.0437196	0.149069	0.0590552	0.026744	0.00201466	0.00919471	0.111144	0.0711494	0.0433152	0.347652	0.0513181	0.031707	0.00679445	0.0108338	0.0362884	0.347287	3	9.075034	0.09620313	0.23606	0.599937	1.05432	2.10968	0.0907066	0.213956	0.0308686	0.48049	0.0503054	0.133674	0.5166191	0.6722301
500	-119.3475	-124.1364	4.788959	4.186588	1.334245	0.0321983	0.0609998	0.0792044	0.0116564	0.142195	0.00981644	0.0773213	0.0107462	0.0581452	0.304108	0.0828422	0.0440964	0.0190585	0.124645	0.024392	0.161508	0.0405982	0.0498868	0.05802	0.0149885	0.0195373	0.0222012	0.09901577	-0.2676957	0.013914	0.0577737	0.0811173	0.07237	0.0711765	0.124294	0.0383733	0.0353229	0.0389729	0.108192	0.0539717	0.0806044	0.0323393	0.00825393	0.183325	0.8955349	3	5.492946	0.1917299	0.198544	0.558421	1.039	2.20404	0.0749184	0.171362	0.0536661	0.527144	0.0500265	0.122883	0.6278392	1.426376
600	-125.121	-120.8762	-4.244762	8.631193	2.068148	0.00329892	0.014943	0.227119	0.209726	0.170436	0.0130459	0.000291481	0.0601964	0.0209797	0.0542935	0.128931	0.0227701	0.00287646	0.0044412	0.195119	0.0300667	0.0370375	0.073496	0.0629423	0.0309687	0.016581	0.323358	0.0663364	0.07879342	0.0840817	0.0344421	0.193825	0.163153	0.0265378	0.0620047	0.0205193	0.0160105	0.0789731	0.146136	0.0622149	0.0755265	0.00855506	0.00698996	0.0210302	0.5074164	2	10.65699	0.1451081	0.301276	0.66207	1.0716	1.96505	0.0568589	0.251522	0.0367904	0.53333	0.015368	0.10613	0.5862098	0.8655884
700	-123.583	-123.4698	-0.1131812	4.785181	3.696659	0.00297761	0.0633993	0.0309606	0.00092568	0.0214258	0.0171169	0.126355	0.0103186	0.0114661	0.0233606	0.199527	0.00950531	0.0292947	0.0675105	0.216873	0.134268	0.0837882	0.0549694	0.0640637	0.0106357	0.0975813	0.0458034	0.07891476	0.1920214	0.0483507	0.0479478	0.10522	0.0802135	0.0473804	0.0807099	0.125214	0.0387463	0.0143803	0.286609	0.00252272	0.0290567	0.061869	0.00324998	0.0285301	0.1754527	3	7.350738	0.3815621	0.43688	0.76402	1.08431	1.71479	0.113581	0.147879	0.0394588	0.465707	0.130736	0.102639	0.367474	0.477456
800	-112.6635	-134.7848	22.12128	5.555035	1.034477	0.005774	0.0246459	0.103126	0.050691	0.0218088	0.022525	0.00136743	0.00770325	0.000592309	0.027522	0.0365107	0.0144656	0.0321583	0.0176058	0.0507973	0.0550293	0.00132141	0.0104196	0.0512628	0.0457796	0.00976885	0.0587268	0.02997936	0.157283	0.126543	0.0157809	0.113166	0.013696	0.00369526	0.112872	0.110776	0.00159037	0.0224293	0.104181	0.116525	0.0176519	0.0307494	0.0626247	0.147719	0.46759	3	8.05094	0.3165403	0.143781	0.486875	1.00549	2.36386	0.17023	0.131155	0.127782	0.396855	0.110658	0.0633191	0.6248729	0.7482961
900	-120.722	-120.9593	0.2373469	4.570948	3.385439	0.0200706	0.204675	0.0091738	0.00312275	0.000596948	0.0125451	0.145509	0.0336195	0.178466	0.0221251	0.047755	0.0359401	0.0812921	0.0990972	0.374584	0.016419	0.00965137	0.0176372	0.181149	0.303	0.0520115	0.00154974	0.08252245	0.1682426	0.0238857	0.28495	0.104553	0.0823823	0.0416119	0.13704	0.0167705	0.00255455	0.00296936	0.125153	0.00384462	0.11415	0.0149913	0.0146866	0.0304568	0.3313039	2	6.736939	0.2507933	0.417044	0.750858	1.08385	1.74824	0.103453	0.274756	0.0606255	0.373436	0.0837348	0.103994	0.4995464	0.6632094
