Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-353.6932	-303.6141	-50.07912	3.869549	4.280506	0.136769	0.0325305	0.828528	0.457944	0.0445937	0.0786512	1.51935	0.979108	0.661978	0.373133	1.64382	0.0108288	0.775117	0.643646	0.879584	0.0445701	0.958323	0.158267	2.02767	0.817696	0.00823709	1.18742	0.7064672	-0.193735	0.0603667	0.00917451	0.11627	0.0316377	0.00600654	0.0300903	0.08842	0.0147787	0.142817	0.1452	0.2025	0.0267863	0.0291739	0.0928133	0.00396553	0.451437	3	5.322468	0.1443998	0.469138	0.784383	1.08426	1.66222	0.18366	0.312981	0.102699	0.117799	0.188085	0.0947762	0.257702	1.751779
1	0	-337.2332	-304.6745	-32.55877	4.56191	2.734777	0.0545322	0.329641	0.0378706	0.120407	0.0462458	1.10947	0.0149127	0.202004	0.289315	0.0107214	0.0953674	0.138555	0.848391	0.655182	1.33018	0.143255	0.386253	0.648043	0.0035758	0.0378976	0.406364	0.18159	0.3673807	0.1709133	0.112925	0.00288332	0.00767988	0.0346581	0.0661838	0.000120157	0.121337	0.036593	0.0464299	0.0723639	0.325682	0.0384614	0.0863645	0.0353243	0.012994	0.25181	2	6.656955	0.1504034	0.367643	0.715699	1.08085	1.83581	0.207164	0.279954	0.142829	0.0713897	0.172253	0.12641	0.4227232	0.5956851
2	0	-350.1482	-296.7405	-53.40766	7.254057	1.916625	0.0516129	0.00918543	1.26379	0.590208	0.358099	0.0398736	0.81479	0.353969	0.351632	0.251147	2.09379	0.697657	1.23217	0.788573	0.113136	1.19415	0.222707	0.740988	0.256133	1.49239	0.199227	0.353226	0.4689452	-0.09513238	0.134493	0.0114709	0.05713	0.00281412	0.0855243	0.000680825	0.0659812	0.000554399	0.0453993	0.0171265	0.239094	0.136383	0.0931522	0.0755644	0.0346318	0.2891902	1	11.99356	0.1222203	0.283115	0.645844	1.06776	2.00328	0.175915	0.33355	0.0993423	0.0806174	0.213955	0.0966199	0.1940578	1.490227
3	0	-343.6288	-293.9377	-49.69107	4.453729	2.720982	0.728068	0.341591	0.367026	0.795268	0.862013	1.93567	0.0189604	0.461595	0.404887	0.643122	0.0534146	0.315584	0.330073	0.92994	0.00987957	0.320779	1.18857	0.151536	0.71333	0.357766	1.27634	1.09424	0.4804383	0.2071987	0.0886948	0.0664591	0.0153531	0.0475681	0.0422621	0.00864118	0.182363	0.0055148	0.0284942	0.0664319	0.279944	0.00261093	0.0441896	0.108201	0.0132726	0.4227556	4	6.102918	0.2324969	0.366454	0.714807	1.08074	1.838	0.219624	0.259889	0.142277	0.0724363	0.137251	0.168523	0.6299543	0.6710894
4	0	-343.7824	-299.795	-43.98748	4.485716	3.902905	0.472929	0.588519	0.240539	0.324707	0.00186716	0.690352	0.00317478	0.0730398	0.342218	0.583603	0.212073	0.578658	0.334354	0.131787	0.141377	0.629119	1.68028	0.163561	1.07624	0.376125	0.190846	1.03252	0.4092179	-0.1144109	0.0800473	0.0191774	0.000357564	0.0121462	0.0103347	0.00289419	0.0707009	0.00634979	0.0658533	0.0659777	0.275195	0.0300731	0.168672	0.114326	0.0778956	0.3330421	1	6.25385	0.1344282	0.448947	0.771783	1.0844	1.69487	0.264128	0.267652	0.0997029	0.0509999	0.204874	0.112643	0.2186312	1.523305
5	0	-333.2382	-292.9484	-40.28981	6.899045	3.801023	0.158269	0.334189	0.226983	0.341726	0.319848	1.01323	0.0223104	0.0712972	0.576054	0.456467	0.180844	0.026587	0.742481	0.527447	0.0158332	0.304414	0.114533	0.152578	0.0169725	0.387397	0.189536	0.642571	0.3869547	0.140884	0.141635	0.0666555	0.0520308	0.0156331	0.019956	0.00789591	0.0689297	0.00324784	0.0315973	0.0700874	0.379083	0.00164451	0.0883547	0.0329403	0.0203088	0.2476486	4	12.67263	0.1957821	0.443086	0.768035	1.08438	1.7045	0.182562	0.261946	0.0717156	0.118114	0.150132	0.21553	0.3885326	0.6373946
6	0	-336.1868	-293.8634	-42.32334	5.478104	3.078896	0.874902	0.0836888	0.950936	0.39209	0.0885197	1.17113	0.0436998	0.157602	0.583701	0.0938407	0.270432	0.280881	0.0440156	1.37229	0.172702	0.154166	0.47619	0.057002	0.140371	0.106169	1.12061	0.335244	0.2316607	0.2365441	0.126497	0.0340332	0.0439784	0.0460995	0.0058938	0.0203308	0.0763143	0.000752855	0.0397151	0.103061	0.36846	0.018676	0.0903775	0.0233891	0.00242135	0.1876322	2	8.863586	0.1513492	0.395275	0.735805	1.08288	1.78604	0.218486	0.226569	0.118939	0.0950714	0.208492	0.132441	0.4241764	0.4423449
7	0	-341.9644	-309.1126	-32.85179	5.445575	2.258719	0.253159	0.00369211	0.159487	0.43982	0.238712	1.08295	0.0484248	0.189882	0.880667	0.348884	0.0530975	0.161664	0.644126	0.00436566	0.282963	0.433791	0.854822	0.216532	0.00724163	0.613316	0.0894026	0.461612	0.3220118	0.1069627	0.0907302	0.00927997	0.223164	0.0275751	0.0103727	0.0190807	0.215394	0.0139173	0.0257586	0.00783969	0.146036	0.00450838	0.0511616	0.115742	0.0394406	0.2723187	3	6.61689	0.2085887	0.322318	0.679978	1.07529	1.92241	0.155504	0.348266	0.114475	0.0731336	0.159728	0.148892	0.3792814	0.717986
8	0	-347.4068	-306.3947	-41.01211	11.36935	3.149074	0.0517732	0.0204086	0.340117	0.53354	0.342907	0.262105	0.019796	0.134635	0.782784	1.05219	0.284895	0.0460885	0.586468	0.0202707	0.0607114	0.188533	0.0114932	0.21452	0.216127	0.151155	0.523601	0.372027	0.2536076	0.2152639	0.0867012	0.0399586	0.0371794	0.00946032	0.0424241	0.0185523	0.0498244	0.023727	0.0240637	0.0272358	0.378512	0.0688941	0.116319	0.0364154	0.0407319	0.1409773	2	20.41879	0.09060649	0.400476	0.739462	1.08316	1.7769	0.206625	0.367154	0.0944713	0.0655351	0.138415	0.1278	0.3562412	0.3957354
9	0	-355.4465	-299.1799	-56.26659	5.649182	1.649243	0.359076	0.377117	1.65577	0.0791858	0.151233	4.79199	0.0409032	0.0688698	0.481498	2.29824	0.555044	0.107394	0.785922	0.330186	0.779877	0.00427661	0.461798	0.12811	0.623861	3.11353	0.424222	0.552586	0.5235588	0.2039646	0.163284	0.00208506	0.0108393	0.0302162	0.0184975	0.0506594	0.0998987	0.0028799	0.0441964	0.0557402	0.355426	0.0107259	0.108663	0.0261537	0.0207343	0.2370432	2	6.383651	0.09328886	0.247484	0.611649	1.0581	2.08276	0.229791	0.294568	0.0788027	0.114568	0.121501	0.160769	0.4410077	0.5375034
