Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-235.7757	-240.5384	4.762713	3.911551	2.783605	0.0127114	0.0615599	0.0249621	0.0759397	8.41582e-05	0.0134991	0.0577014	0.0289146	0.0113544	0.0147019	0.00828489	0.00116472	0.00102121	0.00069691	0.00241816	0.0138589	0.00103661	0.0100724	0.00464824	0.0111659	0.0651207	0.0197084	0.0087943	0.0130652	0.023553	0.162037	0.0110657	0.154819	0.0225244	0.0233201	0.00998518	0.126201	0.0171458	0.0350296	0.00879419	0.00276856	0.0388862	0.012819	0.00171924	0.038688	0.0295417	0.000284018	0.00176077	0.0167967	0.000944879	0.0112513	0.142903	0.0331438	0.02513812	-0.01573997	0.0237713	0.0334561	0.291246	0.00273043	0.0406968	0.0899108	0.179959	0.0328924	0.0710535	0.0688434	0.0210443	0.0877033	0.010535	0.0461213	3.6462e-05	0.3272237	6	52.16201	0.1054617	0.371796	0.718796	1.08122	1.82819	0.149609	0.184002	0.190366	0.0935808	0.319135	0.0633067	0.3114837	1.050532
100	-264.1842	-251.3056	-12.87861	3.960917	2.514378	0.0376783	0.0259368	0.0250437	0.0657759	0.0243606	0.0130105	0.00238064	0.0615785	0.0422098	0.13757	0.0450336	0.00108876	0.0268126	0.0388021	0.0123604	0.0377499	0.0274494	0.0226849	0.00957364	0.0247898	0.0724689	0.0118726	0.00194822	0.00205409	0.0463919	0.122766	0.11432	0.0269671	0.0296517	0.0139753	0.00351147	0.0072031	0.0305501	0.0160785	0.0231046	0.0522776	0.0275882	0.102434	0.117902	0.0974908	0.00758944	0.00692842	0.00143115	0.0537991	0.0505783	0.00969222	0.0326311	0.00466386	0.02906064	0.02592042	0.0892156	0.0188383	0.0608947	0.00180101	0.147479	0.0228508	0.0676286	0.00241552	0.0807541	0.0879503	0.0237749	0.166528	0.0209982	0.153195	0.0556758	0.4188486	6	52.03921	0.0752472	0.347816	0.70052	1.07879	1.87288	0.168967	0.268771	0.129136	0.0968012	0.261054	0.0752709	0.4447691	0.9417216
200	-254.7903	-252.6054	-2.184868	2.474502	1.951477	0.0800691	0.0499892	0.0145408	0.0658367	0.0167679	0.0258292	0.0489048	0.000951047	0.0743462	0.0456583	0.0905225	0.0159163	0.00246948	0.0204555	0.0101584	0.00904944	0.0279261	0.00166701	0.00506116	0.00309227	0.0753878	0.0660938	0.00250439	0.000549085	0.0845167	0.00685596	0.0852446	0.0168901	0.0351474	0.000783901	0.153543	0.0427814	6.00166e-05	0.00974807	0.0477906	0.00571228	0.0439075	0.0312049	0.0183402	0.0634693	0.011902	0.00183004	0.00241321	0.00628801	0.0110069	0.00304508	0.17159	0.0188068	0.03485667	0.02417605	0.0250691	0.118015	0.147786	0.00550169	0.0120882	0.108164	0.124719	0.0817975	0.0913802	0.0938429	0.0247805	0.114755	0.0110842	0.0295412	0.0114761	0.5328015	9	51.22746	0.06359596	0.287413	0.649753	1.06873	1.99411	0.182639	0.289855	0.129519	0.117699	0.223538	0.0567483	0.5569775	0.9565942
300	-266.8544	-244.4392	-22.41525	1.575671	4.202272	0.0310567	0.0336169	0.00202016	0.10641	0.0357443	0.0738065	0.172176	0.0662653	0.0508029	0.0205761	0.0254716	0.0210581	0.132931	0.0625533	0.013032	0.0497341	0.0164299	0.00658568	0.00971819	0.00161983	0.133534	0.163293	0.0284002	0.00423442	0.00211067	0.13349	0.153349	0.0268504	0.00196816	0.0203257	0.0740343	0.0995529	0.10613	0.121596	0.0127345	0.00313444	0.0493172	0.139709	0.0129005	0.0439754	0.0124372	0.00639405	8.6221e-05	0.00996903	0.0318514	0.0190823	0.0515362	0.00654433	0.06226833	0.138256	0.106356	0.00827597	0.0973541	0.000893905	0.00724959	0.0202586	0.137116	0.0269506	0.17885	0.0630825	0.00562502	0.245036	0.00728115	0.035313	0.0603585	0.4179013	10	52.17063	0.07535046	0.46514	0.781926	1.08432	1.66862	0.168147	0.23368	0.150952	0.133408	0.269057	0.0447564	0.5561573	0.7514085
400	-231.221	-242.7408	11.51983	2.473926	2.890466	0.00707752	0.00794697	0.0100518	0.0291579	0.00794375	0.00248995	0.000906211	0.00797093	0.0940375	0.0201907	0.0675875	0.0164054	0.0394352	0.00148692	0.00551058	0.00702587	0.00581653	0.00191463	0.00442417	0.00139883	0.0781058	0.0148031	0.0463137	0.00306799	0.0017224	0.0185853	0.0303893	0.00537119	0.0140211	0.00610897	0.0022974	0.0489988	0.0458226	0.17545	0.0219629	0.00288151	0.106063	0.00898481	0.00954019	0.0474845	0.00625641	0.0913504	0.0254639	0.0375622	0.00340954	0.0496451	0.00277957	0.0115353	0.02313377	0.001277644	0.0337211	0.048869	0.11933	0.00228276	0.0975078	0.0466357	0.0538316	0.045413	0.177674	0.198126	0.014336	0.105971	0.00209795	0.0426931	0.0115114	0.3653981	6	50.10468	0.06404998	0.380607	0.725277	1.08192	1.8122	0.185491	0.177324	0.0750249	0.065953	0.4622	0.0340069	0.3666757	0.9965156
500	-249.5229	-248.6888	-0.8340288	3.463826	6.842689	0.00134363	0.00464763	0.014997	0.159373	0.000377456	0.000115495	0.017269	0.102232	0.115038	0.0103838	0.014657	0.00626775	0.0316377	0.0468257	0.00281177	0.00705755	0.0273247	0.0339509	0.0177115	0.000302572	0.0807647	0.00500816	0.00989442	0.00222834	0.0580814	0.0141965	0.000441147	0.000782465	0.000424336	0.0581507	0.00165463	0.0112587	0.0152883	0.0197317	0.0602462	0.0661223	0.00795724	0.0153278	0.0110162	0.0836305	0.0015823	0.0420768	0.016011	0.00917035	0.00497995	0.00645503	0.00102211	0.00961841	0.02225682	-0.01285453	0.059942	0.0094072	0.242592	0.00727214	0.0870351	0.0242262	0.0509957	0.0454333	0.0123405	0.107374	0.041726	0.0551884	0.00973029	0.23786	0.008878	0.2463491	7	50.9536	0.07478641	0.564309	0.837976	1.07932	1.51839	0.175073	0.276087	0.128496	0.0663964	0.299498	0.0544504	0.2334946	1.055053
600	-236.345	-243.1107	6.76567	2.803175	5.382061	0.00170015	0.124669	0.00558091	0.0672915	0.0189641	0.0316138	0.00350013	0.0772646	0.0172506	0.0112441	0.0130191	0.0066473	0.00711116	0.013654	0.00651997	0.0142764	0.00287873	0.0129054	0.0019252	0.00805546	0.0646444	0.0022524	0.0222558	0.00769924	0.0116681	0.000742528	0.00119392	0.00625651	0.0164933	0.00792776	0.0542107	0.00346978	0.0238492	0.113437	0.0118471	0.0126604	0.0287785	0.00505056	0.00699356	0.084318	0.00413289	0.013287	0.0207813	0.0145289	0.0180286	0.000243583	0.00958324	0.0320677	0.03355159	-0.0386663	0.0575923	0.0220762	0.159798	0.00757259	0.130348	0.0806935	0.0774676	0.0187707	0.103655	0.0432012	0.00434562	0.117976	0.0217408	0.154301	0.000462209	0.6790136	7	53.54291	0.07726764	0.517211	0.812574	1.08258	1.58763	0.173388	0.233045	0.173554	0.0821395	0.286114	0.0517589	0.6403473	1.060383
700	-259.7115	-248.3707	-11.34076	3.298764	1.541951	0.0125835	0.0432141	0.00918098	0.0178812	0.00480172	0.072938	0.00577495	0.019677	0.020477	0.0178473	0.0400215	0.00211106	0.0294223	0.0352373	0.013264	0.046529	0.0163011	0.145712	0.0356885	0.0136479	0.100832	0.00111888	0.0231642	0.0128879	0.0234385	0.0103626	0.000453422	0.0171571	0.0062094	0.142341	0.0312452	0.00621838	0.0446235	0.0136225	0.0628677	0.0715183	0.0594679	0.0732243	0.0514352	0.0626625	0.0311063	0.0170444	0.00670593	0.0205394	0.0327566	0.0620351	0.0338037	0.00652354	0.03679833	0.06049667	0.190024	0.0792537	0.177954	0.00635213	0.0449769	0.101014	0.0942712	0.0172495	0.122844	0.088691	0.00140118	0.0323271	0.00274287	0.0211719	0.0197259	0.5936506	10	55.80654	0.06197719	0.231731	0.595393	1.05279	2.12008	0.195554	0.175788	0.143761	0.114751	0.268847	0.101299	0.6541473	0.9075183
800	-206.484	-246.9541	40.47014	4.953742	2.938658	0.00648392	0.000509528	0.0110839	0.0605532	0.00339911	0.00994246	0.00694722	0.00380147	0.0106727	0.00713224	0.0161145	0.0367262	0.00446419	0.00513739	0.00279237	0.0033009	0.00104876	8.22465e-05	0.011494	0.0208404	0.0202707	0.0262224	0.00513583	0.00602889	0.00201067	0.0501475	0.00865669	0.00172966	0.00769552	0.0482295	0.0231517	0.0039257	0.00255374	0.00221816	0.000406946	0.00137084	0.0241069	0.000473025	0.00197807	0.0231269	0.0458546	0.0436195	0.00141351	0.0210967	0.0213471	0.000780032	0.0138717	0.000668478	0.01690495	0.01118561	0.0648853	0.0585059	0.232705	0.00728143	0.147413	0.0678223	0.131149	0.00954492	0.01557	0.0868277	0.0166289	0.104293	0.000950994	0.035598	0.0208241	0.4613394	12	52.15707	0.05410625	0.38446	0.728074	1.0822	1.80527	0.156904	0.185958	0.118483	0.0856973	0.394684	0.058274	0.472525	0.976328
900	-233.0043	-252.0506	19.04627	8.490961	5.4415	0.00602709	0.00137765	0.0245392	0.0487682	0.00380542	0.0224983	0.00786858	0.000927318	0.0149564	0.000769608	0.0580922	0.00228783	0.0047687	0.00555193	0.00741195	0.036094	0.0133529	0.0264195	0.0110992	0.00174549	0.0105313	0.0272449	0.0136024	0.015415	0.00235382	0.00909203	0.00912893	0.000674145	0.00262618	0.0121807	0.000415185	0.0138277	0.00852328	0.0239628	0.059451	0.0262214	0.00333548	0.0124089	0.000981713	0.00214561	0.0084803	0.00660932	0.00108106	0.00345809	0.00226126	0.0772448	0.00313453	0.0119635	0.0122904	-0.05172102	0.0648764	0.0414297	0.126616	0.00727383	0.0726786	0.075732	0.147325	0.0154936	0.0985258	0.0364149	0.02637	0.195217	0.0404879	0.0452966	0.00626234	0.3882063	5	54.07423	0.03203966	0.519442	0.813824	1.08246	1.58427	0.142908	0.195263	0.1483	0.142954	0.340837	0.029738	0.3364853	1.15371
