Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-72.44402	-84.26759	11.82357	17.38697	2.347171	0.158577	0.01738487	0.233046	0.00188027	0.0183099	0.0248225	0.126637	0.0727584	0.029848	0.0179121	0.0487686	0.0379759	0.00458441	0.131472	0.0693095	0.126778	0.0558975	0.02455489	17.38697	0.331471	0.687491	1.07667	1.90437	0.0584999	0.39341	0.0209888	0.148085	0.348075	0.0309411	0.04193976	0.58548
100	-80.29729	-85.20331	4.906022	82.31727	2.988921	0.0394234	-0.006965765	0.209497	0.0602408	0.0255036	0.00834406	0.00413626	0.0534704	0.0407465	0.0344388	0.0110051	0.0833792	0.159582	0.0514478	0.00382234	0.218857	0.0355296	0.1114053	82.31727	0.388403	0.730913	1.08246	1.79822	0.114372	0.414595	0.00168803	0.205804	0.222144	0.0413967	0.1044395	1.066697
200	-75.72504	-82.94094	7.215899	25.62571	1.163885	0.2546242	0.1275011	0.0327858	0.0359639	0.128638	0.00638696	0.0984341	0.028518	0.0495787	0.00201146	0.0659346	0.0610696	0.185483	0.0502487	0.11084	0.0450521	0.0990543	0.09635124	25.62571	0.168447	0.521019	1.02261	2.28792	0.0205454	0.385209	0.00230586	0.116757	0.411391	0.063792	0.2238523	0.4304233
300	-73.39017	-85.34378	11.9536	20.475	2.36394	0.06167606	0.03364101	0.13881	0.0440818	0.156405	0.0213651	0.0522469	0.0400321	0.00417886	0.0870165	0.0109255	0.115785	0.0547816	0.00532172	0.0277035	0.238551	0.00279455	0.02607269	20.475	0.333165	0.688864	1.0769	1.90107	0.0375333	0.439878	0.00356014	0.125262	0.266487	0.127279	0.0597137	0.4366283
400	-73.69137	-83.42429	9.732917	16.50969	1.973841	0.1052209	0.1019914	0.292054	0.11783	0.0684847	0.0170781	0.0523321	0.00280419	0.00428422	0.0837681	0.0388425	0.0345329	0.129664	0.0322254	0.0128361	0.0903773	0.0228859	0.1197222	16.50969	0.290132	0.652203	1.06932	1.98834	0.0313943	0.54048	0.00793386	0.109625	0.283064	0.0275034	0.2217136	0.5399857
500	-72.92014	-86.47729	13.55714	7.86572	1.341318	0.1516521	0.1745317	0.0149265	0.00948269	0.00279682	0.0408791	0.143314	0.0302798	0.00977267	0.0699474	0.0169537	0.00988788	0.239072	0.088114	0.0318301	0.234562	0.058181	0.04473036	7.86572	0.199736	0.55982	1.03956	2.20088	0.0725878	0.341655	0.00199769	0.184418	0.287027	0.112314	0.2192621	0.2040041
600	-78.94122	-87.57671	8.635485	132.5232	1.738964	0.01298437	0.0154398	0.0319185	0.0880919	0.020388	0.0264946	0.154692	0.00944711	0.024298	0.0746976	0.0141491	0.0377976	0.132643	0.0600463	0.0504357	0.152156	0.122744	0.004758406	132.5232	0.259991	0.624037	1.06184	2.05413	0.0587558	0.31393	0.0189421	0.14663	0.385425	0.0763173	0.0201982	0.2355856
700	-83.16913	-86.13796	2.968833	157.9061	5.11737	0.01190624	0.007095962	0.135606	0.0848172	0.0715046	0.0172568	0.206901	0.0615476	0.0140148	0.061539	0.00102013	0.00939831	0.0896407	0.0202145	0.0635178	0.14115	0.0218715	0.02715692	157.9061	0.50688	0.806719	1.08309	1.60331	0.0107362	0.54883	0.00397957	0.182282	0.192212	0.0619602	0.03425289	0.7928361
800	-79.54031	-88.64537	9.105058	49.57908	3.283299	0.07102994	0.006331073	0.0300508	0.0269282	0.0347092	0.205583	0.0731186	0.0759512	0.0598826	0.0183299	0.0479119	0.0532073	0.0853594	0.0542201	0.0440421	0.179784	0.0109214	0.0174461	49.57908	0.410057	0.746098	1.0836	1.76025	0.0181137	0.251509	0.00546576	0.253392	0.386193	0.0853267	0.02377717	0.7337331
900	-72.43744	-84.05366	11.61621	18.62973	1.555643	0.2045236	0.02291817	0.195425	0.12135	0.0134197	0.0628368	0.0513701	0.0422463	0.022917	0.00734421	0.0827362	0.00656187	0.138859	0.0337674	0.0288372	0.147693	0.0446353	0.05740068	18.62973	0.233792	0.597564	1.05353	2.11512	0.0494164	0.363365	0.0258329	0.181447	0.322359	0.0575791	0.08031885	0.7146602
