Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-384.4823	-310.9868	-73.49554	13.39215	1.880326	0.0208223	0.0582286	0.0208471	0.529279	0.104247	0.119447	0.0330007	0.126275	0.178582	0.032272	0.231997	0.123429	0.000817756	0.728028	0.0746302	0.0441212	0.0138116	0.362925	0.333809	0.0538607	0.0587565	0.0677865	0.0208818	0.259358	0.0184995	0.063655	0.00139644	0.294498	0.00168974	0.179814	0.145081	0.0350086	0.104191	0.0883038	0.188367	0.182258	0.106962	0.00391541	0.207083	0.177688	0.00786502	0.235947	0.497127	0.271612	0.1169416	0.0838623	0.111776	0.019977	0.000727679	0.000274837	0.104185	0.0501881	0.112331	0.00105611	0.137152	0.145544	0.196891	0.00517271	0.0421594	0.0668947	0.00567063	0.3082126	10	52.36057	0.07619404	0.278558	0.641653	1.06668	2.0131	0.193541	0.275021	0.111118	0.081198	0.197398	0.141724	0.3920749	0.7861064
100	-370.0001	-308.4972	-61.50296	24.38421	4.814206	0.023932	0.0309476	0.0500563	0.093196	0.046854	0.0156645	0.053822	0.0593747	0.0355079	0.0221291	0.110945	0.0645148	0.0713446	0.37853	0.0699294	0.0348869	0.00187046	0.00946434	0.0534593	0.00315959	0.0239977	0.0186866	0.090219	0.0108455	0.152656	0.108793	0.00580306	0.116172	0.122529	0.00521066	0.135151	0.079029	0.0184527	0.049427	0.24721	0.164626	0.0120891	0.0282658	0.261813	0.0580147	0.0289881	0.326207	0.155795	0.0657629	0.09344339	0.05546212	0.0663804	0.0287728	0.0202539	0.0164405	0.0452183	0.0145248	0.166916	0.000538473	0.0949122	0.00443869	0.289811	0.0396824	0.188165	0.0143055	0.00963925	0.3811561	5	54.43901	0.03875982	0.494173	0.799368	1.08361	1.62285	0.224375	0.301537	0.114833	0.0642821	0.200597	0.0943754	0.4366182	0.8729734
200	-371.2039	-314.6538	-56.55014	12.79676	3.736183	0.00800605	0.00412894	0.130388	0.0269927	0.106063	0.0177858	0.0573786	0.101581	0.282821	0.0332519	0.0507852	0.00326633	0.0761326	0.17286	0.13324	0.0158699	0.000599925	0.00211191	0.0242067	0.0585691	0.0107902	0.000783689	0.02609	0.0479477	0.0127727	0.0485784	0.00889355	0.105432	0.183582	0.0328938	0.129087	0.0823323	0.103167	0.172971	0.368742	0.00518169	0.255594	0.0113737	0.0698766	0.0155353	0.0448914	0.258722	0.015273	0.322263	0.07484912	0.04013077	0.107161	0.0232173	0.0212394	0.0940266	0.114146	0.00928396	0.0744036	0.00810437	0.0567043	0.00689215	0.321419	0.0143924	0.0902744	0.0238997	0.0348358	0.2434361	2	51.36183	0.05787314	0.439255	0.765562	1.08434	1.71084	0.238157	0.329958	0.119766	0.0668315	0.125118	0.120169	0.2835669	0.8584787
300	-358.0711	-312.9327	-45.13836	16.70925	5.81417	0.00753155	0.0905418	0.0038337	0.214035	0.00433941	0.146606	0.00751988	0.0794575	0.261372	0.0213118	0.00384149	0.0124124	0.0127634	0.148764	0.153209	0.0165798	0.140195	0.0519696	0.0502577	0.000597264	0.0695902	0.0344197	0.0588588	0.0438692	0.0014765	0.0654638	0.0650442	0.0525827	0.0543877	0.0174038	0.193575	0.0381176	0.163341	0.0652252	0.00960021	0.0143582	0.0611925	0.0251442	0.0389865	0.0479612	0.0177384	0.118814	0.0310514	0.0895209	0.05706433	0.1357779	0.0783091	0.0263824	0.00477763	0.0256274	0.0166042	0.0172421	0.09922	0.00717311	0.0946468	0.131335	0.244969	0.0131968	0.108069	0.0775854	0.0548611	0.1983492	8	50.95982	0.04792838	0.53274	0.821179	1.08167	1.56441	0.300827	0.278714	0.0870831	0.0527668	0.16432	0.11629	0.3341271	0.5936339
400	-368.6245	-308.9501	-59.67444	14.42412	4.792579	0.0143315	0.0780187	0.00337703	0.162921	0.0031275	0.299129	0.0535721	0.180828	0.347342	0.0600322	0.126384	0.0140111	0.0121788	0.0368237	0.0075707	0.441809	0.0786575	0.399344	0.0154964	0.0389818	0.0817659	0.0261187	0.0168225	0.108742	0.225073	0.200021	0.0742725	0.00170932	0.0159565	0.0121059	0.118326	0.00941089	0.00162958	0.217546	0.0425723	0.0336903	0.0490613	0.104799	0.069961	0.0457342	0.0626359	0.0993786	0.0294638	0.0278444	0.08708365	-0.01325881	0.135449	0.0840492	0.0382077	0.0352851	0.0116048	0.00623704	0.119526	0.00265962	0.0390622	0.0109487	0.348506	0.0101004	0.115769	0.0419954	0.000599732	0.234696	5	53.97175	0.07270034	0.493228	0.798815	1.08364	1.62431	0.2176	0.320202	0.0764255	0.0472448	0.124607	0.213921	0.2214372	1.059876
500	-372.631	-315.9764	-56.65467	14.65994	1.721218	0.0179939	0.0130035	0.0324	0.0343549	0.0221612	0.200608	0.0246815	0.476789	0.0964808	0.0156418	0.0508934	0.103087	0.00392808	0.136924	0.274752	0.0098425	0.198364	0.150893	0.00203133	0.0261807	0.111478	0.0143662	0.00385885	0.18072	0.137531	0.244642	0.0912822	0.00732648	0.14884	0.00125205	0.0074824	0.0775888	0.131765	0.0206209	0.129536	0.0469383	0.278451	0.11849	0.130194	0.0283493	0.232171	0.0107649	0.00441991	0.00636652	0.1008795	0.08915589	0.100092	0.0306136	0.0328205	0.0444247	0.139771	0.00314359	0.134767	0.00936417	0.0827675	0.133127	0.2008	0.00251294	0.0664788	0.000259052	0.019059	0.258893	3	52.62022	0.0907956	0.257564	0.621666	1.06115	2.05962	0.236856	0.249139	0.125789	0.0621904	0.203118	0.122908	0.3480488	0.7438409
600	-380.71	-318.9444	-61.7656	11.38781	3.554479	0.0141154	0.0617004	0.108516	0.332923	0.0645853	0.0547969	0.00829579	0.0728294	0.151457	0.0282594	0.154777	0.0583265	0.151333	0.101812	0.0588468	0.00695311	0.120191	0.0865554	0.00462223	0.0152432	0.055651	0.038916	0.0132527	0.0396593	0.00996691	0.0769647	0.00782613	0.0157416	0.0144001	0.145624	0.354454	0.106292	0.110902	0.002439	0.272371	0.295519	0.0351488	0.00017199	0.00621549	0.00555128	0.210407	0.0279881	0.278862	0.474025	0.09302375	0.08773987	0.0653453	0.0969577	0.0400141	0.00129207	0.0432506	0.0300798	0.0406667	0.00611598	0.0300517	0.173242	0.240589	0.038961	0.134101	0.0411335	0.0181994	0.3115577	5	52.44773	0.05573221	0.428076	0.758241	1.08416	1.72953	0.347344	0.232346	0.0740867	0.0810179	0.154694	0.110511	0.3992975	0.7802644
700	-359.7268	-304.9318	-54.79503	12.71781	3.074559	0.047793	0.0482418	0.0460373	0.215404	0.0127445	0.125428	0.0530703	0.248841	0.14312	0.0252916	0.0248531	0.0245167	0.00211355	0.209952	0.0229027	0.0778909	0.235267	0.113554	0.242844	0.0169019	0.0348226	0.00712197	0.38484	0.118479	0.0635157	0.026969	0.0683646	0.00442469	0.00548729	0.0224528	0.0135213	0.0197445	0.0453469	0.107572	0.0113056	0.00782848	0.00379844	0.0243087	0.393575	0.00155328	0.122328	0.105165	0.100715	0.0316635	0.07883868	0.1100597	0.0752	0.0907158	0.00495922	0.0225689	0.0149452	0.00557593	0.14362	0.00776505	0.0933038	0.108218	0.200956	0.00594568	0.00872965	0.207592	0.00990472	0.2812709	9	52.68046	0.1015812	0.394949	0.735574	1.08286	1.78662	0.189846	0.312029	0.121184	0.0747103	0.179992	0.122238	0.3913305	0.7187553
800	-367.3282	-316.083	-51.24519	17.25235	2.825971	0.000126741	0.117983	0.0482527	0.329043	0.00953578	0.0906958	0.0569837	0.18137	0.203804	0.0196061	0.00661058	0.068116	0.0629868	0.0783591	0.0814792	0.044205	0.069865	0.00993054	0.0191172	0.00639949	0.0951972	0.000325724	0.0184118	0.0972614	0.0181724	0.0449018	0.0250809	0.00222173	0.0464028	0.000969108	0.112915	0.0782635	0.0233156	0.0610264	0.153127	0.171949	0.0262827	0.0439405	0.0329784	0.0875086	0.0166846	0.00131101	0.00411451	0.18298	0.06368081	-0.0001264831	0.178644	0.0280358	0.00452826	0.00195611	0.0740603	0.0288859	0.048806	0.00175178	0.0233128	0.169107	0.335795	0.0549813	0.021236	0.0255471	0.0033527	0.3912723	7	51.87578	0.07711518	0.375334	0.721413	1.08151	1.82174	0.215643	0.168631	0.147193	0.0604657	0.152013	0.256055	0.3911458	1.000323
900	-352.2579	-307.5904	-44.66751	26.17436	2.762874	0.0283196	0.0112107	0.0143561	0.260237	0.141139	0.012418	0.00466276	0.0631187	0.128563	0.000545118	0.0583807	2.17062e-05	0.0564737	0.118163	0.0761643	0.00574587	0.0235283	0.00351367	0.0269716	0.0196082	0.0563115	0.0120001	0.019758	0.101924	0.00387057	0.0426309	0.00522487	0.00280206	0.0248932	0.000415052	0.0665842	0.0282604	0.0304486	0.0702253	0.00131838	0.108595	0.0216036	0.0439031	0.00929813	0.0495186	0.028112	0.0261289	0.0196808	0.340726	0.03936309	0.03408297	0.13267	0.0325736	0.0138941	0.0183822	0.0224207	0.0267415	0.0449909	0.0143364	0.0315984	0.187007	0.399331	0.000758761	0.0187451	0.035462	0.0210882	0.2027489	5	56.83963	0.04338227	0.370043	0.717492	1.08106	1.8314	0.254226	0.197224	0.106346	0.109064	0.172869	0.160271	0.2368319	0.8560879
