Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-280.4962	-247.0057	-33.49044	2.449893	3.150392	0.05784196	0.03451484	0.05862	0.0229975	0.139522	0.0603423	0.0178097	0.0498395	0.093479	0.0891101	0.0579871	0.199042	0.0137615	0.121456	0.00685644	0.0577654	0.0114121	0.07941617	2	54.86269	0.04823774	0.400572	0.739529	1.08316	1.77673	0.113455	0.381733	0.102553	0.0698043	0.290406	0.0420475	0.113931	0.6970549
1	0	-278.6794	-239.012	-39.66741	7.979495	1.980467	0.0242113	0.003906677	0.00815849	0.000521009	0.175511	0.000745596	0.08638	0.0702958	0.0654515	0.0145276	0.101871	0.0869262	0.0132319	0.347424	0.00186701	0.0250579	0.00203079	0.1608142	1	51.08483	0.02944031	0.290932	0.65292	1.06949	1.98665	0.219209	0.223671	0.130139	0.0654309	0.32171	0.0398395	0.1647209	0.9762831
2	0	-271.2258	-235.1632	-36.06262	2.435799	4.163068	0.06208753	-0.03825497	0.128119	0.0155099	0.102289	0.00137377	0.0149081	0.122539	0.125749	0.0530823	0.0851584	0.118599	0.00517183	0.153902	0.000530875	0.0727481	0.000320092	0.1655973	1	53.23138	0.04815738	0.463102	0.780666	1.08434	1.67189	0.170882	0.210604	0.112186	0.116327	0.31151	0.0784914	0.1273423	1.300411
3	0	-274.0059	-236.2755	-37.73041	3.381479	4.649264	0.03307147	-0.0003638486	0.158204	0.0314659	0.094549	0.0135225	0.0365485	0.158265	0.0438732	0.0508418	0.0511522	0.0299756	0.0093059	0.163637	0.0209658	0.127967	0.00972597	0.1425792	1	55.36294	0.02351761	0.486824	0.79504	1.08385	1.63428	0.0956014	0.162185	0.168901	0.149505	0.352455	0.0713514	0.1422154	1.002558
4	0	-278.2096	-243.7593	-34.45036	4.563245	1.370744	0.07296678	-0.04157929	0.0602162	0.0917366	0.250735	0.0491498	0.00843829	0.116578	0.133903	0.0362523	0.0163302	0.00283515	0.0230978	0.089385	0.0115235	0.104956	0.00486258	0.3165532	1	50.09129	0.02171338	0.204647	0.565526	1.04183	2.18799	0.127804	0.161088	0.202837	0.0874396	0.345085	0.0757461	0.2749739	1.151212
5	0	-276.7924	-237.5747	-39.21767	5.952556	2.35177	0.03146784	-0.05056312	0.112899	0.0798143	0.206291	0.00251577	0.206884	0.0801027	0.0771846	0.0244648	0.0533765	0.0351789	0.0107693	0.056337	0.0133483	0.00476803	0.0360666	0.1647941	2	50.89834	0.0284561	0.331937	0.687869	1.07673	1.90346	0.145292	0.210138	0.153882	0.0898243	0.344474	0.0563903	0.114231	1.442639
6	0	-277.4423	-240.5062	-36.9361	4.266287	3.445583	0.04757315	-0.02898444	0.0289641	0.00402754	0.17721	0.00386816	0.0611686	0.0993672	0.0425683	0.0909205	0.0616879	0.0601917	0.015539	0.156151	0.0180621	0.158972	0.0213017	0.2178493	2	62.9446	0.02621547	0.421043	0.753553	1.08398	1.74143	0.151679	0.143399	0.26174	0.113731	0.288252	0.0411992	0.1888649	1.153467
7	0	-280.9815	-243.966	-37.01555	4.147316	2.504675	0.03977362	-0.008695685	0.0893874	0.0390055	0.0952316	0.00678089	0.0139506	0.0901032	0.127882	0.0697227	0.211083	0.0512443	0.00604303	0.115528	0.0138636	0.00971193	0.0604623	0.2145564	2	60.07011	0.03621038	0.346899	0.699802	1.07868	1.87462	0.156316	0.139973	0.236152	0.0871227	0.290331	0.0901052	0.2058607	1.042241
8	0	-277.0071	-241.1637	-35.84345	2.55087	2.673306	0.08900384	0.07704863	0.0535605	0.0430025	0.188647	0.00257354	0.00123236	0.0516619	0.103689	0.0555976	0.0790707	0.044204	0.014156	0.102805	0.0120377	0.221145	0.0266175	0.2054515	2	50.99667	0.03885193	0.362295	0.711669	1.08035	1.84569	0.200681	0.24915	0.118556	0.0681745	0.304001	0.0594379	0.2825002	0.7272616
9	0	-276.2928	-242.3157	-33.97705	5.372465	2.14017	0.04777415	0.03032171	0.0419739	0.00303421	0.38048	0.0019401	0.11741	0.0369046	0.0351943	0.0574658	0.00232541	0.0749761	0.033538	0.0421487	0.0365378	0.00376799	0.132303	0.18786	2	50.62595	0.04720914	0.309452	0.669137	1.07313	1.94828	0.14292	0.29097	0.178084	0.0547759	0.258917	0.0743341	0.2181817	0.8610254
10	0	-283.7959	-242.6143	-41.18159	16.10224	3.035273	0.02903712	-0.001307453	0.119244	0.00104687	0.322144	0.00433901	0.0617835	0.110376	0.10641	0.0744489	0.0203339	0.0244448	0.0054359	0.103283	0.0270513	0.00871743	0.0109413	0.1098929	2	74.00251	0.0156074	0.391972	0.733462	1.08268	1.79188	0.0884365	0.21887	0.243782	0.101068	0.269785	0.0780583	0.1085854	1.012041
11	0	-284.4219	-248.6207	-35.80122	4.239444	1.398704	0.07174871	-0.01347735	0.0407284	0.029664	0.206925	0.00357188	0.00260331	0.0264075	0.03963	0.00919961	0.154969	0.0617163	0.0337826	0.0976204	0.030301	0.249102	0.0137783	0.118185	2	51.76571	0.07275284	0.209242	0.570779	1.04387	2.17611	0.200988	0.211355	0.149325	0.100819	0.309445	0.0280686	0.1047077	1.128714
12	0	-274.218	-243.0837	-31.13433	4.454923	1.409171	0.08533518	-0.04483584	0.0788534	0.0353697	0.11567	0.0120614	0.131367	0.0206855	0.116018	0.0539343	0.102146	0.0072217	0.00132172	0.279685	0.00921161	0.0170615	0.0193927	0.2067364	2	55.96885	0.042958	0.210944	0.572705	1.04461	2.17174	0.115878	0.196497	0.155342	0.114255	0.358251	0.0597762	0.1619006	1.276934
13	0	-276.54	-238.7023	-37.83767	4.501482	3.975675	0.03967079	0.03711489	0.109738	0.0278063	0.162196	0.0209324	0.022088	0.0601252	0.108145	0.151199	0.000439762	0.055458	0.0253212	0.0522409	0.0048187	0.145817	0.0536743	0.08467263	1	57.85807	0.03465635	0.453021	0.774364	1.0844	1.68821	0.21418	0.189307	0.168538	0.0904939	0.260091	0.0773905	0.1217875	0.6952488
14	0	-272.6877	-236.2356	-36.45208	1.943253	2.304433	0.06203218	0.02806612	0.011523	0.0227952	0.233605	0.00100652	0.0986371	0.0563255	0.179318	0.0135965	0.118975	0.0196052	0.0129179	0.206275	0.00089485	0.0187835	0.0057414	0.1167957	1	51.48036	0.06307426	0.327095	0.683919	1.07603	1.91296	0.228829	0.200035	0.146293	0.0786819	0.292011	0.0541501	0.1448618	0.8062559
15	0	-268.7247	-234.7961	-33.92865	7.726683	1.990799	0.03908396	0.005658689	0.100671	0.00336602	0.0843113	0.000342388	0.103071	0.121967	0.0789388	0.0606582	0.00524929	0.165769	0.00173893	0.113672	0.00453339	0.148198	0.00751274	0.1342996	3	50.95781	0.03278267	0.292174	0.654032	1.06976	1.98404	0.220571	0.200624	0.143066	0.0665929	0.313494	0.0556532	0.1399583	0.9595688
