Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-184.8284	-125.7225	-59.10591	14.49466	1.841825	0.03138241	-0.0005448403	0.00993041	0.333066	0.0280687	0.0180222	0.192685	0.0469009	0.0869715	0.01259	0.0147781	0.0887544	0.0168918	0.0478901	0.0181835	0.0308483	0.0544191	0.310941	4	57.8923	0.05702594	0.273633	0.637066	1.06548	2.02383	0.170859	0.161013	0.0843503	0.463154	0.0508258	0.0697982	0.3103962	1.001755
100	-182.0135	-123.254	-58.75952	14.50835	2.914152	0.02181851	0.1066601	0.0630213	0.125586	0.0743426	0.0391612	0.00314574	0.14782	0.0516424	0.00573037	0.00322449	0.09831	0.101904	0.251815	0.00200297	0.0210149	0.0112799	0.1057903	1	58.84276	0.05566229	0.38251	0.726661	1.08206	1.80877	0.0918621	0.220603	0.0418273	0.516663	0.0686171	0.060427	0.2124504	0.4979528
200	-187.2234	-135.7382	-51.48518	7.610511	0.7098526	0.05475762	-0.01835046	0.0131415	0.004952	0.101003	0.0447997	0.0848895	0.0393152	0.141824	0.00884489	0.0449861	0.158514	0.00331054	0.0649794	0.0832131	0.137253	0.0689735	0.2920312	4	50.82058	0.03478101	0.0762939	0.368142	0.928465	2.6271	0.0795155	0.100247	0.0872862	0.47592	0.14799	0.109042	0.2736807	1.067051
300	-190.0002	-123.3907	-66.60954	24.89658	2.318272	0.02332039	-0.027409	0.0624218	0.0734445	0.0716025	0.0936698	0.0725901	0.118201	0.0540962	0.0475873	0.0300994	0.173382	0.0831584	0.0689456	0.039379	0.00796742	0.00345481	0.3262197	2	71.03609	0.02642749	0.328521	0.685087	1.07624	1.91015	0.091252	0.208626	0.0548835	0.5236	0.0521962	0.0694428	0.2988107	1.091727
400	-195.1353	-129.5929	-65.54242	40.59917	3.333912	0.008338607	-0.01749318	0.0594459	0.0397327	0.0270693	0.0131745	0.163012	0.116888	0.085566	0.0116108	0.00679759	0.241498	0.0220974	0.0983755	0.0416119	0.0709345	0.00218568	0.2676435	1	50.20691	0.05178482	0.413551	0.748487	1.08373	1.75423	0.0674417	0.126183	0.0834703	0.534712	0.0633832	0.12481	0.2501503	1.069931
500	-191.5954	-127.7505	-63.84493	34.53396	0.7579297	0.02799129	-0.01262194	0.184626	0.104417	0.0355045	0.00535526	0.0430748	0.0176971	0.0946661	0.0588237	0.143029	0.183599	0.0357925	0.00878386	0.0161773	0.0555271	0.012926	0.2356722	4	52.17593	0.03854906	0.0865808	0.389628	0.94458	2.57921	0.128604	0.156645	0.0447799	0.500003	0.065351	0.104617	0.2230503	1.056588
600	-188.6877	-121.8082	-66.87953	35.7287	1.160663	0.01327485	0.0190219	0.0449307	0.202174	0.138381	0.0449672	0.00638923	0.00635931	0.197426	0.0139457	5.29305e-05	0.178522	0.0288863	0.0280818	0.000247068	0.0170364	0.0926005	0.171739	2	67.96593	0.0445329	0.167852	0.520236	1.02224	2.28967	0.0550518	0.17188	0.0910739	0.498587	0.0971763	0.0862307	0.1907609	0.9002841
700	-190.8997	-129.1791	-61.72051	21.45595	2.229029	0.02269184	0.06387136	0.0638116	0.117971	0.105427	0.0228176	0.0494429	0.0205243	0.0300615	0.0328679	0.0817531	0.259768	0.0908508	0.00168476	0.0448575	0.00970648	0.0684557	0.1553618	3	50.95457	0.07685054	0.319162	0.67735	1.07479	1.9287	0.067586	0.217608	0.0460549	0.456151	0.0791603	0.13344	0.2192332	0.7086601
800	-182.7467	-122.5913	-60.15545	17.68084	1.244567	0.0199579	-0.04075844	0.253408	0.0859464	0.0561582	0.0668769	0.00293189	0.0607946	0.138684	0.00882104	0.0183404	0.0802042	0.097168	0.0176741	0.0166052	0.0261353	0.0702512	0.3543305	2	57.31425	0.02935404	0.183037	0.539669	1.03109	2.2462	0.0706402	0.118525	0.0670455	0.593634	0.0718601	0.0782948	0.313572	1.129981
900	-183.5073	-130.7766	-52.73066	13.1299	0.5059302	0.03587563	-0.004201194	0.02539	0.142121	0.0354244	0.088496	0.0548925	0.0841208	0.0749397	0.00440078	0.0406594	0.143214	0.00806652	0.077995	0.0408781	0.15971	0.0196912	0.2058396	2	52.15259	0.04234159	0.0344921	0.25577	0.824536	2.8852	0.212396	0.135189	0.05901	0.382882	0.100319	0.110204	0.2016384	1.020835
