Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-347.0742	-316.6671	-30.40706	7.587145	6.442484	0.115364	0.16437	0.137542	0.26435	0.0974264	0.0143841	0.0928059	0.0923923	0.612307	0.00764146	0.234717	0.102522	0.706541	0.113107	0.0866429	0.176945	0.717046	0.00309603	0.19495	0.208623	0.235862	0.348789	0.2755158	-0.01307499	0.0991149	0.157682	0.0309662	0.0238838	0.0359574	0.0138909	0.128638	0.0455859	0.0267558	0.0789754	0.0501221	0.0204785	0.138653	0.04379	0.105506	0.3150873	2	11.66155	0.1087287	0.552818	0.831966	1.08025	1.53497	0.20554	0.199223	0.181762	0.101381	0.198288	0.113806	0.3020123	1.043293
100	-333.4741	-313.6844	-19.78969	8.032344	2.742014	0.348037	0.275627	0.480528	0.248781	0.0989702	0.0322024	0.109725	0.0203172	0.0946224	0.107775	0.156009	0.0491825	0.0497723	0.0215483	0.0596965	0.0924871	0.187444	0.172544	0.447964	0.0899767	0.182	0.0246132	0.140815	0.05080452	0.0826437	0.0647681	0.0438974	0.0518339	0.0565118	0.0107712	0.148456	0.116279	0.00227351	0.00770322	0.194014	0.0154208	0.0926338	0.0221569	0.0906361	0.4356808	1	10.21598	0.08082391	0.368264	0.716164	1.08091	1.83467	0.170217	0.267034	0.114213	0.145861	0.147706	0.154969	0.4864854	0.8955682
200	-350.7218	-308.9549	-41.76694	4.568067	2.937357	0.25355	0.211147	0.325528	1.35193	0.537574	0.064779	0.190217	0.117407	0.103285	0.012785	0.358072	0.2158	0.301133	0.464603	1.13937	0.458163	0.817629	0.160742	0.384452	0.396721	0.852535	0.862542	0.3476334	0.1625224	0.0924705	0.0674768	0.0383158	0.0212794	0.0130103	0.124525	0.0557261	0.0157092	0.00287647	0.00192789	0.198806	0.0417522	0.136738	0.186341	0.00304511	0.6406132	4	4.704998	0.155512	0.384357	0.728	1.08219	1.80545	0.149654	0.304964	0.093831	0.123293	0.145658	0.1826	0.8031356	0.7976401
300	-341.5012	-318.9365	-22.56474	5.990663	1.457186	0.107409	0.198013	0.169083	0.41264	0.0703534	0.00679584	0.309531	0.101163	0.215066	0.113557	0.00503525	0.228646	0.130533	0.0627816	0.492386	0.373126	0.111592	0.0314529	0.320136	0.229517	0.149243	0.165968	0.1235793	0.118273	0.0685661	0.0546236	0.115057	0.100482	0.0765328	0.010752	0.113096	0.00428131	0.0531869	0.141843	0.060772	0.0424469	0.122817	0.0319062	0.00363703	0.2588689	2	7.26783	0.2328289	0.218632	0.581271	1.04781	2.15229	0.161781	0.33197	0.164486	0.0742487	0.184046	0.0834687	0.3771419	0.6863965
400	-335.9091	-306.0483	-29.86078	5.917801	2.904523	0.229048	0.136859	0.0777118	0.239157	0.160161	0.00667575	0.171331	0.143001	0.821485	0.0847768	0.16378	0.436838	0.962301	0.266565	0.211589	0.270059	0.326171	0.0916192	0.656888	0.0532317	0.0790943	0.198164	0.3222898	0.2430188	0.0792596	0.00357161	0.0431504	0.0521693	0.0987654	0.0524398	0.0492486	0.00445848	0.0189118	0.171503	0.296143	0.00754885	0.00606856	0.0557708	0.0609905	0.1753381	4	6.295211	0.1671889	0.381738	0.726101	1.082	1.81016	0.237382	0.269763	0.101419	0.10632	0.161498	0.123617	0.418357	0.4191113
500	-338.4072	-307.7849	-30.62236	7.869135	2.191086	0.352787	0.372598	0.0794485	0.122268	0.158611	0.00304881	0.173439	0.513237	0.0209505	0.0200081	0.247486	0.00537297	0.411213	0.164995	0.135687	0.113661	0.48489	0.364895	0.249987	0.130285	0.478962	0.108088	0.2134223	-0.004488695	0.0768555	0.0110083	0.109407	0.0764854	0.0240263	0.00235222	0.0618786	0.0977884	0.0108727	0.16872	0.156981	0.0294911	0.0210197	0.117938	0.035176	0.3420523	1	8.011716	0.09575795	0.315065	0.673908	1.07411	1.93692	0.190888	0.222145	0.150802	0.118758	0.119553	0.197854	0.3375636	1.013297
600	-334.9918	-310.447	-24.54483	4.768956	2.053948	0.77441	0.0922906	0.491213	0.171002	0.314439	0.0105698	0.134218	0.564117	0.165837	0.0592944	0.451166	0.00325316	0.0407565	0.406375	0.0227522	0.337042	0.00943244	0.521085	0.309395	0.0530253	0.288499	0.0707773	0.2719906	0.1228571	0.0553991	0.000537605	0.0409396	0.00703258	0.0616576	0.0143626	0.0533339	0.114822	0.0172025	0.0867164	0.114653	0.0146651	0.102606	0.256829	0.0592428	0.3356335	1	5.631015	0.1278231	0.299631	0.66063	1.07128	1.96846	0.187788	0.301039	0.174385	0.130284	0.108346	0.0981576	0.4584906	0.7320402
700	-354.2296	-321.5486	-32.68103	6.199442	3.23139	0.0477285	0.465422	0.411263	0.228982	0.00629806	0.065543	0.599194	0.499026	0.0140587	0.0827652	0.350475	0.133594	0.341117	0.237634	0.850962	0.60236	0.0956429	0.413231	0.0612978	0.170106	0.119776	0.514951	0.2620216	0.09647805	0.0944746	0.0648695	0.0713921	0.0254568	0.0592797	0.000758858	0.053821	0.05151	0.0438417	0.0440789	0.128188	0.243306	0.0559177	0.0130216	0.0500836	0.3423953	3	7.547572	0.141114	0.406407	0.743585	1.08344	1.76657	0.172993	0.426792	0.103182	0.0945895	0.115231	0.0872129	0.4388733	0.7801688
800	-347.9893	-311.5457	-36.44361	5.644266	0.8514326	0.131257	0.392269	0.672551	0.409705	0.1445	0.0347334	0.493987	0.520618	0.350866	0.0484847	0.534317	0.12577	0.142542	1.93913	0.175654	0.332192	0.340655	0.48193	0.802758	0.0530631	0.171544	0.0388889	0.4144431	0.03652196	0.182025	0.0154651	0.0615172	0.0253746	0.138398	0.0439211	0.0444834	0.0290795	0.00587491	0.114659	0.196984	0.0806829	0.0204216	0.0301089	0.0110043	0.2820275	3	5.986531	0.228667	0.106447	0.427045	0.970247	2.49626	0.267593	0.286105	0.116971	0.0931892	0.141809	0.0943333	0.3185495	0.8853492
900	-339.4773	-309.8077	-29.66955	16.42368	0.6464743	0.00834345	0.0741386	0.0133696	0.128999	0.0583152	0.0341337	0.307646	0.308927	0.171171	0.0755047	0.169245	0.025977	0.11091	0.00174501	0.08964	0.19367	0.885902	0.472834	0.248871	0.346951	0.375644	0.0428354	0.1810647	0.004582502	0.0739901	0.0562752	0.00874292	0.0791067	0.00974162	0.0541688	0.148285	0.0319785	0.047934	0.205785	0.12529	0.0537641	0.00264704	0.0773397	0.0249511	0.2263011	1	16.4326	0.04431471	0.0628134	0.337141	0.903295	2.69675	0.178276	0.332767	0.11788	0.0706463	0.145599	0.154831	0.2308836	0.9801523
