Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-127.4063	-121.4172	-5.989124	7.358992	0.4086031	0.168352	0.0323428	0.114274	0.0451175	0.0991184	0.105457	0.04323	0.293711	0.00577745	0.550487	0.09838167	-0.3442879	0.0151825	0.00548547	0.157464	0.0950208	0.0272471	0.0231325	0.063445	0.0183259	0.0244762	0.0133965	0.0103121	0.413615	0.0484559	0.0173117	0.0671294	0.5880818	0	9.203592	0.1246655	0.0179749	0.188153	0.740425	3.05345	0.120616	0.1435	0.0328942	0.554408	0.0274266	0.121155	0.2437939	2.412209
100	-124.3101	-121.5352	-2.774929	3.449969	3.037292	0.0595357	0.121484	0.283144	0.270656	0.125752	0.457513	0.72694	0.0829577	0.27622	0.0234914	0.2621767	-0.01615553	0.082038	0.159653	0.0268298	0.137674	0.274012	0.00213958	0.0982769	0.00247657	0.0146572	0.0778176	0.0193573	0.0444656	0.0115729	0.0122128	0.0368169	0.4159379	0	3.603071	0.4913349	0.392126	0.733572	1.08269	1.79161	0.0491267	0.19656	0.0844883	0.429975	0.122213	0.117637	0.3997823	1.040411
200	-131.0072	-128.861	-2.146194	3.885659	0.8368731	0.0742098	0.0998173	0.179111	0.142973	0.796141	0.123787	0.0558226	0.148404	0.0409224	0.105324	0.3290203	-0.05264497	0.0911271	0.0411794	0.0172367	0.0766639	0.0854933	0.0603207	0.13713	0.00441864	0.0146938	0.12274	0.00563062	0.244766	0.015608	0.0475963	0.0353957	0.345266	0	4.988594	0.2114003	0.103377	0.421566	0.966671	2.50839	0.157247	0.251497	0.0937624	0.379722	0.0636822	0.0540891	0.2926211	1.179908
300	-126.5718	-116.9454	-9.626391	4.866656	3.097555	0.742622	0.113152	0.206978	0.101202	0.415246	0.362533	0.0906351	0.302787	0.437004	0.489629	0.233734	-0.2636409	0.0626259	0.0710392	0.111948	0.100419	0.0926533	0.0185408	0.0759027	0.0113998	0.0675606	0.17572	0.0413	0.14239	0.00282311	0.01127	0.0144076	0.5980336	0	5.037002	0.3304053	0.396671	0.73679	1.08296	1.78358	0.0814449	0.152067	0.0588063	0.560821	0.0215836	0.125277	0.3343927	1.788417
400	-126.821	-124.1324	-2.688561	5.965843	0.9520585	0.114063	0.00178698	0.0738144	0.061903	0.206432	0.0181796	0.0811367	0.238329	0.16396	0.0697912	0.09455521	-0.2219514	0.0239199	0.0572752	0.0242224	0.041839	0.0375722	0.101297	0.0622306	0.0205063	0.0908164	0.0437493	0.214295	0.10818	0.0061214	0.0451926	0.122784	0.3318093	0	11.40967	0.2118439	0.127292	0.461852	0.991579	2.41928	0.0872737	0.101593	0.0881452	0.555493	0.10248	0.065015	0.1098579	3.020349
500	-128.3924	-119.7532	-8.639165	3.868817	0.2930218	0.286546	0.0429486	0.222829	0.337495	0.418165	0.459346	0.0087735	0.59489	0.974606	0.481685	0.42198	-0.1792987	0.104176	0.180357	0.0238448	0.010029	0.0325728	0.0234017	0.200858	0.0453048	0.0254547	0.0799207	0.0625395	0.162388	0.0199608	0.0154636	0.0137279	0.4466532	0	5.929064	0.3677569	0.00474635	0.0990786	0.583895	3.31228	0.0926347	0.210032	0.0806078	0.462377	0.066048	0.0883011	0.2673545	1.67064
600	-128.493	-120.6153	-7.877731	3.811576	0.40932	0.90227	0.0788026	0.195854	0.466969	0.0793185	0.0173731	0.0628048	0.129337	1.16056	0.308627	0.2673107	-0.0162042	0.0488582	0.0328796	0.155937	0.0109649	0.119671	0.0386417	0.0400706	0.149298	0.0317065	0.0782375	0.0549157	0.0426427	0.142043	0.034024	0.0201095	0.3934699	0	7.736287	0.3736666	0.0180816	0.188683	0.741172	3.05206	0.0403197	0.21874	0.105172	0.524101	0.0433235	0.0683442	0.3772657	1.042952
700	-133.5813	-123.1806	-10.40067	5.159314	0.6945137	0.215745	0.386959	0.205868	0.235726	0.278527	0.541008	0.559583	1.10555	0.527923	0.0435367	0.4873748	-0.0901986	0.0563814	0.072847	0.0324992	0.00731078	0.011225	0.0187776	0.161215	0.0549335	0.1074	0.0477574	0.208184	0.0197774	0.1151	0.0082201	0.0783713	0.263571	0	7.043318	0.2556745	0.0730168	0.36093	0.922818	2.64323	0.116582	0.14226	0.0809137	0.532666	0.043349	0.08423	0.1733724	1.520259
800	-124.7651	-127.0538	2.288717	8.033858	0.3460417	0.0296452	0.052098	0.0962145	0.0212523	0.235044	0.0231788	0.222531	0.0227973	0.021523	0.0283089	0.09394209	-0.05617261	0.150766	0.102527	0.0310278	0.0520686	0.0216274	0.0601334	0.145887	0.0463948	0.0507985	0.0991816	0.0449219	0.0515583	0.00943363	0.0461067	0.0875668	0.2604773	0	12.78993	0.178565	0.00976049	0.140474	0.665612	3.18415	0.0623828	0.224585	0.0382979	0.477986	0.0900805	0.106668	0.2043046	1.274945
900	-133.8204	-121.9847	-11.83567	5.968024	0.4501901	0.120101	0.0649327	0.278145	0.839644	0.0578688	0.388718	0.489838	0.150994	0.0697808	0.414529	0.1602071	-0.02313325	0.0105932	0.0606953	0.0828659	0.0673736	0.180752	0.0918383	0.0776853	0.144358	0.0266337	0.00361446	0.14885	0.0206865	0.00610842	0.0451947	0.0327504	0.5267808	0	7.184987	0.08077643	0.0245705	0.218161	0.780346	2.97692	0.129365	0.192548	0.0574679	0.529918	0.0523495	0.0383514	0.5036475	1.045931
1000	-121.6703	-124.3854	2.715108	5.386158	0.3464901	0.0507874	0.16981	0.126131	0.0919829	0.0671516	0.190564	0.00756475	0.379977	0.0753564	0.043568	0.1230884	-0.005012871	0.0445234	0.0694914	0.137759	0.0242087	0.110641	0.0418819	0.188866	0.0641725	0.137913	0.0954046	0.0179167	0.000438961	0.000898954	0.0183907	0.0474922	0.2271266	0	5.505952	0.08817406	0.00981096	0.140824	0.666223	3.18314	0.0822909	0.327901	0.0429316	0.420454	0.0425221	0.0839007	0.2221137	1.022569
