Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-685.6722	-556.6538	-129.0183	21.68214	1.604437	0.03140468	0.01989705	0.0752455	0.0544945	0.190892	0.016476	0.0318585	0.0232981	0.0401099	0.0471755	0.0413291	0.103167	0.0455315	0.0869391	0.0577523	0.152031	0.0337002	0.1131778	5	90.31649	0.02066351	0.241014	0.605065	1.05601	2.09791	0.143595	0.256904	0.192515	0.116826	0.1756	0.114561	0.1330749	0.8504823
1	0	-691.8557	-563.3142	-128.5415	51.29057	2.225774	0.02572429	-0.01749941	0.157713	0.0405116	0.198957	0.00713965	0.00303081	0.00239694	0.0551604	0.0530462	0.0485058	0.0832237	0.00808512	0.182222	0.0165086	0.0625654	0.0809344	0.1457845	3	80.09825	0.03017231	0.318814	0.677058	1.07473	1.92939	0.101546	0.2588	0.214739	0.171915	0.165769	0.087231	0.1282851	1.13641
2	0	-687.0832	-564.3264	-122.7567	5.341357	2.861763	0.04071232	0.01245106	0.118331	0.012659	0.118001	0.0385907	0.114405	0.00832141	0.0432352	0.0310603	0.0427837	0.0449532	0.047179	0.0844835	0.0086284	0.217301	0.0700678	0.2092965	5	75.69691	0.01718892	0.378277	0.723575	1.08174	1.81641	0.160122	0.197542	0.200834	0.140303	0.214521	0.0866778	0.2217475	0.9438503
3	0	-690.0372	-559.4461	-130.5911	16.30777	3.504764	0.02867371	0.04138761	0.122237	0.0506222	0.183663	0.0152496	0.00647716	0.0711911	0.0495958	0.0670516	0.0786453	0.0361055	0.030704	0.124676	0.0171214	0.0318643	0.114795	0.2044352	8	86.98993	0.01709291	0.424898	0.756131	1.08408	1.73489	0.202178	0.165241	0.142451	0.186941	0.210529	0.0926603	0.2458228	0.8316364
4	0	-699.9176	-563.2088	-136.7089	5.707748	1.456992	0.02212209	-0.0006099519	0.126551	0.0592233	0.191511	0.0692868	0.0637934	0.00553032	0.0270469	0.0150988	0.0894789	0.00476821	0.0168651	0.0874758	0.0610347	0.114444	0.0678921	0.1720178	4	85.90878	0.02051505	0.218602	0.581238	1.04779	2.15237	0.139018	0.192634	0.281978	0.155436	0.133265	0.0976689	0.1714079	1.003558
5	0	-691.4842	-552.9055	-138.5787	32.4179	1.526567	0.02401808	-0.006846028	0.096952	0.0906848	0.276801	0.026915	0.00697516	0.0139123	0.0426527	0.00847407	0.0232059	0.0397798	0.0180793	0.0516031	0.0374975	0.254073	0.0123951	0.1496066	5	96.56047	0.02866987	0.229397	0.592919	1.05194	2.12574	0.146305	0.21383	0.253155	0.151937	0.156983	0.07779	0.1427606	1.047955
6	0	-695.5302	-556.2875	-139.2427	55.93803	3.146516	0.0285979	-0.004586404	0.0844655	0.0266795	0.237659	0.0373513	0.0381994	0.0319457	0.0633956	0.0559159	0.0261906	0.0561572	0.00685322	0.0618225	0.0060111	0.245389	0.021964	0.1247776	5	88.61927	0.01908377	0.400288	0.739331	1.08315	1.77723	0.145607	0.180617	0.205188	0.134271	0.189537	0.144781	0.1201912	1.038159
7	0	-689.1278	-562.5451	-126.5827	6.047864	1.758097	0.05432862	-0.004838782	0.0575297	0.122824	0.330324	0.0158805	0.0330494	0.0184412	0.0418186	0.0203352	0.00902799	0.0611052	0.0607735	0.0666362	0.0166195	0.0981883	0.0474467	0.2308553	4	71.29963	0.02579763	0.262584	0.62655	1.06256	2.0483	0.172911	0.232423	0.175256	0.143252	0.175845	0.100313	0.2260165	1.021409
8	0	-693.5266	-555.5788	-137.9477	19.99637	2.640902	0.02488763	-0.01465532	0.128282	0.125416	0.184619	0.0459489	0.00381386	0.029847	0.0537954	0.0701586	0.059063	0.0350723	0.0348625	0.0802212	0.0213517	0.0718707	0.0556773	0.08851554	5	85.41189	0.02484966	0.359421	0.709484	1.08006	1.85103	0.140732	0.211471	0.228719	0.126893	0.177544	0.114641	0.07386023	1.19842
9	0	-704.7528	-558.8012	-145.9516	20.56339	2.168461	0.0213424	-0.03145658	0.0234313	0.0850649	0.151586	0.0235368	0.0148516	0.0158646	0.0437011	0.0171116	0.0648459	0.00452794	0.0491253	0.119376	0.0593007	0.123526	0.204151	0.2610673	5	93.68289	0.009605355	0.312587	0.67181	1.07369	1.94192	0.152888	0.265522	0.178821	0.147043	0.167857	0.0878689	0.2296107	1.137
10	0	-693.8769	-559.7163	-134.1607	12.19403	2.359642	0.0276711	0.04084259	0.10844	0.037877	0.163712	0.0264772	0.0586559	0.0122454	0.0189596	0.000392593	0.178298	0.044945	0.0346869	0.0150769	0.00211016	0.0861515	0.211973	0.05843181	5	87.13551	0.03373647	0.332732	0.688514	1.07684	1.90191	0.124609	0.241774	0.198711	0.135134	0.230307	0.0694639	0.0992744	0.5885889
11	0	-688.8898	-554.7784	-134.1114	31.12629	2.031989	0.025302	0.0009916368	0.0363411	0.0650466	0.173661	0.0241163	0.0433175	0.00134152	0.130817	0.0222251	0.161402	0.0280719	0.0273579	0.0293987	0.030012	0.167318	0.0595731	0.1300096	5	78.84495	0.0141997	0.297064	0.658373	1.07077	1.97379	0.147905	0.228654	0.234893	0.105087	0.205512	0.0779492	0.1310013	0.9924303
12	0	-703.7758	-570.3266	-133.4492	40.58865	1.241169	0.02068442	-0.02133908	0.159433	0.0721891	0.114484	0.0210793	0.0633712	0.0353273	0.0430343	0.0596599	0.0514053	0.0291985	0.0354711	0.0950969	0.0723699	0.0922577	0.0556221	0.1238018	4	71.19409	0.02639846	0.182434	0.538919	1.03076	2.24788	0.156249	0.166701	0.263206	0.165424	0.14378	0.104639	0.1024627	1.208262
13	0	-699.2899	-559.4412	-139.8486	14.48718	2.391935	0.02477346	-0.001973227	0.0857395	0.117785	0.16868	0.00193725	0.0829012	0.0521552	0.0417714	0.021312	0.00900972	0.0673275	0.0445155	0.0789789	0.0419982	0.109255	0.0766341	0.1706763	3	83.50737	0.01180329	0.335966	0.691122	1.07729	1.89562	0.134608	0.22147	0.234111	0.121952	0.17307	0.114789	0.1687031	1.011696
