Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-275.9441	-239.8093	-36.13481	0.3189439	2.658829	1.23209	0.862143	0.178069	0.145169	0.32406	0.0284665	0.455006	0.411028	1.21343	0.311554	0.947037	0.17195	0.0683334	0.029408	0.0998573	0.410109	0.4492308	0.01572685	0.124473	0.0058343	0.184371	0.0161223	0.0144823	0.000584802	0.0683671	0.0553302	0.163142	0.0669019	0.00442616	0.217105	4.88717e-05	0.037757	0.0410545	0.1936154	2	55.73446	0.05963208	0.361016	0.710699	1.08022	1.84806	0.172935	0.221313	0.147296	0.174247	0.240923	0.0432861	0.2093422	0.9248749
100	-284.8548	-246.9867	-37.86809	2.938323	2.101616	0.356521	0.891811	0.286642	0.0675701	0.0498295	0.0232822	0.0871941	0.470783	0.485102	0.538504	0.0981845	0.0406426	0.351292	0.490483	0.0826133	0.546431	0.2904028	-0.03235737	0.0553525	0.00065109	0.0963818	0.340213	0.0133214	0.00245017	0.0542621	0.0789274	0.162118	0.0173358	0.0138154	0.0887836	0.00564358	0.0251043	0.0456391	0.3281312	2	51.72516	0.01417984	0.30511	0.665402	1.07234	1.95715	0.205168	0.163229	0.22541	0.196267	0.172377	0.03755	0.2957738	1.109399
200	-268.8427	-244.0327	-24.81003	3.1539	2.805715	0.0761107	0.0186988	0.0440927	0.0942375	0.257808	0.0490427	0.0271388	0.0612565	0.416814	0.0744837	0.421189	0.0365395	0.0987984	0.052544	0.169709	0.0882694	0.0913402	-0.04884451	0.0922172	0.0322149	0.0801596	0.00330242	0.0561189	0.0465227	0.128246	0.0129421	0.0870888	0.105824	0.0680699	0.116106	0.0466852	8.04068e-05	0.124422	0.1155424	1	68.84461	0.04165413	0.37365	0.72017	1.08137	1.82481	0.194586	0.162861	0.162464	0.119916	0.338583	0.0215899	0.06669792	1.732324
300	-264.7529	-246.1545	-18.59838	1.565139	1.834863	0.200999	0.01853	0.0214041	0.105548	0.0625717	0.186772	0.0725931	0.17607	0.375086	0.0296021	0.407717	0.0620065	0.0878393	0.0884508	0.158847	0.13631	0.1641385	0.02437407	0.225329	0.0164664	0.062844	0.0330463	0.000935049	0.00390934	0.0408312	0.0351911	0.259454	0.0451147	0.0336408	0.0914252	0.0774903	0.0155432	0.0587798	0.1425113	1	52.96703	0.04363979	0.272732	0.63622	1.06525	2.0258	0.163019	0.172386	0.213086	0.152685	0.244163	0.0546603	0.1668854	0.8539473
400	-267.3225	-237.5673	-29.75521	1.467599	1.696106	0.631558	0.0159085	0.111321	0.0852596	0.490166	0.529397	0.120619	0.175845	0.150283	0.0386863	0.562193	0.160955	0.0384637	0.188074	0.0531363	0.72332	0.3255606	0.007723804	0.213313	0.00519147	0.10882	0.0294974	0.0265726	0.0228118	0.0489505	0.154541	0.155583	0.0614387	0.00133289	0.0344485	0.00175706	0.0466054	0.0891365	0.1369906	2	50.60995	0.04325869	0.25409	0.618247	1.06013	2.06754	0.252748	0.170718	0.140819	0.0953655	0.22661	0.11374	0.1447144	0.9466273
500	-252.0848	-234.3418	-17.74302	2.449142	3.376261	0.50692	0.041686	0.164084	0.0564612	0.0308775	0.0171828	0.028683	0.0130467	0.129584	0.0547521	0.175609	0.300168	0.108389	0.0321733	0.0324114	0.0773009	0.09881403	0.006078273	0.0774833	0.00826602	0.082688	0.0021213	0.0150039	0.0128551	0.046612	0.0147046	0.0336502	0.0424103	0.00651325	0.454596	0.0212351	0.157635	0.0242262	0.148308	1	66.42074	0.03556631	0.416427	0.75044	1.08383	1.7493	0.21635	0.150033	0.141305	0.110705	0.326196	0.0554118	0.1543863	0.9606294
600	-258.8198	-240.3864	-18.43335	0.7086836	3.755103	0.254938	0.0172039	0.207967	0.047624	0.219625	0.191551	0.0042001	0.0737018	0.24144	0.116482	0.0228978	0.0137528	0.205844	0.0426663	0.151901	0.0400094	0.128101	0.007313997	0.0450778	0.0250814	0.198149	0.000558191	0.046013	0.08235	0.145007	0.028748	0.0820128	0.11536	0.0222985	0.117599	0.00939241	0.0077612	0.0745915	0.1772475	1	58.77509	0.0278791	0.440381	0.766291	1.08435	1.70898	0.224058	0.243743	0.0894355	0.0674525	0.29297	0.0823414	0.1845615	0.960371
700	-258.2457	-230.8683	-27.37737	1.837241	5.105677	0.21998	0.0280614	0.0918495	0.126576	0.130256	0.0157413	0.00347395	0.0765085	0.449316	0.0374918	0.0580644	0.0741562	0.569542	0.0394639	0.669383	0.00538463	0.1242437	0.04327041	0.103828	0.00833498	0.245111	0.00316376	0.199895	0.0287299	0.0575269	0.0295879	0.082559	0.103796	0.0142449	0.0873912	0.0137954	0.0160197	0.0060158	0.05235794	2	53.1683	0.06147453	0.506408	0.806449	1.08311	1.60403	0.144592	0.188468	0.19417	0.0772218	0.330122	0.0654261	0.09562835	0.5475148
800	-263.9235	-237.1592	-26.76431	2.5212	3.576396	0.0627348	0.0900306	0.0174293	0.367561	0.0129541	0.0301435	0.0898773	0.0151829	0.18401	0.201292	0.510123	0.102283	0.151304	0.149579	0.244786	0.436176	0.3015367	-0.05258208	0.107448	0.00241269	0.0812476	0.0819523	0.00151366	0.00424801	0.0529662	0.00581925	0.119697	0.0953556	0.0262695	0.0750314	0.0353885	0.224664	0.0859868	0.2186959	2	52.69028	0.02891673	0.429461	0.759157	1.08419	1.7272	0.195908	0.212248	0.182013	0.185136	0.175858	0.0488375	0.1661138	1.316542
900	-264.4565	-241.9337	-22.52286	2.783208	2.001047	0.118167	0.130593	0.194627	0.0520187	0.0736474	0.0181916	0.34257	0.108701	0.164975	0.000474298	0.576345	0.365632	0.0177778	0.074537	0.17607	0.00708933	0.1293813	0.01215433	0.111429	0.00447441	0.281217	0.00534372	0.0396561	0.0125174	0.0135369	0.136659	0.0805344	0.0233414	0.00552861	0.0265598	0.143236	0.0225031	0.0934639	0.1222572	2	52.52304	0.01646447	0.2934	0.655125	1.07002	1.98146	0.209023	0.212841	0.167928	0.136556	0.207921	0.065732	0.1344115	0.9095737
1000	-252.8651	-237.7205	-15.14461	2.855248	3.305245	0.226695	0.207406	0.103773	0.178259	0.0215123	0.0540584	0.0484065	0.0254767	0.0898374	0.118952	0.306111	0.101868	0.0272696	0.103881	0.0222437	0.0186759	0.1344376	-0.02664889	0.129718	0.005375	0.164499	0.0556149	0.0797968	0.0123783	0.0810225	0.0382293	0.0949091	0.101941	0.00319257	0.0749593	0.0428094	0.0899512	0.0256036	0.1481842	2	53.3139	0.02398875	0.411579	0.747141	1.08366	1.75762	0.186614	0.191837	0.23118	0.109116	0.207227	0.0740262	0.1215353	1.219269
1100	-259.6539	-234.872	-24.78183	1.280451	4.879834	0.642498	0.057767	0.214972	0.0631989	0.0563884	0.00841887	0.310999	0.155622	0.276885	0.186184	0.627467	0.0685433	0.222883	0.0303964	0.117597	0.00591883	0.2025695	0.1039761	0.143781	0.020315	0.133095	0.00568599	0.0276171	0.00490443	0.0479901	0.138462	0.087431	0.0980083	0.0311795	0.0348853	0.0222247	0.155908	0.0485122	0.1254796	2	53.63622	0.04497537	0.497009	0.801023	1.08351	1.61846	0.204904	0.168311	0.16889	0.10054	0.286848	0.0705071	0.2294557	0.5468577
1200	-270.9283	-242.8651	-28.06318	0.6565049	2.832428	0.822269	0.0590211	0.253912	0.0600573	0.0667559	0.025699	0.00408932	0.0163007	0.497841	0.0124876	0.099794	0.104412	0.191623	0.218954	0.00404925	0.713914	0.1973246	0.002630398	0.0863346	0.00304197	0.112735	0.0333026	0.0710169	0.0245639	0.0581848	0.0235888	0.125445	0.158398	0.0150195	0.0544689	0.0966506	0.125703	0.011547	0.1471161	1	51.86237	0.01885185	0.375868	0.721807	1.08155	1.82077	0.152969	0.218365	0.216892	0.0922917	0.211735	0.107748	0.1497465	0.9824343
1300	-274.9625	-241.2583	-33.70423	3.242918	1.862889	0.166477	0.02703	0.58662	0.0206077	0.00329418	0.277479	0.0342127	0.0140837	0.625099	0.421922	0.154047	0.146052	0.089924	0.0295718	0.873074	0.0348103	0.1733946	0.02363983	0.0852333	0.0415395	0.188835	0.0490969	0.0184332	0.0156888	0.110632	0.0597323	0.165176	0.0773069	0.00464841	0.0757672	0.0274896	0.0665559	0.0138643	0.2531064	1	51.89837	0.04541415	0.27634	0.639594	1.06615	2.01792	0.173077	0.266611	0.149448	0.115281	0.224196	0.0713858	0.2767462	0.9145794
1400	-277.1324	-243.9686	-33.16376	1.526531	0.9957755	0.136396	0.124052	0.647699	0.00997896	0.0550895	0.0213437	0.69669	0.0235377	0.42025	1.55184	0.0556868	0.190565	0.701763	0.778521	0.0866872	0.825704	0.3247357	0.0290336	0.10481	0.00120209	0.067554	0.131029	0.0183117	0.028189	0.0659162	0.0913017	0.0330511	0.106987	0.00480855	0.0280443	0.0916248	0.208952	0.0182187	0.1198817	3	52.01982	0.08216686	0.13611	0.475478	0.999296	2.38911	0.174506	0.264106	0.165468	0.108818	0.158213	0.128889	0.1489153	0.8050328
1500	-256.1749	-235.0452	-21.12968	4.926591	2.62598	0.0867016	0.00662448	0.0866897	0.0728921	0.116382	0.0088135	0.00515539	0.0605737	0.68213	0.172079	0.0183336	0.00699306	0.0684166	0.462131	0.0354976	0.0599128	0.132799	-0.03636493	0.159523	0.0377859	0.103297	0.000758159	0.0856936	0.0290645	0.0481023	0.0625771	0.00179191	0.0275483	0.00961978	0.167967	0.00178095	0.23948	0.0250103	0.0778874	1	50.58806	0.03121966	0.358084	0.708463	1.07992	1.85353	0.179642	0.190032	0.196072	0.100571	0.274024	0.05966	0.04152246	1.875789
