Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-225.7637	-224.0084	-1.755312	21.69804	1.593439	0.05126597	0.02855187	0.000867469	0.0781155	0.0689344	0.181985	0.0429553	0.00112656	0.033555	0.00702882	0.187038	0.133685	0.103906	0.0110191	0.140245	0.0015291	0.00800971	0.009304662	21.69804	0.239403	0.603405	1.05547	2.10172	0.167134	0.14571	0.234059	0.0605631	0.267989	0.124545	0.03785653	0.2457875
100	-225.0801	-221.8269	-3.253152	30.51829	1.390061	0.04489368	0.0278443	0.00439379	0.22797	0.107715	0.145159	0.0158101	0.0263073	0.0137364	0.005508	0.202427	0.0592457	0.0976909	0.0240951	0.0395527	0.0300374	0.000351581	0.004161944	30.51829	0.207829	0.569172	1.04326	2.17974	0.139122	0.221561	0.13532	0.0552027	0.364181	0.084613	0.03200625	0.1300354
200	-220.9143	-220.5999	-0.3143341	15.46118	2.643117	0.1118245	0.0828984	0.0119253	0.0867509	0.0363539	0.26148	0.0107098	0.00951182	0.027229	0.00351593	0.286008	0.0338422	0.0905812	0.0252191	0.0181266	0.0981964	0.000549028	0.0007507979	15.46118	0.359619	0.709635	1.08008	1.85066	0.103411	0.180138	0.211607	0.0837675	0.265029	0.156047	0.0836492	0.008975554
300	-227.593	-224.8952	-2.697766	6.778465	5.024821	0.2623513	0.05041503	0.000532837	0.144216	0.0184236	0.076345	0.0173644	0.0187683	0.0476626	0.00124103	0.194315	0.0660647	0.085258	0.00475818	0.227138	0.0777437	0.0201691	0.1029061	6.778465	0.503105	0.804553	1.08326	1.60908	0.225603	0.163104	0.139961	0.037752	0.389401	0.0441791	0.1533211	0.6711802
400	-234.0057	-216.1776	-17.82815	78.40683	5.945353	0.03524598	0.04176435	0.00286493	0.279775	0.0493134	0.381838	0.0129513	0.00358082	0.0130778	0.000661607	0.110528	0.0273812	0.0248205	0.013833	0.039285	0.0335028	0.00658679	0.004645801	78.40683	0.53716	0.823585	1.08138	1.55787	0.130244	0.242234	0.145319	0.085832	0.262417	0.133954	0.04641015	0.1001031
500	-231.7486	-227.2496	-4.498995	37.54044	1.696476	0.03048197	0.06446756	0.000532098	0.0965588	0.0749865	0.276169	0.0410085	0.00864197	0.00452429	0.000900684	0.0667832	0.0714636	0.0532372	0.00548805	0.0581616	0.217227	0.024317	0.01653837	37.54044	0.254141	0.618298	1.06014	2.06742	0.0828609	0.310887	0.198327	0.0598646	0.194408	0.153653	0.08100593	0.2041624
600	-224.7231	-222.6369	-2.086153	20.779	1.5772	0.1114028	0.04916888	0.0201652	0.0674192	0.197551	0.181337	0.0136714	0.00931781	0.0205369	0.00835983	0.198301	0.113721	0.0910409	0.0033986	0.0308382	0.0182682	0.0260742	0.02970715	20.779	0.237006	0.600922	1.05465	2.10742	0.144985	0.238003	0.192584	0.0410318	0.288834	0.0945627	0.07887603	0.3766309
700	-229.2375	-225.921	-3.316497	18.18779	2.568242	0.08813381	0.04421994	0.00190026	0.128895	0.0012693	0.145447	0.0261993	0.017717	0.0341323	0.00350137	0.250636	0.0997957	0.209966	0.0440092	0.0149913	0.0201321	0.00140832	0.0453142	18.18779	0.352832	0.704423	1.07936	1.86338	0.0839047	0.295719	0.205845	0.0505686	0.303088	0.0608752	0.08953414	0.5061109
800	-234.3998	-220.9669	-13.43291	83.25876	3.687593	0.01629423	0.02547927	0.00968979	0.130429	0.386769	0.107433	0.0223299	0.000291609	0.0221735	0.00529406	0.103904	0.00291208	0.121094	0.003339	0.0575854	0.0231529	0.00360299	0.008240469	83.25876	0.436331	0.763662	1.0843	1.7157	0.118493	0.218738	0.230647	0.0712749	0.300915	0.0599315	0.03371974	0.2443811
900	-230.2854	-225.3437	-4.941685	10.40142	6.11086	0.08137743	0.08241115	0.00112328	0.0936437	0.0236323	0.122903	0.00932356	0.00307857	0.0128838	0.023154	0.095966	0.0826478	0.25645	0.0121201	0.236878	0.0159453	0.0102506	0.1385266	10.40142	0.542558	0.8265	1.08101	1.54993	0.0902573	0.13839	0.154996	0.0462575	0.374724	0.195375	0.2209377	0.6269938
1000	-221.1262	-219.1329	-1.99326	18.12065	2.648801	0.07757507	0.0582472	0.0111228	0.127154	0.168006	0.204881	0.0274703	0.00692946	0.0342392	0.00179872	0.0909737	0.152803	0.113341	0.00106225	0.0243886	0.0254788	0.0103512	0.02871497	18.12065	0.360125	0.710021	1.08013	1.84972	0.154915	0.18331	0.144992	0.0531875	0.294841	0.168755	0.08696218	0.3302007
1100	-230.9972	-224.7855	-6.211732	34.69164	3.728184	0.02953529	0.04094924	0.0173191	0.0119	0.0189723	0.248775	0.000614672	0.0056998	0.036973	0.000565079	0.275524	0.194672	0.0592493	0.0206447	0.0200047	0.0621815	0.0269045	0.0414269	34.69164	0.438777	0.765252	1.08434	1.71164	0.0980762	0.152553	0.29529	0.0604712	0.312711	0.0808984	0.08237614	0.5028993
