Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-357.6971	-304.8342	-52.8629	13.94128	2.535067	0.533951	0.052807	0.238353	0.126943	0.0467273	0.0693813	0.169127	0.675958	0.0238877	0.0815121	0.24807	0.242411	0.152718	0.409049	0.0769901	1.05747	0.439476	0.712256	0.441024	0.0400012	1.07313	0.399733	0.3931056	-0.0004550258	0.137709	0.00701912	0.125282	0.0444018	0.0463908	0.0274708	0.0353265	0.0289333	0.0063832	0.15805	0.154153	0.0795448	0.0153159	0.124916	0.00910233	0.3858445	2	50.02367	0.02430937	0.349756	0.702035	1.07902	1.86919	0.249963	0.229908	0.144355	0.121249	0.127007	0.127518	0.3853894	1.001181
100	-345.8672	-311.9864	-33.88081	15.53015	1.598622	0.345378	0.178032	0.315122	0.107576	0.089724	0.0141845	0.793079	0.321456	0.00943307	0.10921	0.261764	0.0206937	0.0686487	0.0340584	0.0727084	0.213118	0.15244	0.073011	0.0219717	0.300192	0.0788472	0.18311	0.1746446	-0.04914986	0.0748275	0.0729058	0.067714	0.00971823	0.0142201	0.074942	0.0993092	0.0173421	0.0146959	0.186531	0.0862258	0.0222196	0.0938845	0.0471025	0.118362	0.2752406	1	53.64524	0.03349091	0.240163	0.604189	1.05572	2.09992	0.142254	0.289135	0.0821585	0.157926	0.188336	0.140191	0.2260907	1.21739
200	-343.4535	-309.6856	-33.76785	11.22624	4.70231	0.0568713	0.0791171	0.138139	0.182255	0.383416	0.0122095	0.217428	0.162379	0.00448604	0.00749571	0.184121	0.0498791	0.145808	0.0936423	0.16983	0.0478953	0.172804	0.143628	0.0259961	0.143903	0.0619773	0.0970199	0.1264619	0.02169377	0.0357112	0.00682349	0.0116157	0.0363496	0.0177799	0.0271061	0.080138	0.0859724	0.00290525	0.01037	0.122338	0.0998531	0.0935901	0.361456	0.00799179	0.113317	0	51.23338	0.02937566	0.489223	0.796459	1.08378	1.63054	0.265645	0.308187	0.0842797	0.0996952	0.10041	0.141783	0.1350108	0.8393182
300	-345.2238	-309.2713	-35.95246	14.44514	1.608064	0.134205	0.0179192	0.0827364	0.277998	0.226486	0.0356545	0.445378	0.297523	0.0188944	0.0645776	0.115138	0.000871796	0.0988954	0.333798	0.399567	0.0762834	0.128144	0.102179	0.0536645	0.118508	0.0936493	0.0589129	0.1270053	-0.0393865	0.117856	0.0217674	0.199557	0.0508005	0.033011	0.028727	0.0304992	0.0262866	0.0108604	0.0377638	0.102003	0.0888155	0.14181	0.0632064	0.047036	0.1868134	1	61.22008	0.04350888	0.241544	0.605608	1.05618	2.09666	0.211747	0.261869	0.157672	0.0990013	0.111739	0.157971	0.1474269	1.26716
400	-348.6541	-317.4016	-31.25249	9.260009	4.342767	0.102049	0.0591539	0.267788	0.0562519	0.0729312	0.04613	0.21642	0.154993	0.0191828	0.0891137	0.0739611	0.0700056	0.243908	0.116986	0.0499932	0.181206	0.0559891	0.136177	0.151125	0.0222041	0.122049	0.0947544	0.105107	-0.01934655	0.0385979	0.106056	0.0267196	0.0244278	0.0602803	0.128481	0.0175636	0.144577	0.0615434	0.030264	0.109098	0.0177246	0.152757	0.0563252	0.0255851	0.1663759	2	55.43416	0.04819083	0.472255	0.786286	1.08421	1.65725	0.240367	0.319788	0.0740006	0.155723	0.0887986	0.121322	0.1470294	1.131583
500	-352.2176	-314.9121	-37.30554	30.57331	2.929879	0.0931964	0.123439	0.0327236	0.0359321	0.306103	0.0249063	0.102329	0.270022	0.0461187	0.0260591	0.0363111	0.0292636	0.279952	0.412735	0.199451	0.155353	0.038443	0.0473437	0.0284352	0.154246	0.0641298	0.0645241	0.06756723	-0.01375191	0.133549	0.0702929	0.110476	0.0167514	0.0426178	0.061387	0.0504181	0.0754523	0.000505245	0.372144	0.00062801	0.00709833	0.0275644	0.0287196	0.0023954	0.315609	2	52.15395	0.02151911	0.383763	0.72757	1.08215	1.80652	0.188982	0.249338	0.0843289	0.0933729	0.133451	0.250528	0.3018571	1.045558
600	-337.1802	-307.5092	-29.67093	18.54301	4.619015	0.177478	0.478791	0.103785	0.0690279	0.0815191	0.0389459	0.0816227	0.120833	0.0366552	0.0927207	0.184607	0.0511934	0.150379	0.114361	0.0321489	0.225966	0.206133	0.0573656	0.162513	0.0154111	0.00359374	0.0106031	0.1065688	0.009243095	0.0892547	0.0874939	0.0203698	0.015811	0.0199688	0.135536	0.0548008	0.0772646	0.0215048	0.134134	0.166085	0.030118	0.0867573	0.0555362	0.00536569	0.2107069	2	51.22313	0.05138282	0.485441	0.794219	1.0839	1.63645	0.185111	0.277862	0.0931628	0.109544	0.141092	0.193229	0.21995	0.9579764
700	-364.8098	-318.4916	-46.31824	19.76062	2.177971	0.0939096	0.226224	0.510481	0.296435	0.591303	0.0068325	0.0812866	0.0201977	0.0682165	0.104684	0.402375	0.269693	0.205576	0.423801	0.0189736	0.255578	0.0885176	0.266044	0.173412	0.0221655	0.10894	0.114355	0.166457	0.005951385	0.0467791	0.0412041	0.140918	0.0446362	0.0124779	0.0618894	0.00734141	0.276349	0.0126423	0.121168	2.34554e-05	0.0548152	0.108178	0.0400746	0.031503	0.1889895	3	60.08954	0.01660725	0.313632	0.672696	1.07387	1.93981	0.18746	0.27528	0.154493	0.0923044	0.134203	0.15626	0.1949409	0.9694708
800	-344.0202	-315.1281	-28.89203	13.16249	1.928269	0.308114	0.116629	0.10293	0.00635032	0.193422	0.0299656	0.0603675	0.166932	0.0064191	0.0902319	0.238351	0.114273	0.129424	0.10227	0.264097	0.00110606	0.0346342	0.163249	0.127768	0.0326577	0.0125441	0.0736577	0.1303799	-0.003250561	0.161197	0.051019	0.0842309	0.104271	0.0556027	0.028347	0.0664813	0.0241199	0.0103916	0.024091	0.0851777	0.0213651	0.229422	0.0379479	0.0163352	0.2358583	2	55.14859	0.0147101	0.284559	0.647163	1.06809	2.00019	0.21698	0.23101	0.162764	0.125738	0.128641	0.134867	0.2326078	1.013974
900	-336.0023	-306.7102	-29.2921	17.24558	2.974203	0.0300375	0.00320173	0.0410227	0.00786751	0.571844	0.075422	0.20342	0.0751454	0.0195719	0.0068071	0.158358	0.0515371	0.0529416	0.266754	0.0352154	0.119698	0.0635183	0.143645	0.261162	0.142655	0.032337	0.0171486	0.1052827	0.0424774	0.0986111	0.000599355	0.184979	0.023317	0.0155813	0.0108781	0.0742921	0.00640074	0.0302519	0.180044	0.160205	0.0344332	0.118865	0.0543431	0.00719789	0.2355869	0	50.91239	0.04255809	0.387256	0.73009	1.08239	1.80027	0.232831	0.218294	0.0888183	0.0845369	0.184306	0.191214	0.2780643	0.847239
