Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-132.5591	-126.2765	-6.282685	3.860076	0.6265261	0.1781595	0.01816731	0.00615659	0.193224	0.0732713	0.0170132	0.106235	0.176303	0.0390261	0.0606993	0.038646	0.033364	0.119692	0.038554	0.0697146	0.0230992	0.00500216	0.3745037	0	4.904755	0.1881326	0.0586211	0.326699	0.894271	2.72041	0.0706242	0.225046	0.0440085	0.548289	0.0422483	0.0697836	0.392671	0.953734
100	-129.6186	-121.9156	-7.703044	4.251716	0.23904	0.3948693	0.1201072	0.0207777	0.182733	0.0542014	0.0334979	0.049648	0.0207464	0.0608807	0.0936336	0.0400763	0.124608	0.0820205	0.0122945	0.142025	0.0827346	0.000123639	0.465207	0	4.58521	0.1618684	0.00163971	0.058897	0.477796	3.46167	0.106392	0.331644	0.0524442	0.436648	0.0271471	0.0457258	0.5853142	0.7947987
200	-136.1249	-127.3015	-8.823401	3.767168	0.2878657	0.5491149	0.09622707	0.0682992	0.129719	0.0101987	0.00813904	0.0368897	0.0014026	0.057352	0.0160051	0.00102223	0.21133	0.0844596	0.0146344	0.0579688	0.0121275	0.290451	0.3834113	0	4.073097	0.2373864	0.00436273	0.0950951	0.57485	3.32569	0.1175	0.245237	0.117453	0.42871	0.0469096	0.0441896	0.4796383	0.7993758
300	-129.3354	-125.2261	-4.109311	2.911096	2.223187	0.1607395	-0.158993	0.114062	0.0839051	0.0843228	0.0192838	0.0774468	0.0346478	0.134014	0.118659	0.0479181	0.118136	0.0369221	0.0615423	0.00684182	0.0265026	0.0357955	0.413594	0	3.650788	0.4525226	0.318536	0.676826	1.07469	1.92995	0.127312	0.167269	0.0438188	0.463892	0.0899566	0.107752	0.254601	1.624479
400	-133.9407	-123.8945	-10.04617	6.221542	0.5426709	0.07836519	0.05067321	0.0309969	0.0360992	0.078137	0.0931358	0.202241	0.0631696	0.0738618	0.0321604	0.0122609	0.248888	0.00704339	0.026767	0.0435583	0.0389674	0.0127141	0.2207744	0	8.762411	0.2699461	0.0415436	0.278863	0.848995	2.8306	0.149717	0.220203	0.0610207	0.433236	0.0684148	0.0674072	0.2714476	0.8133223
500	-132.4523	-121.2957	-11.15667	4.349899	0.6820357	0.2240996	-0.1363148	0.0205254	0.00532749	0.229617	0.0688529	0.0573419	0.0406124	0.0296182	0.0631299	0.00632878	0.115827	0.0922955	0.235233	0.00382575	0.00840871	0.023056	0.1995657	0	6.860756	0.2251647	0.0703559	0.354929	0.918025	2.65669	0.0450037	0.207722	0.0689819	0.447309	0.151776	0.0792076	0.06325089	3.155144
600	-135.0034	-128.876	-6.127424	4.393476	0.2476221	0.1629324	-0.2324624	0.0462855	0.25382	0.00404314	0.0832178	0.012905	0.0450541	0.0215945	0.187329	0.0166903	0.0860073	0.000832191	0.0137135	0.159647	0.0625422	0.00631841	0.5089921	0	5.82015	0.2556835	0.00200278	0.0649782	0.496444	3.43657	0.0664943	0.132698	0.103418	0.510488	0.10802	0.078882	0.2765298	1.840641
700	-129.4437	-119.7356	-9.708055	5.801259	0.4389997	0.2342052	-0.02165197	0.00612738	0.0421009	0.147169	0.0163671	0.00517228	0.0172852	0.0849516	0.0386434	0.237703	0.222485	0.0748748	0.0544303	0.0131575	0.0392722	0.000259789	0.1848082	0	6.81057	0.2000809	0.0227191	0.210243	0.770256	2.99678	0.0876596	0.209157	0.08488	0.532568	0.0324309	0.0533046	0.1631562	1.132707
800	-130.6708	-122.1554	-8.515472	4.798058	0.4430219	0.2789198	-0.361683	0.0369031	0.106276	0.177169	0.0131896	0.0480497	0.0210821	0.0378058	0.0882957	0.122854	0.118177	0.0828245	0.0452188	0.0612267	0.0330453	0.00788263	0.6055215	0	6.843662	0.2369112	0.0233785	0.213102	0.773934	2.98958	0.101304	0.19082	0.0629188	0.50217	0.0266129	0.116174	0.2438385	2.483289
900	-124.6278	-116.6559	-7.971913	5.356269	0.8027675	0.2665162	-0.1847694	0.0811648	0.106133	0.170367	0.0313332	0.100737	0.0127703	0.0369913	0.0499273	0.00507675	0.0816717	0.0287795	0.021552	0.0120865	0.0389407	0.222468	0.4850081	0	5.419918	0.1815777	0.0961475	0.408246	0.957719	2.53789	0.0829876	0.211759	0.0663846	0.530401	0.0588608	0.0496068	0.3002387	1.615408
