Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-445.0462	-368.7773	-76.2689	6.921617	2.906315	0.0861941	0.437771	0.199056	0.138577	0.0895082	0.11434	0.347267	0.00292748	0.0118652	0.19761	0.556546	0.019625	0.0700492	0.0214005	0.0160229	0.0105878	0.00688274	0.18736	0.0291343	0.021939	0.0370563	0.0863168	0.377151	0.0387072	0.126461	0.174653	0.116769	0.417657	0.38212	0.0534257	0.0240869	1.05267	0.247673	0.0535816	0.00133278	0.566201	0.050724	0.174643	0.00404109	0.0608339	0.0193584	0.0105512	0.0688851	0.0403203	0.0322654	0.441461	0.48262	0.100868	0.146202	0.113115	0.525042	1.34209	0.0660683	0.0391532	0.0753008	0.0259447	1.02435	0.0220696	0.297152	0.51586	0.0109774	0.0899492	0.2343561	0.2789283	0.0702044	0.103025	0.0049146	0.110886	0.0816835	0.0511481	0.00984924	0.00384052	0.0560665	0.116654	0.163297	0.0394616	0.0314248	0.0528665	0.104678	0.7414744	15	7.648484	0.2634605	0.381882	0.726205	1.08201	1.8099	0.148969	0.235507	0.182237	0.149712	0.20318	0.0803948	1.020403	0.7266488
100	-400.7382	-365.9743	-34.76388	12.93601	4.669957	0.0275455	0.0132698	0.0723647	0.112954	0.00319119	0.0672888	0.426108	0.0177952	0.0747402	0.0851316	0.178972	0.0296841	0.395791	0.002728	0.0135325	0.0283989	0.00941541	0.0441692	0.0351952	0.00425826	0.0174333	0.381421	0.0376714	0.00428663	0.000552831	0.0750979	0.0274905	0.011893	0.0608888	0.0445345	0.0534777	0.0511795	0.00983184	0.00732379	0.00362348	0.0996424	0.00501507	0.00982091	0.014225	0.0701528	0.0059473	0.0316904	0.119177	0.146606	0.154867	0.502732	0.136775	0.0623613	0.130951	0.0133858	0.0124013	0.040456	0.0155656	0.214559	0.0235843	0.01322	0.247465	0.0924721	0.0170076	0.00300515	0.036254	0.109899	0.06643492	0.04573782	0.060505	0.046992	0.133457	0.108284	0.0473259	0.0810129	0.0330921	0.035089	0.0368399	0.0328589	0.172715	0.0169351	0.11105	0.0699098	0.0139329	0.6548758	12	13.24739	0.1860529	0.487764	0.795597	1.08383	1.63281	0.141243	0.165425	0.144801	0.0794113	0.207665	0.261455	0.7006136	0.9347175
200	-435.9676	-359.9158	-76.05176	11.56094	2.891939	0.0326901	0.00524615	0.029023	0.33483	0.0609884	0.200768	0.361345	0.315416	0.0236622	0.14009	0.291359	0.00655669	0.0721312	0.125704	0.904665	0.0261686	0.147423	0.0491097	0.21901	0.0717237	0.104887	0.425855	0.0388737	0.0612765	0.342593	0.00335544	0.0553493	0.0229928	0.14195	0.078358	0.0285324	0.0729166	0.0211714	0.0785094	0.0230293	0.00997739	0.0157657	0.00496532	0.193071	0.0179056	0.242516	0.00806938	0.130966	0.315898	0.590669	0.493754	0.989182	0.359013	0.0433363	0.0314005	0.0410943	0.0663334	0.0370774	0.45516	0.00809846	0.278608	0.0724374	0.0512587	0.0467755	0.166355	0.475564	0.108155	0.1722953	0.08452934	0.0405321	0.0522536	0.133752	0.00986652	0.0864753	0.0297748	0.090849	0.000561239	0.194088	0.0185557	0.097538	0.0113946	0.0766105	0.0989711	0.0587778	0.4750932	14	13.68898	0.208765	0.380725	0.725364	1.08193	1.81198	0.151481	0.120415	0.247502	0.0728564	0.299951	0.107796	0.5596226	0.8489529
300	-430.9338	-364.2991	-66.63475	8.484536	5.186414	0.0286231	0.0199179	0.05102	0.0229526	0.0621051	0.462401	0.458646	0.0167112	0.0210335	0.0942869	0.0390052	0.0063244	0.098663	0.0337556	0.00566779	0.0315291	0.35033	0.309392	0.107025	0.0470052	0.298595	0.0140934	0.0172616	0.190546	0.0312417	0.117194	0.0443216	0.030041	0.0116499	0.040231	0.00353702	0.00299551	0.0178575	0.0798675	0.060895	0.0101296	0.0843299	0.0571781	0.527518	0.0939478	0.213317	0.0920497	0.184187	0.0271278	0.331077	0.347008	0.51567	0.748448	0.330773	0.0763613	0.0417213	0.0833339	0.0130849	0.125881	0.337573	0.291624	0.0633939	0.0432252	0.0263762	0.341748	0.297437	0.217095	0.1187247	-0.09072843	0.245961	0.0760998	0.105904	0.00533434	0.0637269	0.0487139	0.0628639	0.00695692	0.120911	0.0237272	0.0469894	0.0261777	0.0542857	0.052191	0.0601573	0.6895134	14	10.30187	0.3155114	0.50964	0.808294	1.08296	1.5991	0.147792	0.157404	0.276056	0.110153	0.200358	0.108237	0.598785	1.151521
400	-443.2441	-370.6629	-72.58122	9.402511	2.252274	0.0972061	0.043398	0.013237	0.00172011	0.0897973	0.66764	0.024735	0.0303935	0.03648	0.245844	0.308036	0.166709	0.00628195	0.00982935	0.438392	0.212636	0.0619521	0.0482796	0.0274877	0.0986651	0.0171609	0.136997	0.089758	0.0594058	0.10099	0.477758	0.0472016	0.129496	0.227671	0.00511587	0.0152899	0.372262	0.148028	1.05544	0.0070313	0.284081	0.276862	0.0784217	0.169098	0.0535081	0.0214277	0.0275994	0.000904124	0.422553	0.306095	0.136344	0.123206	0.00061149	0.238527	0.104239	0.688134	0.261448	0.0179118	0.0172804	0.0905421	0.498422	0.175091	0.256722	0.15779	0.362407	0.016826	0.00566586	0.1550323	0.09765598	0.135671	0.174939	0.0794396	0.00618081	0.0414769	0.0102993	0.0308718	0.0034185	0.118361	0.0278089	0.0972129	0.0177455	0.035996	0.11635	0.104229	0.6473091	12	9.691957	0.229453	0.321637	0.679412	1.07519	1.92376	0.167351	0.116725	0.20199	0.0978728	0.319212	0.096849	0.7449651	0.868912
500	-441.7301	-373.0797	-68.65037	9.304401	7.206839	0.0406164	0.0478353	0.0382258	0.291739	0.0693067	0.234197	0.426514	0.017513	0.0381191	0.0184266	0.078833	0.0491839	0.184931	0.0360416	0.0358697	0.00686032	0.0795047	0.0573518	0.0142749	0.0550318	0.0512133	0.477907	0.0352921	0.113953	0.0687945	0.156644	0.0648025	0.0237265	0.00679626	0.103922	0.0986834	0.0227482	0.00133142	0.0187455	0.116167	0.277366	0.0160438	0.0543465	0.0389074	0.0308939	0.0252889	0.11038	0.0606954	0.217153	0.0687737	1.18715	0.343957	0.123435	0.33474	0.0310988	0.0264239	0.142849	0.0200077	0.0927616	0.0164819	0.253023	0.0129375	0.0762336	0.128636	0.0940061	0.285934	0.258922	0.1089181	0.2290796	0.0527554	0.0513524	0.0917449	0.0741198	0.0905619	0.108618	0.0123139	0.019925	0.10252	0.0323172	0.0842192	0.0105879	0.0826629	0.174885	0.0114173	0.5142659	7	10.82523	0.195418	0.574016	0.842962	1.07847	1.50455	0.0751499	0.119184	0.155505	0.058439	0.426273	0.165448	0.7433455	0.6918262
600	-442.5124	-376.3803	-66.13213	8.260475	1.319281	0.130418	0.200775	0.0381066	0.503209	0.0190911	0.119389	0.162394	0.0270737	0.166993	0.0217012	0.384454	0.202988	0.0294024	0.00131405	0.0144479	0.311363	0.0796312	0.0876753	0.0210684	0.0110977	0.0401229	0.0319413	0.14821	0.0212217	0.166089	0.406745	0.00250241	0.245789	0.00087854	0.000462977	0.0137903	0.188395	0.0210799	0.672642	0.256515	0.00853886	0.0124713	0.0581636	0.0297119	0.272402	1.04792	0.0182207	0.450652	0.427139	0.0303574	0.0225128	0.179235	0.581145	0.100322	0.000854576	0.373839	0.0222002	0.170695	0.019466	0.0768642	0.00150747	0.165538	0.125104	0.0359184	0.183099	0.0153979	0.0245523	0.174398	0.03408084	0.109606	0.145894	0.0244186	0.0927836	0.0258402	0.116264	0.0232207	0.0658496	0.0862256	0.0601789	0.14677	0.0142496	0.0172786	0.040925	0.0304961	0.5237577	13	8.445681	0.2045978	0.196008	0.555424	1.03778	2.21079	0.16477	0.0801575	0.125387	0.147725	0.285377	0.196583	0.5578386	0.9389055
700	-426.6803	-364.1978	-62.48255	9.887024	6.006271	0.0200227	0.0829136	0.12019	0.165613	0.0292833	0.00652024	0.122617	0.13676	0.0451879	0.0331131	0.41826	0.291893	0.120446	0.0524241	0.0940614	0.14662	0.0257698	0.0810481	0.00933444	0.0471016	0.00460279	0.0156075	0.00939071	0.0116818	0.00546227	0.263295	0.301728	0.0343424	0.212556	0.00458665	0.0118261	0.215823	0.0739506	0.291856	0.183431	0.101685	0.0177429	0.0349015	0.0917491	0.14372	0.245932	0.00164215	0.695339	0.176088	0.00893279	0.256858	0.0442809	0.413228	0.0461417	0.099944	0.000428936	0.164366	0.186937	0.106944	0.00507368	0.0123099	0.297882	0.12487	0.193154	0.0503679	0.0261492	0.155761	0.1171092	0.08414309	0.0476272	0.136879	0.0314329	0.0732593	0.0206092	0.075656	0.0241719	0.00118386	0.149153	0.120156	0.152726	0.00525206	0.0380004	0.0556545	0.0682389	0.6003776	14	11.10563	0.1823645	0.53917	0.824674	1.08124	1.55491	0.141786	0.0962399	0.193	0.0686906	0.371626	0.128657	0.6845207	0.8770774
800	-428.8612	-360.2144	-68.64683	14.67032	2.094217	0.103299	0.0858606	0.205752	0.0734137	0.327046	0.111901	0.790608	0.0434267	0.0695728	0.0872004	0.0361744	0.00718646	0.154591	0.0657648	0.00557981	0.0859956	0.107132	0.235847	0.0413882	0.00482526	0.0241071	0.183247	0.00877895	0.0591273	0.0680093	0.0261859	0.0128691	0.0900042	0.0188697	0.0885921	0.0240548	0.0285713	0.0254181	0.0114232	0.156038	0.00378575	0.339456	1.80769e-05	0.0246214	0.126877	0.0327834	0.319489	0.127405	0.353262	0.279614	0.0692422	0.520943	0.395128	0.00469931	0.0174167	0.410136	0.0632276	0.0311333	0.245908	0.0271627	0.30271	0.064387	0.0339957	0.00943632	0.141722	0.0892963	0.0404818	0.1227452	-0.07920528	0.0635776	0.047713	0.272376	0.0660548	0.0854238	0.0330709	0.0617473	0.0285486	0.146629	0.0147662	0.0721283	0.00591733	0.0180884	0.0581438	0.025815	0.5918067	16	15.99931	0.1431932	0.304268	0.664673	1.07218	1.95888	0.145797	0.119555	0.265391	0.054233	0.297071	0.117953	0.5126014	1.154516
900	-436.605	-368.3554	-68.24968	9.850261	4.199824	0.112251	0.0499984	0.0227994	0.242693	0.0373801	0.148517	0.0453701	0.0116285	0.0109058	0.301548	0.0972773	0.569991	0.00983873	0.0110323	0.0310183	0.0582242	0.0209743	0.00296682	0.0479657	0.0536878	0.0307639	0.019522	0.0340158	0.063916	0.15224	0.0359774	0.0502208	0.208396	0.193364	0.0330371	0.0276274	0.257703	0.0101354	0.109217	0.00806749	0.253255	0.100721	0.625489	0.0553352	0.0110896	0.132653	0.00523109	0.0272222	0.0721102	0.547243	0.0019756	0.500672	0.0627585	0.104419	0.0539439	0.17421	0.231793	0.0904949	0.0170195	0.347312	0.0119881	0.0656731	0.0616277	0.870368	0.351088	0.481265	0.0184168	0.1426879	0.1596992	0.0732918	0.120318	0.0631721	0.0904531	0.0364372	0.101428	0.0807376	0.0123334	0.083144	0.0181529	0.0342609	0.00994044	0.03577	0.166401	0.07416	0.5932995	11	10.90237	0.128724	0.465014	0.781848	1.08432	1.66882	0.118572	0.0978022	0.288564	0.0825656	0.283662	0.128834	0.7529987	0.7879157
