Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-225.1546	-233.1667	8.012064	366.164	2.170253	0.0119643	0.0284991	0.0376285	0.0513988	0.088134	0.0165535	0.0086744	3.37052e-05	0.00547488	0.0952615	0.164889	0.0401534	0.0790756	0.0953214	0.07640984	0.003497601	0.00453271	0.0528492	0.0741378	0.275398	0.010417	0.00552669	0.0161462	0.0538358	0.192251	0.109273	0.0348692	0.00718788	0.0890804	0.0307879	0.0437064	0.003855805	366.164	0.312785	0.671977	1.07372	1.94152	0.15758	0.11725	0.316969	0.0900134	0.250999	0.0671899	0.007353406	0.5243563
100	-231.9247	-241.886	9.961256	144.3803	1.976152	0.0318747	0.049326	0.0713749	0.168165	0.0542686	0.000563857	0.00443035	0.0320942	0.0173043	0.0530387	0.102199	0.0537589	0.0287446	0.201934	0.09727172	0.01311941	0.0113087	0.00157805	0.15719	0.0712882	0.0670904	0.0102769	0.0251443	0.000548867	0.109659	0.0602831	0.0337084	0.028269	0.0102777	0.393644	0.0197332	0.001844147	144.3803	0.290411	0.652454	1.06938	1.98775	0.18509	0.0832701	0.201039	0.0534979	0.38357	0.0935328	0.01496356	0.1232425
200	-229.0545	-235.7357	6.68125	33.29465	1.219094	0.00582528	0.0285365	0.108654	0.177815	0.0806169	0.15833	0.0276866	0.0975919	0.0433294	0.00950287	0.212041	0.083395	0.861689	0.0988275	0.1760865	0.03097311	0.0224541	0.0700101	0.0155081	0.0605202	0.0565532	0.00705382	0.0116013	0.0108146	0.32781	0.111492	0.0595973	0.00422236	0.066917	0.133473	0.0419732	0.03058186	33.29465	0.178496	0.533976	1.02857	2.25896	0.221563	0.164025	0.176633	0.0433868	0.294844	0.0995481	0.06155498	0.496822
300	-229.964	-228.7573	-1.206717	94.47933	5.160982	0.0217416	0.271106	0.0162313	0.0224191	0.122762	0.153741	0.0223737	0.0746038	0.600646	0.197788	0.225192	0.19732	0.155524	0.0047206	0.1987147	0.01378288	0.0107582	0.0629479	0.0101547	0.231418	0.0207685	0.00226175	0.0435421	0.0093742	0.286622	0.00468637	0.0521127	0.000893044	0.250382	0.00802928	0.00604836	0.01459839	94.47933	0.508629	0.807718	1.08301	1.60064	0.17301	0.142879	0.297257	0.0765266	0.249205	0.0611228	0.02838126	0.5143671
400	-215.0879	-231.8363	16.74836	321.6634	1.692249	0.00608923	0.0206883	0.00240934	0.000691169	0.0391003	0.0416558	0.0751557	0.000150767	0.0156433	0.110863	0.0247186	0.0258912	0.0455673	0.0112077	0.0419987	0.005611415	0.0123655	0.126336	0.00866293	0.0728939	0.0510465	0.00630796	0.0485571	0.00476911	0.245305	0.121846	0.0419357	0.0454699	0.139062	0.0608458	0.0145952	0.004653653	321.6634	0.253552	0.617714	1.05997	2.06877	0.13864	0.209711	0.214645	0.0443325	0.287739	0.104933	0.01026507	0.4533485
500	-233.8337	-237.5126	3.678847	390.2315	1.236654	0.0821195	0.157675	0.0559751	0.000557359	0.0320392	0.199199	0.10299	0.241381	0.0396381	0.0322499	0.11199	0.0572197	0.100946	0.061056	0.07192856	0.006364955	0.011464	0.0111296	0.111026	0.19436	0.0160624	0.00329274	0.0457177	0.0116032	0.171587	0.0645506	0.041225	0.0248637	0.17516	0.0897591	0.0281987	0.001153532	390.2315	0.181633	0.537919	1.03032	2.25013	0.119625	0.134705	0.208417	0.0495992	0.356434	0.131219	0.007518487	0.1534261
600	-243.5402	-231.6192	-11.92096	92.11208	2.54315	0.255066	0.041654	0.387314	0.609479	0.458883	0.0709002	0.315084	0.00778458	0.183906	0.454566	0.187943	0.00555977	0.354571	0.187765	0.3027307	-0.02386856	0.00629159	0.106569	0.0550335	0.133964	0.00605822	0.00126458	0.00348471	0.00217084	0.115197	0.0477175	0.00831412	0.0193542	0.0650087	0.424782	0.00479036	0.05591506	92.11208	0.35051	0.702621	1.0791	1.86777	0.150737	0.129428	0.259826	0.0405344	0.302873	0.116602	0.0320465	1.74481
700	-231.873	-238.8656	6.992579	84.32994	2.107841	0.037032	0.0547821	0.0504108	0.231993	0.0614943	0.138032	0.0772318	0.0478973	0.194973	0.0274151	0.089853	0.0349414	0.182754	0.337617	0.1040325	0.01800067	0.0412999	0.138055	0.0991483	0.0320706	0.0194265	0.00327918	0.0525396	0.00485349	0.10633	0.0587924	0.0645389	0.0421262	0.237545	0.0783501	0.0216445	0.007159221	84.32994	0.305817	0.666012	1.07247	1.9557	0.120431	0.0814041	0.237155	0.0805034	0.364557	0.115949	0.0251599	0.2845489
800	-242.1586	-234.3292	-7.829365	216.7085	1.13685	0.420999	0.0830629	0.20165	0.426725	0.000531646	0.0908951	0.120363	0.497991	0.773727	0.0425792	0.389257	0.00567306	0.132797	0.272164	0.2239935	0.001084816	0.0326099	0.0924041	0.073024	0.122248	0.122247	0.00120264	0.0119114	0.0042942	0.104944	0.21616	0.0336677	0.0133924	0.0415073	0.051218	0.0791687	0.03707936	216.7085	0.163422	0.514346	1.01943	2.3028	0.158554	0.130586	0.196467	0.0565308	0.302276	0.155586	0.03816418	0.971575
900	-254.7069	-236.2898	-18.41718	43.43941	1.110854	0.00417441	1.17693	0.470849	0.076363	0.0723348	0.273752	0.926394	1.37835	0.767067	0.58648	0.715679	0.324851	0.27582	2.15372	0.6709059	0.05896182	0.0622453	0.202278	0.114723	0.132753	0.0230477	0.00167062	0.00395676	0.0160246	0.250904	0.0496815	0.0186674	0.00201257	0.0424945	0.0512036	0.0283375	0.01098666	43.43941	0.158527	0.507711	1.01619	2.31757	0.11071	0.131537	0.169456	0.0939366	0.356226	0.138134	0.06994849	0.1570679
