Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-586.7141	-526.7435	-59.97058	27.60355	5.265754	0.0377613	0.00315692	0.0265187	0.140352	0.0808535	0.0599908	0.00713487	0.00068812	0.0351325	0.0163746	0.181326	0.160845	0.0221112	0.0681067	0.0197051	0.018956	0.0343765	0.0504425	0.001955	0.000479154	0.135389	0.0251769	0.139138	0.0938131	0.392494	0.000195552	0.0989322	0.00696221	0.041168	0.238075	0.0543882	0.251314	0.00504893	0.25395	0.0193521	0.156752	0.00609953	0.0332022	0.103655	0.347879	0.101993	0.00777918	0.0754644	0.0590022	0.00561005	0.120815	0.00835949	0.0686828	0.230427	0.11456	0.060999	0.00976359	0.046449	0.143901	0.00585447	0.0078689	0.0692504	0.0461795	0.0195539	0.0222025	0.07463015	-0.008180414	0.00190657	0.234689	0.0208086	0.00139204	0.0230071	0.116706	0.00190393	5.87306e-05	0.112425	0.113634	0.129869	0.161028	0.000588441	0.060373	0.0216102	0.5728038	7	40.08611	0.04168244	0.512754	0.810061	1.08281	1.59437	0.103337	0.0843888	0.0450684	0.519307	0.156141	0.0917573	0.5646234	1.014488
100	-594.1173	-531.8713	-62.24602	28.8367	4.135432	0.00165194	0.0577231	0.288942	0.025283	0.0605945	0.0211354	0.0699846	0.03334	0.022105	0.199865	0.057039	0.126713	0.0269405	0.0319692	0.109613	0.0753887	0.253015	0.0395007	0.0542842	0.040973	0.243596	0.0868503	0.0105304	0.0107439	0.0010072	0.0180048	0.0575255	0.114284	0.00121381	0.0901435	0.0695505	0.136529	0.04515	0.0530097	0.0180927	0.18196	0.341274	0.0726429	0.0770875	0.169893	0.406103	0.0831071	0.173311	0.000228661	0.252049	0.0332105	0.0743135	0.0163812	0.00471915	0.188771	0.0874291	0.0871896	0.0593622	0.0901229	0.132705	0.00837184	0.0489684	0.00533848	0.244976	0.0486628	0.08209658	-0.04137674	0.000470667	0.356232	0.0550633	0.0374645	0.0421748	0.0434548	0.0742591	0.0104266	0.0821867	0.00680325	0.0499702	0.089978	0.0166267	0.130471	0.00441812	0.5158595	9	29.86583	0.08154748	0.461651	0.779766	1.08436	1.67423	0.132266	0.119308	0.0735652	0.387417	0.142686	0.144758	0.4744828	1.087204
200	-625.4936	-546.0916	-79.40204	6.229788	2.419902	0.00629866	0.0288956	0.18576	0.01744	0.622519	0.0920358	0.242513	0.0898112	0.136234	0.0861521	0.0145072	0.202308	0.0059713	0.105238	0.0624451	0.215701	0.0474208	0.0224789	0.0572823	0.0268614	0.113445	0.277633	0.204759	0.196152	0.0188763	0.0225178	0.087626	0.0626406	0.01394	0.247249	0.106017	0.188025	0.0953757	0.0209033	0.00865532	0.0510636	0.153748	0.296971	0.602122	0.0742899	0.0763811	0.133582	0.0293786	0.0742023	0.095435	0.0523328	0.0645147	0.0661298	0.0471585	0.049381	0.0183832	0.0943593	0.00763094	0.32422	0.140385	0.265315	0.00592656	0.280826	0.0396821	0.344023	0.1209751	0.05758736	0.0357636	0.201282	0.0575205	0.29683	0.00697305	0.0483119	0.10762	0.0239717	0.00105523	0.03261	0.0619101	0.0277154	0.00435054	0.0819569	0.0121299	0.4117752	8	34.32114	0.1079711	0.338729	0.693336	1.07766	1.89028	0.10027	0.128637	0.0949307	0.385737	0.137005	0.153421	0.4693626	0.8773073
300	-599.8956	-521.1534	-78.74224	8.746077	3.997021	0.164295	0.0935484	0.143514	0.0923937	0.347679	0.458302	0.0332151	0.0193925	0.476237	0.162544	0.0289645	0.139193	0.0158099	0.0242002	0.0107657	0.0115123	0.0298271	0.0280489	0.000739282	0.0984149	0.164291	0.0115522	0.121923	0.00174648	0.188313	0.283853	0.183379	0.0333174	0.00451734	0.000426973	0.0642974	0.355838	0.20385	0.6451	0.00736704	0.146187	0.132389	0.156037	0.030503	0.143009	0.436898	0.0352399	0.0458385	0.232871	0.0356645	0.00870818	0.051603	0.0101843	0.0795025	0.256898	0.133637	0.0937197	0.0932969	0.195543	0.214266	0.0952241	0.158744	0.0265614	0.00583495	0.0175497	0.1229503	0.09364469	0.0101072	0.208438	0.158642	0.00248748	0.00977071	0.00106428	0.0755733	0.0108692	0.00269395	0.10705	0.215873	0.0415813	0.0073853	0.135635	0.0128291	0.4931021	9	29.88116	0.08531397	0.454198	0.775106	1.0844	1.68629	0.114138	0.116796	0.0915941	0.34661	0.180247	0.150614	0.5867468	0.8404002
400	-582.3021	-512.1621	-70.14004	9.465679	4.022962	0.0617002	0.0276137	0.225666	0.174684	0.00126938	0.194558	0.00761708	0.0179071	0.212177	0.0314701	0.123199	0.0546145	0.0536339	0.000203575	0.020429	0.00933198	0.0979412	0.0162682	0.000220152	0.0297025	0.0547654	0.0241412	0.115413	0.0442762	0.215544	0.230293	0.0549055	0.00274819	0.0285487	0.0276202	0.0138709	0.00427705	0.478383	0.278313	0.0771481	0.0771968	0.124386	0.279869	0.00617875	0.125899	0.0771501	0.0785586	0.116636	0.144019	0.030189	0.0421416	0.0563392	0.00475838	0.419794	0.102198	0.006194	0.0864535	0.0202202	0.294681	0.0907843	0.120053	0.0473805	0.00841902	0.0549858	0.232669	0.07647373	-0.008338119	0.0220901	0.37215	0.0347311	0.0142105	0.0186993	0.0399457	0.12163	0.00649889	0.0104461	0.0367742	0.172578	0.0153712	0.00598112	0.102693	0.0262014	0.286261	9	31.10283	0.1047604	0.455619	0.775999	1.0844	1.68398	0.117906	0.126413	0.06127	0.428265	0.0922859	0.17386	0.2779229	1.030002
500	-624.0916	-531.3797	-92.71197	9.211942	2.904107	0.350431	0.00514053	0.025386	0.123162	0.336301	0.165922	0.0209586	0.052089	0.00635103	0.12562	0.0850915	0.0931345	0.13683	0.0141123	0.0903727	0.175615	0.00824023	0.0118167	0.0140653	0.088914	0.00445774	0.235586	0.269368	0.24291	0.217357	0.12352	0.741183	0.0458815	0.0545935	0.0465107	0.15688	0.136517	0.298988	0.464029	0.525009	0.0375592	0.351427	0.297184	8.44887e-05	0.00401931	0.153081	0.104485	0.0566972	0.0727553	0.127123	0.174211	0.0368482	0.395285	0.638371	0.0596541	0.12045	0.176249	0.0781613	0.343648	0.668312	0.0232221	0.0333636	0.102956	0.144956	0.116065	0.1877854	0.1050857	0.0490556	0.158813	0.0694933	0.036827	0.0679838	0.067178	0.0509131	0.0244832	0.0856241	0.0943134	0.0397946	0.0699945	0.00342353	0.175765	0.00633847	0.4158773	5	25.73742	0.08743064	0.381705	0.726077	1.082	1.81022	0.0819865	0.0824972	0.0672626	0.444872	0.179605	0.143777	0.520963	0.7982856
600	-599.0301	-525.1209	-73.90921	28.30565	2.455484	0.319413	0.02222	0.333555	0.0805549	0.093778	0.128545	0.00492169	0.0476549	0.00117201	0.0586588	0.0561205	0.0492046	0.0443955	0.0108905	0.00101479	0.0174562	0.000556598	0.0747254	0.0860732	0.505353	0.277593	0.171914	0.0963236	0.0485608	0.169189	0.0374853	0.174146	0.194246	0.00968994	0.118984	0.00173662	0.149238	0.0648497	0.0375585	0.277713	0.0174366	0.117667	0.285255	0.0113884	0.00147693	0.153765	0.154064	0.0244172	0.00867771	0.0620358	0.521205	0.0167644	0.315405	0.0800759	0.0601095	0.00174019	0.0362836	0.127856	0.00988159	0.28764	0.0507054	0.00760678	0.0856241	0.00498874	0.290849	0.104941	-0.09453376	0.00352764	0.260318	0.0218337	0.125504	0.0256228	0.0207392	0.0746087	0.0986327	0.00718903	0.138699	0.108197	0.00691016	0.00263541	0.0980911	0.00749124	0.4583495	10	29.90654	0.09534885	0.342195	0.696094	1.0781	1.88361	0.0936004	0.136349	0.0631517	0.467804	0.081759	0.157336	0.3638158	1.25984
700	-618.5993	-513.0789	-105.5203	12.47827	2.245076	0.0460609	0.0487787	0.208769	0.178011	0.52989	0.39496	0.274474	0.0554464	0.00969992	0.743347	0.0732146	0.221746	0.323519	0.025295	0.0117903	0.0305399	0.0378444	0.161566	0.00784719	0.067013	0.237654	0.577643	0.453903	0.0732724	0.321178	0.744498	0.241294	0.0521941	0.0122996	0.237377	0.150822	0.0538666	0.529947	0.251741	0.19547	0.438064	0.116147	0.338369	0.0423199	0.0278228	0.0498074	0.0019386	0.0535108	0.0952301	0.105761	0.0555865	0.491204	0.380201	0.286888	0.0149099	0.010129	0.20719	0.0200911	0.0131003	0.402281	0.360484	0.432295	0.0271763	0.0291876	0.429327	0.1803531	-0.06230634	0.0372557	0.374926	0.0133394	0.0897071	0.00770268	0.00361975	0.0647282	0.0100207	0.0218896	0.113676	0.127978	0.0605474	0.0108611	0.0624283	0.00132035	0.6134524	10	30.06827	0.09741963	0.320874	0.678777	1.07507	1.92528	0.0819582	0.129059	0.0609871	0.417884	0.126494	0.183618	0.5511461	1.113049
800	-602.7399	-517.1179	-85.62197	24.69238	3.689737	0.0198637	0.00174006	0.093741	0.20363	0.515677	0.419097	0.0870897	0.0210738	0.0864773	0.0573219	0.0457198	0.155574	0.216836	0.000932932	0.291975	0.00104111	0.00293128	0.212078	0.00369138	0.0260965	0.0981822	0.0502059	0.207207	0.0631724	0.207815	0.0432035	0.144166	0.0928738	0.0270115	0.0642355	0.0251005	0.100116	0.131878	0.0186315	0.221808	0.168468	0.00811771	0.44865	0.229721	0.00790624	0.0715156	0.194295	0.00211086	0.0698873	0.104128	0.101644	0.0309056	0.196256	0.395094	0.23725	0.178332	0.135527	0.00179226	0.0467516	0.108522	0.0146635	0.00017286	0.547098	0.0837554	0.0919178	0.1368799	0.04763428	0.00981825	0.514835	0.0280405	0.0290395	0.0368022	0.0166354	0.0320891	0.00585694	0.00414548	0.0176464	0.132779	0.06164	0.00402242	0.0954267	0.0112227	0.3749891	10	31.09397	0.104345	0.436461	0.763747	1.08431	1.71549	0.109775	0.101864	0.0782287	0.445335	0.143342	0.121454	0.4226233	0.8872891
900	-581.8606	-516.7403	-65.12029	24.88217	3.961503	0.0674929	0.0067448	0.122561	0.109186	0.300191	0.0388868	0.0386395	0.0038644	0.0637192	0.0313463	0.00840611	0.0332497	0.00608304	0.052025	0.037272	0.261649	0.0293486	0.0708613	0.397382	0.108845	0.0811652	0.1448	0.0255824	0.0871934	0.100102	0.0137643	0.00363932	0.0286062	0.00934508	0.113192	0.0590504	0.206279	0.0406234	0.230967	0.00117559	0.198404	0.00619564	0.140575	0.329442	0.224933	0.376056	0.260657	0.0102534	0.105624	0.051646	0.00549888	0.025278	0.131209	0.258205	0.000455587	0.16402	0.0636348	0.0596604	0.0165132	0.0726108	0.00496327	0.0885074	0.167219	0.0368574	0.0836724	0.08267183	0.1049908	0.0110585	0.360255	0.0331328	0.00931301	0.00697537	0.0615453	0.0445449	0.00284719	0.0410732	0.0126344	0.208169	0.0983282	0.0101933	0.0712704	0.0286593	0.5832041	10	30.91379	0.05772403	0.452235	0.773867	1.08441	1.68949	0.0615225	0.0819396	0.0431902	0.524361	0.111327	0.17766	0.6881949	0.8474403
